Date,US_Price,Dollar_eq,Price,Open,High,Low,Volume,Percent_Change,IOC_Open,IOC_High,IOC_Low,IOC_Close,IOC_Volume,ONGC_Open,ONGC_High,ONGC_Low,ONGC_Close,ONGC_Volume,TCI_Open,TCI_High,TCI_Low,TCI_Close,TCI_Volume
2011-12-12,,.52..605.,5203,5180,5222,5161,220040,.2..53.,68,.68..474998.,.66..662498.,.67..275002.,1242948,.174..800003.,.177..233002.,.170..332993.,.171..600006.,3607640,62,.62..450001.,.58..5.,.59..900002.,2818
2011-12-13,,.53..1.,5342,5206,5380,5206,214520,.2..67.,.67..112503.,.69..5.,.66..349998.,.69..212502.,3331408,.170..867004.,.172..199997.,.168..367004.,.170..266998.,3822892,.59..900002.,.60..849998.,58,.59..349998.,3453
2011-12-14,,.53..61.,5209,5353,5368,5186,243960,.-2..49.,.69..125.,.69..5.,.67..025002.,.67..412498.,2859612,.169..667007.,.171..332993.,.167..332993.,.168..033005.,3553436,.60..5.,.60..5.,.59..950001.,60,1813
2011-12-15,,.53..52.,5036,5200,5200,5021,225330,.-3..32.,.67..75.,.68..574997.,.66..525002.,.67..150002.,1673504,.166..667007.,.169..167007.,.165..332993.,.167..399994.,7229764,.60..5.,.60..5.,.58..700001.,.59..400002.,4391
2011-12-16,,.52..5.,4903,5014,5014,4877,193310,.-2..64.,.67..5.,.68..375.,.65..675003.,.66..737503.,1779900,.167..399994.,.172..966995.,.164..100006.,.166..867004.,3192585,.60..5.,61,.57..099998.,.57..400002.,4706
2011-12-19,,.52..7.,4983,4942,5003,4911,136760,.0..67.,.66..4375.,.66..737503.,.65..4375.,.66..362503.,1200956,.166..867004.,.166..867004.,.163..167007.,.164..733002.,3580656,.57..400002.,.58..5.,.52..049999.,.53..200001.,12729
2011-12-20,,.52..77.,5153,5024,5170,5012,202070,.3..41.,.66..287498.,.66..712502.,.65..1875.,.66..337502.,1526048,.167..600006.,.169..966995.,.165..832993.,.168..600006.,3812736,55,.58..5.,.53..049999.,.56..549999.,1832
2011-12-21,,.52..4.,5214,5160,5242,5125,243000,.1..18.,.66..525002.,.67..849998.,.65..887497.,.67..375.,1308680,.170..667007.,.175..033005.,.169..100006.,.174..132996.,2322900,.55..599998.,.57..950001.,.54..049999.,.55..150002.,2525
2011-12-22,,.52..565.,5268,5225,5275,5208,158940,.1..04.,.67..237503.,.68..737503.,.66..775002.,.68..487503.,849596,.170..667007.,.176..867004.,.170..667007.,.176..367004.,1895198,.54..5.,.55..950001.,.54..049999.,.55..049999.,403
2011-12-23,,.52..79.,5300,5267,5308,5263,93430,.0..61.,.68..574997.,.68..662498.,.67..662498.,.68..287498.,807188,178,178,.173..167007.,.174..667007.,1876218,58,.59..950001.,.55..049999.,.56..349998.,432
2011-12-27,,.52..92.,5374,5281,5380,5263,110880,.1..61.,.67..512497.,.67..625.,.65..012497.,.65..212502.,2339104,.175..067001.,176,.173..466995.,.175..100006.,1222836,58,58,.56..5.,.56..900002.,542
2011-12-28,,.52..89.,5325,5372,5430,5305,182890,.-0..91.,.64..462502.,.64..849998.,.63..025002.,.63..262501.,1750704,.175..199997.,.175..600006.,.173..132996.,.174..132996.,1055052,.56..5.,.58..400002.,.56..099998.,.56..099998.,300
2011-12-29,,.53..005.,5304,5320,5339,5247,167830,.-0..39.,.63..025002.,.64..037498.,.62..125.,.63..137501.,3066648,.174..266998.,.175..233002.,.170..800003.,.171..899994.,4003434,.55..150002.,.56..900002.,.53..549999.,.55..099998.,303
2011-12-30,,.53..015.,5317,5304,5332,5262,133920,.0..25.,.63..25.,.64..275002.,.62..762501.,.63..4375.,1557928,.171..132996.,.175..199997.,170,.171..067001.,2755954,.57..799999.,.57..799999.,.53..599998.,.53..599998.,1463
2012-01-03,,.53..1.,5442,5332,5464,5332,213000,.2..2.,63,63,.61..887501.,.62..6875.,1188796,.174..067001.,.176..332993.,.173..100006.,.175..466995.,2231457,56,.60..75.,56,.57..549999.,2283
2012-01-04,,.52..86.,5462,5457,5498,5413,227480,.0..37.,.62..987499.,.63..375.,.61..974998.,.63..150002.,1644260,176,.178..399994.,.174..067001.,.177..800003.,3473709,.57..099998.,.62..700001.,.55..299999.,.58..349998.,2521
2012-01-05,,.52..87.,5443,5451,5465,5402,203700,.-0..35.,63,.63..712502.,.62..674999.,.63..287498.,1558176,.178..966995.,.179..966995.,174,.174..5.,4615846,.58..349998.,.58..349998.,.58..349998.,.58..349998.,0
2012-01-06,,.52..68.,5345,5436,5436,5325,212280,.-1..8.,.63..099998.,.64..487503.,.62..900002.,.63..9375.,1674544,.170..932999.,.172..266998.,.169..100006.,.170..432999.,3933240,.57..599998.,.59..950001.,.57..049999.,.59..5.,232
2012-01-09,,.52..4.,5295,5355,5370,5275,210370,.-1..32.,.62..5.,.64..224998.,.62..5.,.63..799999.,364096,.172..667007.,.172..667007.,.168..800003.,.171..466995.,2710370,.62..5.,.62..5.,54,.60..599998.,766
