Date,Price,Open Price,High,Low,Volume,Change%
2012/01/02,5325,5293,5329,5282,20.45K,0.55%
2012/01/03,5442,5332,5464,5332,213.00K,2.20%
2012/01/04,5462,5457,5498,5413,227.48K,0.37%
2012/01/05,5443,5451,5465,5402,203.70K,-0.35%
2012/01/06,5345,5436,5436,5325,212.28K,-1.80%
2012/01/07,5366,5358,5379,5358,5.86K,0.39%
2012/01/09,5295,5355,5370,5275,210.37K,-1.32%
2012/01/10,5318,5305,5369,5305,168.37K,0.43%
2012/01/11,5285,5316,5316,5234,182.45K,-0.62%
2012/01/12,5260,5274,5308,5241,171.81K,-0.47%
2012/01/13,5082,5251,5251,5065,219.22K,-3.38%
2012/01/14,5105,5106,5125,5101,5.43K,0.45%
2012/01/16,5129,5120,5138,5108,78.60K,0.47%
2012/01/17,5107,5130,5144,5067,143.14K,-0.43%
2012/01/18,5062,5119,5152,5046,200.64K,-0.88%
2012/01/19,5047,5074,5132,5031,131.72K,-0.30%
2012/01/20,5006,5099,5113,4963,187.46K,-0.81%
2012/01/21,4979,4994,4994,4971,4.73K,-0.54%
2012/01/23,5020,4975,5029,4936,180.40K,0.82%
2012/01/24,4975,5019,5034,4965,162.89K,-0.90%
2012/01/25,4992,4988,5007,4922,178.01K,0.34%
2012/01/27,4945,5000,5000,4934,150.75K,-0.94%
2012/01/28,4942,4941,4946,4936,2.96K,-0.06%
2012/01/30,4945,4939,4968,4916,127.71K,0.06%
2012/01/31,4927,4948,5025,4916,190.41K,-0.36%
2012/02/01,4861,4927,4931,4855,163.63K,-1.34%
2012/02/02,4727,4854,4854,4710,193.36K,-2.76%
2012/02/03,4737,4738,4766,4712,165.09K,0.21%
2012/02/04,4767,4746,4771,4746,7.10K,0.63%
2012/02/06,4772,4765,4803,4746,143.96K,0.10%
2012/02/07,4858,4765,4885,4738,197.75K,1.80%
2012/02/08,4875,4863,4933,4855,160.66K,0.35%
2012/02/09,4942,4882,4953,4882,147.26K,1.37%
2012/02/10,4905,4940,4958,4855,144.59K,-0.75%
2012/02/11,4926,4911,4930,4911,5.82K,0.43%
2012/02/13,4953,4929,4964,4901,128.67K,0.55%
2012/02/14,4987,4958,5037,4958,146.82K,0.69%
2012/02/15,5016,5002,5052,4998,153.58K,0.58%
2012/02/16,5061,5016,5076,5011,115.05K,0.90%
2012/02/17,5084,5055,5095,5043,89.28K,0.45%
2012/02/18,5081,5081,5081,5081,-,-0.06%
2012/02/20,5213,5188,5235,5188,41.43K,2.60%
2012/02/21,5219,5209,5240,5181,116.19K,0.12%
2012/02/22,5243,5226,5274,5226,119.71K,0.46%
2012/02/23,5280,5241,5293,5227,148.80K,0.71%
2012/02/24,5372,5292,5384,5292,130.36K,1.74%
2012/02/25,5406,5387,5410,5387,11.77K,0.63%
2012/02/27,5386,5400,5407,5360,138.65K,-0.37%
2012/02/28,5325,5389,5389,5310,135.25K,-1.13%
2012/02/29,5227,5326,5326,5182,153.76K,-1.84%
2012/03/01,5334,5239,5349,5239,140.39K,2.05%
2012/03/02,5294,5346,5400,5282,160.01K,-0.75%
2012/03/03,5305,5300,5315,5300,3.85K,0.21%
2012/03/05,5342,5321,5363,5283,150.34K,0.70%
2012/03/06,5325,5344,5373,5312,155.12K,-0.32%
2012/03/07,5345,5340,5354,5282,134.60K,0.38%
2012/03/08,5356,5352,5385,5328,84.93K,0.21%
2012/03/09,5349,5360,5385,5311,142.50K,-0.13%
2012/03/10,5348,5354,5355,5345,2.62K,-0.02%
2012/03/12,5332,5345,5355,5287,127.16K,-0.30%
2012/03/13,5341,5333,5358,5297,120.34K,0.17%
2012/03/14,5341,5337,5359,5306,136.91K,0.00%
2012/03/15,5294,5330,5349,5232,211.67K,-0.88%
2012/03/16,5333,5310,5339,5284,106.98K,0.74%
2012/03/17,5378,5339,5381,5339,9.67K,0.84%
2012/03/19,5408,5394,5418,5341,106.15K,0.56%
2012/03/20,5395,5445,5471,5384,174.96K,-0.24%
2012/03/21,5443,5400,5467,5400,152.44K,0.89%
2012/03/22,5418,5445,5474,5401,185.72K,-0.46%
2012/03/23,5499,5424,5635,5424,171.76K,1.50%
2012/03/24,5487,5493,5497,5480,3.89K,-0.22%
2012/03/26,5480,5487,5510,5463,106.89K,-0.13%
2012/03/27,5473,5478,5495,5450,120.56K,-0.13%
2012/03/28,5397,5467,5473,5376,153.52K,-1.39%
2012/03/29,5293,5404,5427,5271,175.72K,-1.93%
2012/03/30,5301,5294,5318,5262,111.52K,0.15%
2012/03/31,5274,5296,5296,5260,6.86K,-0.51%
2012/04/02,5335,5271,5353,5216,147.51K,1.16%
2012/04/03,5298,5328,5339,5291,115.13K,-0.69%
2012/04/04,5234,5299,5310,5197,157.00K,-1.21%
2012/04/05,5281,5247,5295,5215,93.66K,0.90%
2012/04/07,5290,5288,5293,5278,2.19K,0.17%
2012/04/09,5238,5287,5287,5193,111.09K,-0.98%
2012/04/10,5231,5238,5303,5222,180.02K,-0.13%
2012/04/11,5312,5237,5318,5218,158.57K,1.55%
2012/04/12,5299,5304,5345,5278,145.83K,-0.24%
