Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,170.00,174.60,168.60,171.95,171.984757773535496896,100051,1975,17207247.00,23604,23.59,6.00,1.95
28-June-2019,170.00,171.05,168.05,169.95,169.660033667234714659,96236,1571,16327403.00,37251,38.71,3.00,-0.05
27-June-2019,163.70,170.60,163.10,167.50,167.644434502727758515,160938,2965,26980360.00,48870,30.37,7.50,3.80
26-June-2019,161.95,164.80,160.30,162.20,162.634483885907320129,110121,1908,17909472.00,36276,32.94,4.50,0.25
25-June-2019,157.90,166.20,156.00,162.25,161.523067119329356054,182034,2401,29402690.00,40979,22.51,10.20,4.35
24-June-2019,160.70,162.45,157.90,158.70,159.742197907600490239,56299,1035,8993326.00,20100,35.70,4.55,-2.00
21-June-2019,157.90,163.05,153.00,159.50,160.201761014048019244,129698,2111,20777848.00,41407,31.93,10.05,1.60
20-June-2019,160.05,160.05,155.55,158.15,157.869652113503981189,93565,1626,14771074.00,32187,34.40,4.50,-1.90
19-June-2019,166.00,167.75,157.50,161.45,161.933209300877309066,128461,1707,20802102.00,56483,43.97,10.25,-4.55
18-June-2019,168.00,168.95,164.55,165.15,166.673901928320997273,82144,1113,13691261.00,23781,28.95,4.40,-2.85
17-June-2019,173.95,174.00,166.85,167.45,169.401263383059080426,89759,1518,15205288.00,37350,41.61,7.15,-6.50
14-June-2019,175.00,180.00,172.85,173.95,175.979109174334599194,364179,4591,64087896.00,119375,32.78,7.15,-1.05
13-June-2019,170.25,171.70,166.65,168.55,168.721992356170870021,88699,1275,14965472.00,30758,34.68,5.05,-1.70
12-June-2019,167.30,171.95,165.00,169.25,169.064759449229250096,182290,2409,30818815.00,48552,26.63,6.95,1.95
11-June-2019,171.45,171.45,166.20,166.80,167.691339017843044370,75996,1238,12743871.00,30478,40.10,5.25,-4.65
10-June-2019,171.10,173.50,170.10,170.55,171.483012703344909522,87536,1218,15010937.00,26037,29.74,3.40,-0.55
7-June-2019,171.35,173.80,168.30,170.30,171.053028841939160164,228140,3019,39024038.00,47162,20.67,5.50,-1.05
6-June-2019,180.60,180.60,166.60,170.10,171.942569702715185104,329112,4603,56588363.00,109930,33.40,14.00,-10.50
4-June-2019,179.30,184.25,178.90,181.75,181.832788288635138624,441554,6016,80288995.00,100086,22.67,5.35,2.45
3-June-2019,166.70,179.70,166.70,177.60,175.761868947673351590,833667,10533,146526870.00,154058,18.48,13.00,10.90
31-May-2019,170.80,172.85,164.10,164.95,167.734033973277016072,240542,3114,40347080.00,76055,31.62,8.75,-5.85
30-May-2019,168.10,172.50,164.70,170.70,169.010287878377479937,406109,5382,68636599.00,67254,16.56,7.80,2.60
29-May-2019,163.30,174.40,160.55,167.45,168.732932680778954436,875738,11571,147765841.00,154929,17.69,13.85,4.15
28-May-2019,146.00,164.80,141.95,163.20,158.259294701995540701,1130671,13426,178939195.00,202064,17.87,22.85,17.20
27-May-2019,136.70,147.00,136.20,142.90,143.032132524635425080,340465,4095,48697435.00,81183,23.84,10.80,6.20
24-May-2019,137.20,138.75,133.00,136.20,135.633825396308713909,122884,1934,16667227.00,38372,31.23,5.75,-1.00
23-May-2019,139.05,145.50,135.15,136.30,140.811878519011709534,552712,5222,77828415.00,173996,31.48,10.35,-2.75
22-May-2019,132.00,134.50,130.70,133.70,132.676071211846574565,126889,2037,16835134.00,47879,37.73,3.80,1.70
21-May-2019,131.05,134.20,129.50,131.00,131.642669438343269532,203968,3180,26850892.00,54058,26.50,4.70,-0.05
20-May-2019,130.00,134.50,126.70,130.10,130.029137934244908852,322226,4822,41898769.00,101891,31.62,7.80,0.10
17-May-2019,115.30,118.15,114.50,115.60,116.103857786425837016,94562,1577,10979013.00,38518,40.73,3.65,0.30
16-May-2019,119.00,119.25,112.70,114.75,116.031060147805275754,76046,1617,8823698.00,28983,38.11,6.55,-4.25
15-May-2019,119.00,122.25,118.20,119.00,120.373288194566891185,85071,1570,10240276.00,20531,24.13,4.05,0.00
14-May-2019,120.00,122.20,113.90,118.15,118.431993594644892306,138634,2266,16418701.00,34374,24.79,8.30,-1.85
13-May-2019,132.00,135.25,121.40,123.65,128.035855591734014814,77087,1430,9869900.00,29777,38.63,13.85,-8.35
10-May-2019,133.00,134.00,130.40,130.95,131.724587428631019109,38357,565,5052560.00,19079,49.74,3.60,-2.05
9-May-2019,130.10,134.80,130.10,132.50,133.251122489168964159,63475,1015,8458115.00,27511,43.34,4.70,2.40
8-May-2019,133.05,134.85,130.15,131.45,132.544207340258871127,65747,996,8714384.00,19277,29.32,4.70,-1.60
7-May-2019,131.40,137.20,131.05,134.05,134.702533018936160979,138254,2076,18623164.00,39394,28.49,6.15,2.65
6-May-2019,131.60,133.00,130.05,130.50,131.587128029129870673,95572,1203,12576045.00,48621,50.87,2.95,-1.10
3-May-2019,132.75,134.25,131.50,132.35,132.954486973303312962,55962,756,7440399.00,26461,47.28,2.75,-0.40
2-May-2019,132.45,135.90,130.00,131.20,133.009037915400328832,100355,1542,13348122.00,44304,44.15,5.90,-1.25
30-April-2019,143.00,147.00,130.10,133.15,136.676579441809862938,299647,2970,40954727.00,166957,55.72,16.90,-9.85
26-April-2019,147.60,147.60,142.75,143.25,144.651271193675619376,58567,828,8471791.00,23397,39.95,4.85,-4.35
25-April-2019,152.05,153.00,145.50,146.30,148.747773903621487212,71987,1155,10707906.00,23437,32.56,7.50,-5.75
24-April-2019,149.75,153.50,148.90,151.15,151.331445540088458984,159622,2196,24155828.00,40466,25.35,4.60,1.40
23-April-2019,146.75,151.40,146.50,147.75,148.591942364671313883,244017,3810,36258960.00,61417,25.17,4.90,1.00
22-April-2019,140.70,152.00,138.00,145.75,147.566416155562588383,499246,6904,73671943.00,92109,18.45,14.00,5.05
18-April-2019,141.15,146.75,132.60,140.85,140.940832597967543843,386429,5811,54463625.00,80271,20.77,14.15,-0.30
16-April-2019,130.40,144.70,130.05,141.30,139.954934249164199147,570411,7792,79831834.00,132065,23.15,14.65,10.90
15-April-2019,130.25,132.30,129.90,130.40,130.665774757177641612,37373,509,4883372.00,18664,49.94,2.40,0.15
12-April-2019,129.40,132.00,129.10,129.40,130.382010692944753118,57234,600,7462284.00,36404,63.61,2.90,0.00
11-April-2019,130.00,132.15,128.20,130.10,130.053399633875595601,77023,973,10017103.00,19696,25.57,3.95,0.10
10-April-2019,131.45,133.80,129.10,129.60,130.998728240998330816,88067,1228,11536665.00,25572,29.04,4.70,-1.85
9-April-2019,132.90,133.45,129.45,131.40,131.230419388315731640,65524,980,8598742.00,16226,24.76,4.00,-1.50
8-April-2019,130.50,136.70,130.15,132.90,133.725701317180581721,251598,3024,33645119.00,73329,29.15,6.55,2.40
5-April-2019,131.10,133.35,129.40,130.00,131.013495497200264921,116261,1476,15231760.00,52482,45.14,3.95,-1.10
4-April-2019,129.90,133.90,128.60,130.50,131.195057544158774054,96187,1627,12619259.00,29242,30.40,5.30,0.60
3-April-2019,133.60,133.60,127.70,128.20,130.182508177672100536,148881,1498,19381702.00,49855,33.49,5.90,-5.40
2-April-2019,133.45,137.80,129.15,133.10,133.473069154987961158,340149,4693,45400731.00,76560,22.51,8.65,-0.35
1-April-2019,130.50,137.35,129.00,133.35,133.630601764895206344,208171,2915,27818016.00,45498,21.86,8.35,2.85
