Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2019,7.59,7.59,7.22,7.22,7.273211458183388513,6947,10,50527.00,6947,100.00,0.37,-0.37
27-June-2019,7.59,7.59,7.59,7.59,7.589901477832512315,8120,17,61630.00,8120,100.00,0.00,0.00
26-June-2019,7.98,7.98,7.98,7.98,7.980000000000000000,600,4,4788.00,600,100.00,0.00,0.00
17-June-2019,8.40,8.40,8.40,8.40,8.400000000000000000,10,1,84.00,10,100.00,0.00,0.00
4-June-2019,8.48,8.48,8.44,8.44,8.442666666666666666,7500,4,63320.00,7500,100.00,0.04,-0.04
30-May-2019,8.48,8.48,8.48,8.48,8.466666666666666666,30,1,254.00,30,100.00,0.00,0.00
27-May-2019,8.48,8.48,8.47,8.48,8.479480519480519480,7700,11,65292.00,7700,100.00,0.01,0.00
24-May-2019,7.70,8.08,7.50,8.08,8.072188589249678957,21804,20,176006.00,21804,100.00,0.58,0.38
23-May-2019,7.70,8.08,7.70,7.71,7.714069591527987897,7271,5,56089.00,7271,100.00,0.38,0.01
22-May-2019,7.70,7.70,7.70,7.70,7.700000000000000000,10,1,77.00,10,100.00,0.00,0.00
17-May-2019,7.70,7.70,7.70,7.70,7.700000000000000000,200,1,1540.00,200,100.00,0.00,0.00
16-May-2019,7.00,7.35,7.00,7.35,7.210000000000000000,200,4,1442.00,200,100.00,0.35,0.35
8-May-2019,6.75,7.00,6.75,7.00,6.833333333333333333,150,2,1025.00,150,100.00,0.25,0.25
24-April-2019,6.70,6.70,6.70,6.70,6.636363636363636363,11,1,73.00,11,100.00,0.00,0.00
16-April-2019,7.00,7.00,7.00,7.00,7.000000000000000000,215,1,1505.00,215,100.00,0.00,0.00
15-April-2019,7.00,7.00,7.00,7.00,7.000000000000000000,500,1,3500.00,500,100.00,0.00,0.00
12-April-2019,6.66,7.36,6.66,7.36,6.706666666666666666,75,2,503.00,75,100.00,0.70,0.70
11-April-2019,7.00,7.01,7.00,7.01,7.002801120448179271,357,2,2500.00,357,100.00,0.01,0.01
10-April-2019,7.30,7.30,7.30,7.30,7.300000000000000000,1000,1,7300.00,1000,100.00,0.00,0.00
8-April-2019,7.73,7.73,7.35,7.35,7.545431472081218274,3940,3,29729.00,3940,100.00,0.38,-0.38
5-April-2019,7.04,7.73,7.04,7.73,7.667272727272727272,550,2,4217.00,550,100.00,0.69,0.69
