Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2019,19.90,19.90,19.90,19.90,19.900000000000000000,10,1,199.00,10,100.00,0.00,0.00
27-June-2019,19.75,19.75,19.75,19.75,19.700000000000000000,10,1,197.00,10,100.00,0.00,0.00
25-June-2019,19.00,19.00,19.00,19.00,19.000000000000000000,51,3,969.00,51,100.00,0.00,0.00
24-June-2019,19.20,19.20,19.00,19.00,19.100000000000000000,20,2,382.00,20,100.00,0.20,-0.20
17-June-2019,19.10,19.90,19.00,19.00,19.098807495741056218,587,4,11211.00,587,100.00,0.90,-0.10
14-June-2019,19.05,19.05,18.10,19.00,18.973262032085561497,374,5,7096.00,374,100.00,0.95,-0.05
13-June-2019,19.05,19.05,19.05,19.05,19.000000000000000000,1,1,19.00,1,100.00,0.00,0.00
11-June-2019,18.40,18.40,18.40,18.40,18.400000000000000000,1200,7,22080.00,1200,100.00,0.00,0.00
10-June-2019,17.60,17.60,17.55,17.55,17.548888888888888888,450,2,7897.00,450,100.00,0.05,-0.05
7-June-2019,18.35,18.35,17.55,17.55,18.028971028971028971,1001,4,18047.00,1001,100.00,0.80,-0.80
6-June-2019,17.55,17.55,17.50,17.50,17.540000000000000000,100,2,1754.00,100,100.00,0.05,-0.05
3-June-2019,17.50,17.50,17.50,17.50,17.500000000000000000,300,2,5250.00,300,100.00,0.00,0.00
31-May-2019,18.00,18.00,17.50,17.50,17.700000000000000000,60,2,1062.00,60,100.00,0.50,-0.50
30-May-2019,17.50,17.50,17.50,17.50,17.500000000000000000,100,1,1750.00,100,100.00,0.00,0.00
29-May-2019,17.50,17.50,17.50,17.50,17.500000000000000000,300,3,5250.00,300,100.00,0.00,0.00
28-May-2019,18.00,18.00,17.10,17.10,17.176666666666666666,300,3,5153.00,300,100.00,0.90,-0.90
24-May-2019,18.00,18.00,18.00,18.00,18.000000000000000000,2100,13,37800.00,2100,100.00,0.00,0.00
22-May-2019,17.15,18.90,17.10,18.90,18.039517014270032930,911,7,16434.00,911,100.00,1.80,1.75
21-May-2019,17.30,18.00,17.30,18.00,17.306930693069306930,101,2,1748.00,101,100.00,0.70,0.70
20-May-2019,18.15,18.15,18.15,18.15,18.140000000000000000,50,1,907.00,50,100.00,0.00,0.00
16-May-2019,18.25,18.25,17.85,18.00,18.112000000000000000,250,5,4528.00,250,100.00,0.40,-0.25
15-May-2019,17.75,17.75,17.75,17.75,17.600000000000000000,5,1,88.00,5,100.00,0.00,0.00
13-May-2019,19.55,19.55,18.60,18.65,19.316476345840130505,1839,7,35523.00,1839,100.00,0.95,-0.90
10-May-2019,19.55,19.55,19.50,19.50,19.522664199814986123,1081,2,21104.00,1081,100.00,0.05,-0.05
9-May-2019,20.00,20.00,20.00,20.00,20.000000000000000000,50,1,1000.00,50,100.00,0.00,0.00
8-May-2019,20.10,20.10,20.10,20.10,20.098989898989898989,495,2,9949.00,495,100.00,0.00,0.00
6-May-2019,20.00,21.10,19.60,21.10,19.956692913385826771,508,3,10138.00,508,100.00,1.50,1.10
3-May-2019,18.70,20.60,18.70,20.60,19.258904109589041095,730,4,14059.00,730,100.00,1.90,1.90
2-May-2019,20.50,20.50,19.20,19.65,19.654000000000000000,1000,5,19654.00,1000,100.00,1.30,-0.85
30-April-2019,20.50,20.50,20.15,20.15,20.371584699453551912,915,5,18640.00,915,100.00,0.35,-0.35
26-April-2019,21.15,21.15,20.15,21.15,20.710743801652892561,605,7,12530.00,605,100.00,1.00,0.00
