Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,23.95,23.95,23.95,23.95,23.950000000000000000,3000,1,71850.00,3000,100.00,0.00,0.00
28-June-2019,21.00,21.00,21.00,21.00,21.000000000000000000,1500,1,31500.00,1500,100.00,0.00,0.00
27-June-2019,19.90,20.10,19.90,20.00,19.970000000000000000,7500,5,149775.00,1500,20.00,0.20,0.10
18-June-2019,24.00,24.00,24.00,24.00,24.000000000000000000,1500,1,36000.00,1500,100.00,0.00,0.00
14-June-2019,24.00,24.00,24.00,24.00,24.000000000000000000,3000,2,72000.00,3000,100.00,0.00,0.00
11-June-2019,21.00,21.05,21.00,21.05,21.025000000000000000,3000,2,63075.00,0,0.00,0.05,0.05
4-June-2019,25.00,25.00,24.95,24.95,24.975000000000000000,3000,2,74925.00,3000,100.00,0.05,-0.05
29-May-2019,26.00,26.00,26.00,26.00,26.000000000000000000,1500,1,39000.00,1500,100.00,0.00,0.00
28-May-2019,26.00,27.00,25.15,25.15,26.050000000000000000,4500,3,117225.00,3000,66.67,1.85,-0.85
22-May-2019,29.25,29.35,29.20,29.30,29.275000000000000000,6000,4,175650.00,0,0.00,0.15,0.05
18-April-2019,30.00,30.00,30.00,30.00,30.000000000000000000,1500,1,45000.00,1500,100.00,0.00,0.00
12-April-2019,32.00,32.00,32.00,32.00,32.000000000000000000,6000,1,192000.00,6000,100.00,0.00,0.00
9-April-2019,32.00,32.00,32.00,32.00,32.000000000000000000,1500,1,48000.00,1500,100.00,0.00,0.00
29-March-2019,30.00,30.05,29.95,30.05,30.000000000000000000,4500,3,135000.00,0,0.00,0.10,0.05
27-March-2019,27.00,27.00,27.00,27.00,27.000000000000000000,1500,1,40500.00,1500,100.00,0.00,0.00
26-March-2019,27.00,27.00,27.00,27.00,27.000000000000000000,1500,1,40500.00,1500,100.00,0.00,0.00
12-March-2019,27.00,27.00,27.00,27.00,27.000000000000000000,1500,1,40500.00,1500,100.00,0.00,0.00
11-March-2019,28.95,28.95,28.95,28.95,28.950000000000000000,1500,1,43425.00,1500,100.00,0.00,0.00
1-March-2019,29.00,29.00,29.00,29.00,29.000000000000000000,4500,3,130500.00,4500,100.00,0.00,0.00
26-February-2019,27.15,27.15,27.15,27.15,27.150000000000000000,1500,1,40725.00,1500,100.00,0.00,0.00
20-February-2019,33.00,33.00,33.00,33.00,33.000000000000000000,9000,3,297000.00,9000,100.00,0.00,0.00
19-February-2019,34.00,34.00,34.00,34.00,34.000000000000000000,6000,2,204000.00,6000,100.00,0.00,0.00
13-February-2019,35.75,35.75,35.75,35.75,35.750000000000000000,4500,3,160875.00,4500,100.00,0.00,0.00
11-February-2019,36.50,36.50,36.50,36.50,36.500000000000000000,4500,2,164250.00,4500,100.00,0.00,0.00
6-February-2019,35.75,35.75,35.75,35.75,35.750000000000000000,12000,4,429000.00,12000,100.00,0.00,0.00
21-January-2019,34.95,35.00,34.95,35.00,34.975000000000000000,3000,2,104925.00,3000,100.00,0.05,0.05
18-January-2019,34.05,34.05,34.05,34.05,34.050000000000000000,1500,1,51075.00,1500,100.00,0.00,0.00
17-January-2019,39.85,39.85,39.85,39.85,39.850000000000000000,1500,1,59775.00,1500,100.00,0.00,0.00
16-January-2019,33.90,37.60,33.90,37.60,35.750000000000000000,3000,2,107250.00,1500,50.00,3.70,3.70
15-January-2019,34.50,38.50,34.50,38.50,36.500000000000000000,3000,2,109500.00,1500,50.00,4.00,4.00
14-January-2019,33.00,40.00,33.00,40.00,36.500000000000000000,6000,4,219000.00,3000,50.00,7.00,7.00
11-January-2019,36.00,38.00,36.00,38.00,37.000000000000000000,3000,2,111000.00,1500,50.00,2.00,2.00
9-January-2019,29.00,37.00,29.00,37.00,33.500000000000000000,6000,4,201000.00,3000,50.00,8.00,8.00
7-January-2019,35.00,35.00,35.00,35.00,35.000000000000000000,1500,1,52500.00,1500,100.00,0.00,0.00
4-January-2019,34.00,34.00,34.00,34.00,34.000000000000000000,1500,1,51000.00,1500,100.00,0.00,0.00
31-December-2018,32.00,32.05,32.00,32.05,32.025000000000000000,6000,4,192150.00,0,0.00,0.05,0.05
27-December-2018,29.00,29.00,29.00,29.00,29.000000000000000000,1500,1,43500.00,1500,100.00,0.00,0.00
26-December-2018,25.00,25.00,25.00,25.00,25.000000000000000000,1500,1,37500.00,1500,100.00,0.00,0.00
22-November-2018,29.00,29.00,29.00,29.00,29.000000000000000000,1500,1,43500.00,1500,100.00,0.00,0.00
22-October-2018,35.00,35.00,30.00,30.00,32.333333333333333333,4500,3,145500.00,3000,66.67,5.00,-5.00
11-October-2018,36.00,36.00,36.00,36.00,36.000000000000000000,3000,1,108000.00,3000,100.00,0.00,0.00
28-September-2018,33.00,33.00,33.00,33.00,33.000000000000000000,1500,1,49500.00,1500,100.00,0.00,0.00
14-September-2018,38.50,38.50,36.00,36.00,37.250000000000000000,3000,2,111750.00,3000,100.00,2.50,-2.50
5-September-2018,36.00,36.00,36.00,36.00,36.000000000000000000,1500,1,54000.00,1500,100.00,0.00,0.00
24-August-2018,38.00,38.00,37.00,37.00,37.500000000000000000,3000,2,112500.00,3000,100.00,1.00,-1.00
23-August-2018,38.00,40.00,35.50,40.00,37.590909090909090909,16500,5,620250.00,4500,27.27,4.50,2.00
21-August-2018,37.50,41.50,37.50,41.50,39.500000000000000000,6000,3,237000.00,3000,50.00,4.00,4.00
20-July-2018,38.00,41.75,38.00,38.50,39.250000000000000000,6000,4,235500.00,3000,50.00,3.75,0.50
13-July-2018,35.25,40.70,35.25,40.70,38.608333333333333333,18000,6,694950.00,6000,33.33,5.45,5.45
11-July-2018,39.00,39.00,37.00,37.00,38.000000000000000000,3000,2,114000.00,3000,100.00,2.00,-2.00
4-July-2018,41.00,41.15,41.00,41.10,41.075000000000000000,6000,4,246450.00,0,0.00,0.15,0.10
28-June-2018,39.70,40.00,39.70,40.00,39.850000000000000000,6000,4,239100.00,0,0.00,0.30,0.30
27-June-2018,34.05,38.45,34.00,38.45,35.559090909090909090,16500,11,586725.00,7500,45.45,4.45,4.40
26-June-2018,32.00,35.00,32.00,35.00,33.500000000000000000,3000,2,100500.00,3000,100.00,3.00,3.00
7-June-2018,32.75,33.00,28.00,32.75,31.136363636363636363,16500,8,513750.00,7500,45.45,5.00,0.00
5-June-2018,32.00,33.00,30.00,30.00,31.250000000000000000,6000,4,187500.00,4500,75.00,3.00,-2.00
1-June-2018,30.90,31.00,30.90,31.00,30.950000000000000000,3000,2,92850.00,3000,100.00,0.10,0.10
31-May-2018,31.80,32.10,31.80,31.80,31.925000000000000000,6000,4,191550.00,6000,100.00,0.30,0.00
25-May-2018,32.05,38.50,32.05,35.00,35.800000000000000000,12000,6,429600.00,1500,12.50,6.45,2.95
21-May-2018,35.00,35.00,35.00,35.00,35.000000000000000000,4500,3,157500.00,4500,100.00,0.00,0.00
16-May-2018,43.00,43.00,38.00,38.00,40.500000000000000000,3000,2,121500.00,0,0.00,5.00,-5.00
7-May-2018,41.00,41.00,41.00,41.00,41.000000000000000000,3000,1,123000.00,3000,100.00,0.00,0.00
4-May-2018,41.50,42.50,41.50,42.00,42.000000000000000000,3000,2,126000.00,3000,100.00,1.00,0.50
19-April-2018,39.00,39.00,39.00,39.00,39.000000000000000000,1500,1,58500.00,1500,100.00,0.00,0.00
16-April-2018,37.00,37.00,37.00,37.00,37.000000000000000000,1500,1,55500.00,1500,100.00,0.00,0.00
2-April-2018,38.95,39.00,36.00,36.00,37.690384615384615384,39000,10,1469925.00,39000,100.00,3.00,-2.95
28-March-2018,39.00,39.00,36.00,38.85,38.370000000000000000,7500,5,287775.00,7500,100.00,3.00,-0.15
27-March-2018,35.00,41.85,35.00,41.85,37.650000000000000000,4500,3,169425.00,3000,66.67,6.85,6.85
26-March-2018,38.10,38.10,38.10,38.10,38.100000000000000000,1500,1,57150.00,1500,100.00,0.00,0.00
23-March-2018,44.00,44.00,38.10,38.10,41.783333333333333333,9000,5,376050.00,9000,100.00,5.90,-5.90
22-March-2018,44.00,44.00,44.00,44.00,44.000000000000000000,6000,2,264000.00,6000,100.00,0.00,0.00
20-March-2018,41.00,44.00,41.00,44.00,42.500000000000000000,3000,2,127500.00,3000,100.00,3.00,3.00
19-March-2018,49.50,49.50,49.50,49.50,49.500000000000000000,1500,1,74250.00,1500,100.00,0.00,0.00
16-March-2018,49.00,49.00,49.00,49.00,49.000000000000000000,1500,1,73500.00,1500,100.00,0.00,0.00
19-February-2018,59.00,59.00,59.00,59.00,59.000000000000000000,1500,1,88500.00,1500,100.00,0.00,0.00
16-February-2018,53.00,58.90,53.00,58.90,56.177777777777777777,13500,3,758400.00,1500,11.11,5.90,5.90
14-February-2018,52.65,57.00,52.65,57.00,54.912500000000000000,6000,4,329475.00,3000,50.00,4.35,4.35
9-February-2018,58.00,58.00,58.00,58.00,58.000000000000000000,3000,2,174000.00,3000,100.00,0.00,0.00
8-February-2018,60.00,60.00,60.00,60.00,60.000000000000000000,1500,1,90000.00,1500,100.00,0.00,0.00
6-February-2018,50.50,60.00,50.50,59.50,55.678571428571428571,10500,7,584625.00,7500,71.43,9.50,9.00
5-February-2018,55.00,60.00,55.00,60.00,58.333333333333333333,4500,3,262500.00,4500,100.00,5.00,5.00
25-January-2018,60.00,60.00,60.00,60.00,60.000000000000000000,4500,2,270000.00,4500,100.00,0.00,0.00
24-January-2018,61.50,61.50,61.00,61.00,61.250000000000000000,3000,2,183750.00,3000,100.00,0.50,-0.50
23-January-2018,61.95,63.00,61.95,62.65,62.658333333333333333,9000,5,563925.00,9000,100.00,1.05,0.70
19-January-2018,55.15,60.00,55.00,60.00,58.435714285714285714,10500,7,613575.00,9000,85.71,5.00,4.85
18-January-2018,58.00,58.00,58.00,58.00,58.000000000000000000,6000,4,348000.00,6000,100.00,0.00,0.00
11-January-2018,64.25,64.25,58.00,58.00,59.785714285714285714,10500,3,627750.00,4500,42.86,6.25,-6.25
10-January-2018,62.50,62.65,62.50,62.65,62.575000000000000000,6000,4,375450.00,0,0.00,0.15,0.15
9-January-2018,67.00,67.00,60.00,60.00,61.420000000000000000,15000,8,921300.00,9000,60.00,7.00,-7.00
8-January-2018,60.05,60.20,60.05,60.20,60.125000000000000000,6000,4,360750.00,0,0.00,0.15,0.15
5-January-2018,51.00,60.00,51.00,60.00,57.000000000000000000,4500,3,256500.00,3000,66.67,9.00,9.00
4-January-2018,56.00,56.00,56.00,56.00,56.000000000000000000,1500,1,84000.00,1500,100.00,0.00,0.00
3-January-2018,62.00,62.15,62.00,62.15,62.075000000000000000,6000,4,372450.00,0,0.00,0.15,0.15
2-January-2018,52.10,60.10,52.10,58.00,57.830769230769230769,19500,13,1127700.00,7500,38.46,8.00,5.90
1-January-2018,62.00,64.00,58.50,64.00,61.662500000000000000,12000,6,739950.00,0,0.00,5.50,2.00
29-December-2017,57.50,59.00,57.50,59.00,57.860000000000000000,7500,5,433950.00,1500,20.00,1.50,1.50
28-December-2017,59.00,60.00,59.00,60.00,59.466666666666666666,4500,3,267600.00,4500,100.00,1.00,1.00
27-December-2017,55.00,55.15,55.00,55.15,55.075000000000000000,6000,4,330450.00,0,0.00,0.15,0.15
26-December-2017,52.95,52.95,52.95,52.95,52.950000000000000000,1500,1,79425.00,1500,100.00,0.00,0.00
11-December-2017,48.00,48.00,48.00,48.00,48.000000000000000000,1500,1,72000.00,1500,100.00,0.00,0.00
8-December-2017,48.00,48.00,48.00,48.00,48.000000000000000000,1500,1,72000.00,1500,100.00,0.00,0.00
6-December-2017,47.15,49.95,47.00,49.95,47.630000000000000000,7500,5,357225.00,6000,80.00,2.95,2.80
5-December-2017,54.00,54.00,51.00,51.00,52.500000000000000000,3000,2,157500.00,1500,50.00,3.00,-3.00
4-December-2017,48.05,53.00,48.05,50.00,50.900000000000000000,13500,8,687150.00,12000,88.89,4.95,1.95
1-December-2017,50.00,50.00,46.00,47.25,47.246666666666666666,22500,15,1063050.00,12000,53.33,4.00,-2.75
28-November-2017,55.00,57.50,52.00,57.50,55.258333333333333333,9000,6,497325.00,4500,50.00,5.50,2.50
22-November-2017,63.00,63.00,63.00,63.00,63.000000000000000000,1500,1,94500.00,1500,100.00,0.00,0.00
21-November-2017,54.80,59.45,54.80,59.45,57.450000000000000000,7500,5,430875.00,6000,80.00,4.65,4.65
20-November-2017,50.10,50.10,50.10,50.10,50.100000000000000000,1500,1,75150.00,1500,100.00,0.00,0.00
17-November-2017,52.05,52.05,51.10,51.10,51.670000000000000000,7500,5,387525.00,6000,80.00,0.95,-0.95
15-November-2017,55.50,57.45,49.80,54.25,53.446428571428571428,21000,14,1122375.00,12000,57.14,7.65,-1.25
13-November-2017,64.00,65.30,60.10,62.25,62.761904761904761904,31500,21,1977000.00,25500,80.95,5.20,-1.75
10-November-2017,57.00,66.00,57.00,60.00,61.835000000000000000,15000,10,927525.00,10500,70.00,9.00,3.00
