Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,25.65,26.15,25.10,25.40,25.678288770053475935,23375,39,600230.00,3170,13.56,1.05,-0.25
28-June-2019,26.00,26.25,25.05,25.70,25.542788129744651483,23184,42,592184.00,2576,11.11,1.20,-0.30
27-June-2019,25.00,26.45,24.75,26.00,24.938550816805119440,25159,38,627429.00,4646,18.47,1.70,1.00
26-June-2019,26.45,27.00,25.00,25.20,25.843268192084847294,30549,81,789486.00,7267,23.79,2.00,-1.25
25-June-2019,25.75,26.50,24.45,26.45,25.471116350775369547,22054,37,561740.00,1501,6.81,2.05,0.70
24-June-2019,26.25,27.25,24.55,25.05,25.846647704185290532,24610,52,636086.00,1545,6.28,2.70,-1.20
21-June-2019,26.50,26.95,24.45,26.10,25.913391502276176024,26360,46,683077.00,3851,14.61,2.50,-0.40
20-June-2019,26.00,26.85,24.90,25.55,25.943531914893617021,23500,39,609673.00,3460,14.72,1.95,-0.45
19-June-2019,26.00,27.50,25.15,25.90,26.133318171480554923,21985,38,574541.00,750,3.41,2.35,-0.10
18-June-2019,24.90,25.50,24.25,25.50,24.978370518471395465,22007,23,549699.00,2000,9.09,1.25,0.60
17-June-2019,25.30,25.40,24.50,25.10,24.972549334833808930,24881,38,621342.00,4313,17.33,0.90,-0.20
14-June-2019,25.00,26.00,25.00,25.55,25.494864252302647441,20737,32,528687.00,612,2.95,1.00,0.55
13-June-2019,25.25,26.10,25.15,25.85,25.824647940356954589,26558,46,685851.00,6543,24.64,0.95,0.60
12-June-2019,25.00,25.75,24.75,24.75,25.353976899239365198,21298,40,539989.00,1299,6.10,1.00,-0.25
11-June-2019,25.15,26.45,24.75,25.40,25.613412141143009510,22502,47,576353.00,2501,11.11,1.70,0.25
10-June-2019,25.30,26.00,25.20,25.90,25.752835112692763938,21075,52,542741.00,1075,5.10,0.80,0.60
7-June-2019,26.15,26.85,25.25,25.60,26.271629778672032193,16898,78,443938.00,2510,14.85,1.60,-0.55
6-June-2019,26.90,27.90,25.50,26.10,26.655918727915194346,18112,85,482792.00,2093,11.56,2.40,-0.80
4-June-2019,25.50,27.70,25.00,26.50,25.716166716166716166,30303,47,779277.00,7787,25.70,2.70,1.00
3-June-2019,26.65,27.80,25.10,25.20,26.087284855731411849,31781,71,829080.00,10432,32.82,2.70,-1.45
31-May-2019,26.00,26.65,24.40,26.65,25.903236768328944014,23542,100,609814.00,491,2.09,2.25,0.65
30-May-2019,25.45,26.15,25.45,25.85,25.768037465242206936,20499,60,528219.00,500,2.44,0.70,0.40
29-May-2019,27.20,27.20,24.30,24.60,25.989489489489489489,23310,54,605815.00,1833,7.86,2.90,-2.60
28-May-2019,25.65,27.40,25.50,25.60,25.988794669897032101,23114,78,600705.00,2712,11.73,1.90,-0.05
27-May-2019,26.00,27.25,23.00,25.65,25.741141320585599043,33470,97,861556.00,7769,23.21,4.25,-0.35
24-May-2019,27.00,27.00,25.65,26.05,26.328018631314940881,22328,59,587852.00,2312,10.35,1.35,-0.95
23-May-2019,26.20,27.00,25.80,25.80,26.236327096990286616,20899,37,548313.00,7050,33.73,1.20,-0.40
22-May-2019,26.70,26.85,25.80,26.00,26.190996487991769839,28189,74,738298.00,5594,19.84,1.05,-0.70
21-May-2019,25.85,26.75,25.00,26.00,25.581834728795049144,27470,60,702733.00,6551,23.85,1.75,0.15
20-May-2019,24.00,26.00,22.60,25.85,24.274913995522306558,36626,113,889093.00,12849,35.08,3.40,1.85
17-May-2019,22.85,23.90,22.55,22.70,23.231121107002630274,26233,95,609422.00,3380,12.88,1.35,-0.15
16-May-2019,24.00,24.00,22.50,23.00,23.558147121187408253,24524,73,577740.00,3225,13.15,1.50,-1.00
