Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,55.00,55.00,51.30,54.95,54.782201405152224824,427,3,23392.00,426,99.77,3.70,-0.05
28-June-2019,56.00,56.00,55.95,56.00,55.989708404802744425,1749,6,97926.00,1499,85.71,0.05,0.00
27-June-2019,56.00,56.00,53.00,53.05,54.081585081585081585,858,16,46402.00,783,91.26,3.00,-2.95
25-June-2019,48.65,58.80,48.65,57.05,56.577142857142857142,700,8,39604.00,500,71.43,10.15,8.40
24-June-2019,56.50,56.50,56.50,56.50,56.500000000000000000,2,2,113.00,1,50.00,0.00,0.00
21-June-2019,55.00,55.00,55.00,55.00,55.000000000000000000,100,1,5500.00,100,100.00,0.00,0.00
20-June-2019,51.00,54.90,50.10,54.90,54.234608985024958402,601,5,32595.00,501,83.36,4.80,3.90
19-June-2019,56.00,56.00,55.00,55.00,55.616113744075829383,2110,11,117350.00,2060,97.63,1.00,-1.00
18-June-2019,55.00,56.00,54.00,56.00,55.000000000000000000,1200,6,66000.00,1200,100.00,2.00,1.00
17-June-2019,50.20,57.00,47.30,56.65,54.074593796159527326,1354,23,73217.00,644,47.56,9.70,6.45
14-June-2019,55.00,55.00,54.00,54.00,54.079179810725552050,3170,11,171431.00,3170,100.00,1.00,-1.00
13-June-2019,48.00,58.00,47.20,55.00,56.728813559322033898,826,11,46858.00,816,98.79,10.80,7.00
11-June-2019,58.00,58.00,58.00,58.00,58.000000000000000000,1000,2,58000.00,1000,100.00,0.00,0.00
10-June-2019,56.50,59.00,56.50,58.00,57.855154965211891208,1581,14,91469.00,1176,74.38,2.50,1.50
7-June-2019,56.95,56.95,51.95,56.40,52.576824034334763948,1165,15,61252.00,1145,98.28,5.00,-0.55
6-June-2019,59.80,59.80,50.35,52.00,55.116625310173697270,806,13,44424.00,765,94.91,9.45,-7.80
4-June-2019,58.00,58.00,54.50,54.50,55.120833333333333333,240,3,13229.00,240,100.00,3.50,-3.50
3-June-2019,53.05,58.00,53.05,58.00,55.907766990291262135,206,4,11517.00,120,58.25,4.95,4.95
31-May-2019,55.00,60.95,55.00,57.95,58.213861386138613861,505,13,29398.00,465,92.08,5.95,2.95
30-May-2019,62.00,64.00,58.00,58.05,58.607175712971481140,2174,15,127412.00,2023,93.05,6.00,-3.95
28-May-2019,62.95,62.95,62.95,62.95,62.000000000000000000,1,1,62.00,1,100.00,0.00,0.00
27-May-2019,57.60,60.90,57.60,59.25,58.725961538461538461,624,9,36645.00,335,53.69,3.30,1.65
24-May-2019,63.90,63.95,58.70,62.80,59.763358778625954198,131,7,7829.00,100,76.34,5.25,-1.10
23-May-2019,61.00,64.00,58.20,64.00,60.344827586206896551,232,6,14000.00,122,52.59,5.80,3.00
22-May-2019,63.95,64.00,63.95,64.00,63.988636363636363636,88,3,5631.00,78,88.64,0.05,0.05
21-May-2019,63.55,64.00,63.55,63.70,63.654970760233918128,513,11,32655.00,503,98.05,0.45,0.15
20-May-2019,53.00,64.00,53.00,63.65,58.923696481559983043,2359,34,139001.00,1756,74.44,11.00,10.65
17-May-2019,55.00,58.85,55.00,58.55,58.500000000000000000,12,4,702.00,10,83.33,3.85,3.55
16-May-2019,55.00,59.40,55.00,59.40,55.039024390243902439,205,7,11283.00,203,99.02,4.40,4.40
15-May-2019,57.80,57.80,57.80,57.80,57.500000000000000000,2,2,115.00,1,50.00,0.00,0.00
14-May-2019,51.00,55.05,50.70,53.20,51.407599309153713298,579,17,29765.00,435,75.13,4.35,2.20
13-May-2019,58.50,58.50,53.00,54.15,54.780653950953678474,734,16,40209.00,660,89.92,5.50,-4.35
10-May-2019,55.60,55.60,54.95,54.95,55.089940039973351099,1501,16,82690.00,1401,93.34,0.65,-0.65
9-May-2019,59.75,59.75,56.00,57.40,57.637681159420289855,483,7,27839.00,483,100.00,3.75,-2.35
8-May-2019,56.00,59.35,56.00,57.50,57.578692493946731234,413,8,23780.00,412,99.76,3.35,1.50
7-May-2019,56.00,58.00,56.00,56.30,56.875236294896030245,1587,12,90261.00,1587,100.00,2.00,0.30
6-May-2019,55.05,57.95,55.05,56.40,55.764150943396226415,106,8,5911.00,55,51.89,2.90,1.35
3-May-2019,56.05,61.90,56.05,57.15,58.424156506946413382,3527,30,206062.00,2990,84.77,5.85,1.10
30-April-2019,65.00,65.00,59.00,61.55,61.508163945351549483,3001,38,184586.00,2677,89.20,6.00,-3.45
26-April-2019,60.15,67.40,58.50,59.25,60.392797783933518005,1805,32,109009.00,1648,91.30,8.90,-0.90
24-April-2019,62.30,67.65,62.30,65.00,64.378787878787878787,132,10,8498.00,66,50.00,5.35,2.70
23-April-2019,70.90,70.90,67.45,67.45,67.519230769230769230,52,3,3511.00,51,98.08,3.45,-3.45
22-April-2019,71.50,71.50,62.10,67.45,66.331781140861466821,1718,32,113958.00,1685,98.08,9.40,-4.05
18-April-2019,63.20,68.95,60.65,65.60,65.231265414532346803,5271,47,343834.00,2722,51.64,8.30,2.40
16-April-2019,65.80,68.35,61.55,63.20,64.016260162601626016,4428,43,283464.00,3160,71.36,6.80,-2.60
15-April-2019,67.35,69.00,66.35,66.90,67.175732217573221757,2390,15,160550.00,1760,73.64,2.65,-0.45
12-April-2019,70.05,74.00,70.05,73.00,72.739130434782608695,46,3,3346.00,28,60.87,3.95,2.95
11-April-2019,70.05,70.05,70.05,70.05,70.045112781954887218,133,3,9316.00,133,100.00,0.00,0.00
10-April-2019,74.60,74.60,66.55,73.05,73.524950099800399201,501,15,36836.00,312,62.28,8.05,-1.55
9-April-2019,65.75,72.50,65.75,68.05,66.839490029421379535,3059,31,204462.00,2098,68.58,6.75,2.30
5-April-2019,72.00,73.45,72.00,73.00,72.600000000000000000,20,3,1452.00,15,75.00,1.45,1.00
4-April-2019,71.00,71.00,71.00,71.00,71.000000000000000000,1,1,71.00,1,100.00,0.00,0.00
3-April-2019,70.05,72.00,68.60,68.70,69.309667673716012084,662,7,45883.00,460,69.49,3.40,-1.35
2-April-2019,72.10,72.10,72.10,72.10,72.100000000000000000,250,3,18025.00,250,100.00,0.00,0.00
1-April-2019,68.05,73.95,68.00,72.00,69.203376822716807367,1303,10,90172.00,1100,84.42,5.95,3.95
29-March-2019,71.40,74.00,68.50,71.25,71.542982456140350877,1140,18,81559.00,1138,99.82,5.50,-0.15
28-March-2019,66.00,71.40,66.00,71.40,66.570621468926553672,177,4,11783.00,177,100.00,5.40,5.40
27-March-2019,68.00,68.00,65.85,68.00,67.857142857142857142,371,4,25175.00,371,100.00,2.15,0.00
26-March-2019,62.50,65.85,62.50,65.85,65.110144927536231884,690,10,44926.00,690,100.00,3.35,3.35
25-March-2019,62.75,62.75,62.75,62.75,62.750000000000000000,200,1,12550.00,200,100.00,0.00,0.00
22-March-2019,64.90,64.90,62.50,64.85,64.866666666666666666,135,9,8757.00,81,60.00,2.40,-0.05
20-March-2019,61.00,62.40,60.95,62.40,61.498826291079812206,1704,28,104794.00,1525,89.50,1.45,1.40
19-March-2019,63.50,63.50,59.40,59.50,60.314909090909090909,1375,10,82933.00,1374,99.93,4.10,-4.00
18-March-2019,62.60,62.60,61.05,62.50,62.395287958115183246,2292,6,143010.00,2292,100.00,1.55,-0.10
15-March-2019,65.55,65.55,59.35,63.45,61.799927444222746236,5513,34,340703.00,3282,59.53,6.20,-2.10
14-March-2019,61.80,63.50,61.00,62.45,61.416464155528554070,3292,18,202183.00,3038,92.28,2.50,0.65
13-March-2019,60.50,62.50,59.75,61.50,60.898029556650246305,2030,22,123623.00,1030,50.74,2.75,1.00
12-March-2019,62.85,62.85,60.50,62.85,61.314427312775330396,1816,16,111347.00,1750,96.37,2.35,0.00
11-March-2019,59.00,61.75,57.05,60.15,59.636052871467639015,4388,23,261683.00,4371,99.61,4.70,1.15
8-March-2019,58.10,61.00,58.10,60.05,60.153722549544724156,1867,17,112307.00,1517,81.25,2.90,1.95
7-March-2019,59.90,61.95,58.00,58.10,58.402308678922616502,2339,24,136603.00,1309,55.96,3.95,-1.80
6-March-2019,61.25,61.95,58.00,59.90,59.397299218194740582,2814,34,167144.00,1565,55.61,3.95,-1.35
5-March-2019,62.60,65.70,59.70,60.10,62.273032952252858103,1487,13,92600.00,1441,96.91,6.00,-2.50
1-March-2019,56.70,62.60,56.70,62.60,58.477052631578947368,2375,34,138883.00,2103,88.55,5.90,5.90
28-February-2019,63.00,63.00,59.65,59.65,59.800561797752808988,1424,14,85156.00,1391,97.68,3.35,-3.35
27-February-2019,69.00,69.00,62.70,62.75,63.142695356738391845,883,24,55755.00,773,87.54,6.30,-6.25
26-February-2019,72.90,72.90,66.00,66.00,66.216494845360824742,97,8,6423.00,95,97.94,6.90,-6.90
22-February-2019,63.65,69.75,63.65,69.45,63.661676646706586826,1002,6,63789.00,1000,99.80,6.10,5.80
21-February-2019,67.00,67.00,63.00,66.50,66.229378531073446327,885,11,58613.00,885,100.00,4.00,-0.50
20-February-2019,67.50,70.00,64.15,64.15,65.274021352313167259,1405,14,91710.00,1365,97.15,5.85,-3.35
18-February-2019,71.00,71.00,67.45,67.50,69.425806451612903225,310,13,21522.00,299,96.45,3.55,-3.50
15-February-2019,73.50,73.85,70.30,71.00,70.969065077910174152,8728,21,619418.00,8722,99.93,3.55,-2.50
14-February-2019,70.65,73.95,70.65,73.95,71.093750000000000000,32,7,2275.00,29,90.62,3.30,3.30
13-February-2019,74.05,80.75,73.35,73.35,73.614321323362791751,13239,19,974580.00,13237,99.98,7.40,-0.70
12-February-2019,74.30,81.85,74.30,77.20,77.024666666666666666,1500,6,115537.00,1400,93.33,7.55,2.90
11-February-2019,76.00,78.75,72.20,78.20,75.051851851851851851,135,7,10132.00,96,71.11,6.55,2.20
8-February-2019,76.00,82.40,76.00,76.00,76.063501367721766314,5118,19,389293.00,5116,99.96,6.40,0.00
7-February-2019,75.90,80.00,75.85,80.00,75.868965517241379310,1015,7,77007.00,1011,99.61,4.15,4.10
6-February-2019,79.80,79.80,79.80,79.80,79.799289520426287744,1126,9,89854.00,1006,89.34,0.00,0.00
5-February-2019,84.00,88.00,80.00,84.00,84.017166212534059945,3670,37,308343.00,2774,75.59,8.00,0.00
4-February-2019,84.95,84.95,80.75,84.00,81.093189964157706093,558,6,45250.00,557,99.82,4.20,-0.95
1-February-2019,85.25,85.25,84.95,84.95,85.218181818181818181,110,2,9374.00,110,100.00,0.30,-0.30
31-January-2019,84.00,89.40,84.00,89.40,88.018181818181818181,110,4,9682.00,110,100.00,5.40,5.40
30-January-2019,87.90,87.90,87.90,87.90,87.900000000000000000,10,1,879.00,10,100.00,0.00,0.00
28-January-2019,84.00,88.00,84.00,88.00,84.190476190476190476,105,3,8840.00,105,100.00,4.00,4.00
25-January-2019,89.95,90.00,88.00,88.00,89.820960698689956331,1145,4,102845.00,1045,91.27,2.00,-1.95
24-January-2019,87.05,90.00,87.05,87.05,87.375939849624060150,133,4,11621.00,133,100.00,2.95,0.00
23-January-2019,90.95,91.50,90.95,91.50,91.280000000000000000,250,2,22820.00,250,100.00,0.55,0.55
21-January-2019,95.50,95.50,87.00,90.00,87.059888579387186629,718,8,62509.00,715,99.58,8.50,-5.50
16-January-2019,93.00,93.00,90.00,91.50,91.500000000000000000,200,2,18300.00,100,50.00,3.00,-1.50
11-January-2019,89.95,89.95,89.95,89.95,89.000000000000000000,1,1,89.00,1,100.00,0.00,0.00
10-January-2019,85.85,90.00,85.85,85.95,85.921568627450980392,51,2,4382.00,51,100.00,4.15,0.10
9-January-2019,90.00,90.00,82.50,90.00,87.333333333333333333,3,3,262.00,3,100.00,7.50,0.00
8-January-2019,90.00,90.00,86.60,86.80,86.812500000000000000,16,2,1389.00,16,100.00,3.40,-3.20
7-January-2019,92.00,94.00,86.25,86.25,90.615384615384615384,26,4,2356.00,26,100.00,7.75,-5.75
4-January-2019,90.00,90.00,88.00,90.00,89.200000000000000000,250,12,22300.00,150,60.00,2.00,0.00
3-January-2019,89.95,89.95,82.20,88.00,89.181818181818181818,22,7,1962.00,16,72.73,7.75,-1.95
2-January-2019,91.10,91.10,86.00,86.00,90.526315789473684210,57,4,5160.00,56,98.25,5.10,-5.10
1-January-2019,86.80,86.80,80.30,86.80,85.766666666666666666,690,18,59179.00,230,33.33,6.50,0.00
31-December-2018,79.00,82.70,79.00,82.70,82.140417457305502846,527,5,43288.00,527,100.00,3.70,3.70
28-December-2018,80.00,83.00,78.80,78.80,81.357142857142857142,210,5,17085.00,155,73.81,4.20,-1.20
27-December-2018,82.00,82.00,80.00,80.00,80.019417475728155339,103,5,8242.00,103,100.00,2.00,-2.00
