Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,177.95,177.95,168.40,171.80,170.542950593906007918,11618,357,1981368.00,4528,38.97,9.55,-6.15
28-June-2019,175.70,178.00,171.70,172.45,174.313997477931904161,13481,409,2349927.00,5686,42.18,6.30,-3.25
27-June-2019,173.00,175.05,170.20,173.70,172.614740368509212730,18507,605,3194581.00,12589,68.02,4.85,0.70
26-June-2019,170.00,177.80,165.45,173.30,170.939357450297192047,39032,1388,6672105.00,17722,45.40,12.35,3.30
25-June-2019,168.00,172.10,165.10,170.65,168.282179992828970957,22312,830,3754712.00,13764,61.69,7.00,2.65
24-June-2019,174.70,174.70,167.30,168.65,170.387564052029956641,20296,501,3458186.00,10925,53.83,7.40,-6.05
21-June-2019,179.00,179.00,172.10,176.30,175.226456178551986935,14696,333,2575128.00,5024,34.19,6.90,-2.70
20-June-2019,179.90,179.90,170.00,178.50,174.578426229508196721,15250,642,2662321.00,7728,50.68,9.90,-1.40
19-June-2019,183.00,184.00,175.35,176.15,177.674259815174524692,16989,363,3018508.00,11310,66.57,8.65,-6.85
18-June-2019,182.10,184.80,181.00,181.60,182.240728585493928454,6094,205,1110575.00,3282,53.86,3.80,-0.50
17-June-2019,185.00,187.00,177.90,180.40,181.416930293443874768,9167,355,1663049.00,4564,49.79,9.10,-4.60
14-June-2019,183.50,185.55,180.00,184.45,183.548391210099035151,23527,716,4318343.00,11109,47.22,5.55,0.95
13-June-2019,185.00,186.00,181.45,181.95,183.610191301363987303,11657,482,2140344.00,8054,69.09,4.55,-3.05
12-June-2019,188.00,188.00,184.30,184.95,185.367941993211971613,6482,308,1201555.00,4543,70.09,3.70,-3.05
11-June-2019,185.95,189.40,181.95,188.45,186.626755919013387852,30326,886,5659643.00,15895,52.41,7.45,2.50
10-June-2019,182.80,186.90,178.50,185.00,184.048162166281403205,39367,1129,7245424.00,8562,21.75,8.40,2.20
7-June-2019,180.00,184.70,179.25,181.90,182.315016936394429808,18599,942,3390877.00,7444,40.02,5.45,1.90
6-June-2019,187.90,187.90,176.55,179.40,180.353697432019202314,30413,900,5485097.00,13361,43.93,11.35,-8.50
4-June-2019,186.10,190.40,184.65,185.25,187.418320000000000000,25000,736,4685458.00,10193,40.77,5.75,-0.85
3-June-2019,185.80,195.00,184.60,187.20,190.079786048584800534,116662,2531,22175088.00,31139,26.69,10.40,1.40
31-May-2019,189.00,189.95,183.00,184.05,186.507945021790144150,29830,944,5563532.00,9947,33.35,6.95,-4.95
30-May-2019,182.00,189.00,182.00,186.90,186.726296231783080764,68892,2000,12863948.00,19084,27.70,7.00,4.90
29-May-2019,177.50,191.90,175.40,180.95,185.370075130888177449,139623,3475,25881926.00,23556,16.87,16.50,3.45
28-May-2019,171.20,178.45,166.00,175.85,175.005579462342719701,61117,1227,10695816.00,22548,36.89,12.45,4.65
27-May-2019,166.40,171.50,165.00,169.75,168.860855340032717924,21395,588,3612778.00,9667,45.18,6.50,3.35
24-May-2019,164.35,166.80,162.00,165.75,164.439390665514261019,9256,245,1522051.00,4542,49.07,4.80,1.40
23-May-2019,167.10,169.75,161.25,162.80,166.258481616869580979,33101,856,5503322.00,12682,38.31,8.50,-4.30
22-May-2019,162.00,167.10,161.40,163.50,164.344571990816661200,15245,646,2505433.00,8487,55.67,5.70,1.50
21-May-2019,165.00,166.00,161.20,162.70,163.282974095313426932,5057,156,825722.00,2981,58.95,4.80,-2.30
20-May-2019,164.00,169.10,163.00,165.00,165.802100954056431422,59116,1094,9801557.00,28780,48.68,6.10,1.00
17-May-2019,159.10,160.00,156.00,158.90,158.325634330856262971,14937,767,2364910.00,6083,40.72,4.00,-0.20
16-May-2019,158.25,161.05,155.15,156.75,157.890883785664578983,7185,320,1134446.00,4996,69.53,5.90,-1.50
15-May-2019,161.45,162.90,158.00,159.05,160.397435897435897435,12480,413,2001760.00,5599,44.86,4.90,-2.40
14-May-2019,158.65,162.60,156.75,161.25,161.150997817274711568,12828,527,2067245.00,7611,59.33,5.85,2.60
13-May-2019,163.45,163.55,154.70,157.95,160.056369191865978295,18982,752,3038190.00,9118,48.03,8.85,-5.50
