Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2019,3.20,3.36,3.20,3.36,3.207894736842105263,380,2,1219.00,380,100.00,0.16,0.16
30-April-2019,3.36,3.36,3.36,3.36,3.360000000000000000,1200000,9,4032000.00,1200000,100.00,0.00,0.00
26-April-2019,3.36,3.36,3.36,3.36,3.250000000000000000,4,1,13.00,4,100.00,0.00,0.00
23-April-2019,3.30,3.30,3.18,3.30,3.276000000000000000,1000,7,3276.00,1000,100.00,0.12,0.00
18-April-2019,3.24,3.24,3.24,3.24,3.240000000000000000,200,1,648.00,200,100.00,0.00,0.00
16-April-2019,3.15,3.18,3.15,3.18,3.150002068822839804,1450100,2,4567818.00,1450100,100.00,0.03,0.03
15-April-2019,3.12,3.12,3.12,3.12,3.111111111111111111,72,1,224.00,72,100.00,0.00,0.00
12-April-2019,2.94,3.06,2.94,3.06,2.940298932789991878,70183,3,206359.00,70183,100.00,0.12,0.12
11-April-2019,2.90,3.00,2.90,3.00,2.900233731086234469,40645,5,117880.00,40645,100.00,0.10,0.10
10-April-2019,2.85,2.95,2.85,2.95,2.850068917987594762,145100,2,413545.00,145100,100.00,0.10,0.10
8-April-2019,2.95,2.95,2.90,2.90,2.949986216402481047,145100,2,428043.00,145100,100.00,0.05,-0.05
5-April-2019,2.95,2.95,2.95,2.95,2.950000000000000000,96000,5,283200.00,96000,100.00,0.00,0.00
4-April-2019,3.10,3.10,3.10,3.10,3.100000000000000000,600,2,1860.00,600,100.00,0.00,0.00
28-March-2019,3.26,3.26,3.26,3.26,3.260000000000000000,20150,2,65689.00,20150,100.00,0.00,0.00
27-March-2019,3.43,3.43,3.43,3.43,3.429772918418839360,1189,3,4078.00,1189,100.00,0.00,0.00
26-March-2019,3.61,3.61,3.61,3.61,3.610000000000000000,100,1,361.00,100,100.00,0.00,0.00
25-March-2019,3.80,3.80,3.80,3.80,3.800000000000000000,50,1,190.00,50,100.00,0.00,0.00
22-March-2019,4.00,4.00,4.00,4.00,4.000000000000000000,50,1,200.00,50,100.00,0.00,0.00
20-March-2019,4.21,4.21,4.21,4.21,4.209523809523809523,105,2,442.00,105,100.00,0.00,0.00
19-March-2019,4.43,4.43,4.43,4.43,4.426666666666666666,150,1,664.00,150,100.00,0.00,0.00
18-March-2019,4.66,4.66,4.66,4.66,4.660000000000000000,50,1,233.00,50,100.00,0.00,0.00
15-March-2019,4.90,4.90,4.90,4.90,4.900000000000000000,10,1,49.00,10,100.00,0.00,0.00
14-March-2019,5.35,5.35,4.93,5.15,5.260572844787097986,276794,7,1456095.00,276794,100.00,0.42,-0.20
13-March-2019,5.30,5.36,5.18,5.18,5.323283582089552238,20100,9,106998.00,20100,100.00,0.18,-0.12
12-March-2019,5.28,5.28,5.28,5.28,5.280000000000000000,50,1,264.00,50,100.00,0.00,0.00
8-March-2019,5.55,5.55,5.55,5.55,5.550000000000000000,91000,3,505050.00,91000,100.00,0.00,0.00
6-March-2019,5.55,5.55,5.55,5.55,5.549996552912788693,145050,3,805027.00,145050,100.00,0.00,0.00
5-March-2019,5.84,5.84,5.84,5.84,5.840000000000000000,50,1,292.00,50,100.00,0.00,0.00
1-March-2019,6.14,6.78,6.14,6.14,6.140066644451849383,300100,4,1842634.00,300100,100.00,0.64,0.00
28-February-2019,6.46,6.46,6.46,6.46,6.459998850002874992,400001,2,2584006.00,400001,100.00,0.00,0.00
27-February-2019,7.50,7.50,6.80,6.80,6.800139972005598880,500100,2,3400750.00,500100,100.00,0.70,-0.70
26-February-2019,7.15,7.15,7.15,7.15,7.140000000000000000,50,1,357.00,50,100.00,0.00,0.00
8-February-2019,7.52,7.52,7.52,7.52,7.520000000000000000,50,1,376.00,50,100.00,0.00,0.00
7-February-2019,6.83,7.17,6.83,7.17,7.140000000000000000,50,2,357.00,50,100.00,0.34,0.34
5-February-2019,6.83,6.83,6.83,6.83,6.810810810810810810,37,1,252.00,37,100.00,0.00,0.00
31-January-2019,6.51,7.15,6.51,6.51,7.146492624854059071,1450073,3,10362936.00,1450073,100.00,0.64,0.00
29-January-2019,6.85,6.85,6.85,6.85,6.850000000000000000,1000,1,6850.00,1000,100.00,0.00,0.00
28-January-2019,7.21,7.21,7.21,7.21,7.209803921568627450,510,2,3677.00,510,100.00,0.00,0.00
25-January-2019,7.97,7.97,7.58,7.58,7.969972144846796657,1400100,3,11158758.00,1400100,100.00,0.39,-0.39
24-January-2019,7.97,7.97,7.97,7.97,7.960000000000000000,50,1,398.00,50,100.00,0.00,0.00
23-January-2019,8.38,8.38,8.38,8.38,8.379999366667722220,1200002,3,10056016.00,1200002,100.00,0.00,0.00
18-December-2018,8.82,8.82,8.82,8.82,8.820000000000000000,100,2,882.00,100,100.00,0.00,0.00
14-December-2018,8.08,8.48,8.08,8.40,8.304347826086956521,138,4,1146.00,138,100.00,0.40,0.32
10-December-2018,8.50,8.92,8.08,8.08,8.204976049121257439,6376384,7,52318078.00,6376384,100.00,0.84,-0.42
7-December-2018,8.96,8.96,8.50,8.50,8.959084388795605422,359716,2,3222726.00,359716,100.00,0.46,-0.46
27-November-2018,8.54,8.54,8.54,8.54,8.540000000000000000,420000,1,3586800.00,420000,100.00,0.00,0.00
14-November-2018,8.14,8.14,8.14,8.14,8.139904610492845786,9435,1,76800.00,9435,100.00,0.00,0.00
5-October-2018,8.56,8.56,8.56,8.56,8.500000000000000000,10,1,85.00,10,100.00,0.00,0.00
14-August-2018,8.56,8.56,8.56,8.56,8.428571428571428571,7,1,59.00,7,100.00,0.00,0.00
30-July-2018,8.56,8.56,8.56,8.56,8.550000000000000000,20,2,171.00,20,100.00,0.00,0.00
19-July-2018,9.01,9.01,9.01,9.01,9.000000000000000000,10,2,90.00,10,100.00,0.00,0.00
9-July-2018,9.01,9.01,9.01,9.01,9.000000000000000000,5,1,45.00,5,100.00,0.00,0.00
7-May-2018,9.01,9.01,9.01,9.01,9.000000000000000000,20,2,180.00,20,100.00,0.00,0.00
9-April-2018,9.48,9.48,9.48,9.48,9.450000000000000000,20,4,189.00,20,100.00,0.00,0.00
6-April-2018,9.03,9.03,9.03,9.03,9.030000000000000000,500,1,4515.00,500,100.00,0.00,0.00
28-March-2018,9.50,9.50,9.50,9.50,9.500000000000000000,50,1,475.00,50,100.00,0.00,0.00
23-March-2018,9.50,9.50,9.50,9.50,9.500000000000000000,44000,1,418000.00,44000,100.00,0.00,0.00
27-February-2018,9.07,9.07,9.07,9.07,9.000000000000000000,10,1,90.00,10,100.00,0.00,0.00
17-January-2018,9.50,9.51,9.50,9.50,9.500097087378640776,1030000,8,9785100.00,1030000,100.00,0.01,0.00
12-September-2017,9.45,9.45,9.45,9.45,9.449550449550449550,1001,1,9459.00,1001,100.00,0.00,0.00
4-September-2017,9.45,9.45,9.45,9.45,9.333333333333333333,6,1,56.00,6,100.00,0.00,0.00
9-August-2017,9.45,9.45,9.45,9.45,9.000000000000000000,2,2,18.00,2,100.00,0.00,0.00
31-July-2017,9.45,9.45,9.45,9.45,9.000000000000000000,2,2,18.00,2,100.00,0.00,0.00
11-July-2017,9.45,9.45,9.45,9.45,9.450000000000000000,80,1,756.00,80,100.00,0.00,0.00
