Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,21.80,21.80,19.90,19.90,20.393204438851390001,8741,108,178257.00,6479,74.12,1.90,-1.90
28-June-2019,20.85,21.70,20.60,20.90,20.934670867186204609,12062,159,252514.00,6182,51.25,1.10,0.05
27-June-2019,22.80,22.80,20.80,21.20,22.258074137902464082,60347,266,1343208.00,27190,45.06,2.00,-1.60
26-June-2019,21.75,21.75,21.15,21.75,21.711213146447559207,8276,47,179682.00,7558,91.32,0.60,0.00
25-June-2019,20.75,20.75,20.75,20.75,20.749373433583959899,399,7,8279.00,399,100.00,0.00,0.00
24-June-2019,19.65,19.80,19.45,19.80,19.773080865947054212,16583,63,327897.00,9193,55.44,0.35,0.15
21-June-2019,18.10,18.90,17.55,18.90,18.788902371759514616,45325,134,851607.00,28088,61.97,1.35,0.80
20-June-2019,17.45,18.95,17.45,18.00,17.821590624391058653,251461,1226,4481435.00,71788,28.55,1.50,0.55
19-June-2019,20.00,20.00,19.35,19.35,19.377111796679888350,74877,177,1450900.00,50092,66.90,0.65,-0.65
18-June-2019,25.95,25.95,21.45,21.45,22.139106479022835900,30128,185,667007.00,19063,63.27,4.50,-4.50
17-June-2019,25.35,25.35,23.60,23.80,24.172598192882168541,10846,101,262176.00,6037,55.66,1.75,-1.55
14-June-2019,28.60,28.60,26.15,26.35,26.992457852706299911,9016,92,243364.00,4770,52.91,2.45,-2.25
13-June-2019,31.00,31.00,28.00,28.15,28.324978759558198810,7062,101,200031.00,3539,50.11,3.00,-2.85
12-June-2019,33.00,33.00,28.90,29.05,29.656286675533995774,12781,164,379037.00,6823,53.38,4.10,-3.95
11-June-2019,30.00,31.60,27.15,30.75,29.301630747954362106,34708,320,1017001.00,11385,32.80,4.45,0.75
10-June-2019,34.00,34.60,29.10,29.90,31.877257385005789745,81178,281,2587732.00,71962,88.65,5.50,-4.10
7-June-2019,36.00,36.00,34.05,34.65,34.870959595959595959,3960,51,138089.00,3275,82.70,1.95,-1.35
6-June-2019,36.00,37.00,35.20,36.35,36.249043827199197441,15949,78,578136.00,14578,91.40,1.80,0.35
4-June-2019,36.85,37.60,36.05,36.50,36.517332095326524295,6462,37,235975.00,2734,42.31,1.55,-0.35
3-June-2019,36.25,36.25,35.15,35.85,35.502828546562228024,4596,39,163171.00,2182,47.48,1.10,-0.40
31-May-2019,38.10,38.15,35.70,36.25,36.386163676579012042,40690,167,1480553.00,25051,61.57,2.45,-1.85
30-May-2019,39.60,40.70,37.90,38.90,39.297625472207231516,14824,140,582548.00,6957,46.93,2.80,-0.70
29-May-2019,39.80,40.20,39.80,40.15,40.043157010915197313,5955,35,238457.00,4728,79.40,0.40,0.35
28-May-2019,39.60,40.65,39.60,40.05,40.219224283305227655,2372,27,95400.00,1768,74.54,1.05,0.45
27-May-2019,39.90,40.60,39.90,40.15,40.184095860566448801,7344,104,295112.00,4572,62.25,0.70,0.25
24-May-2019,38.55,40.35,38.55,39.90,39.730977474684852242,24195,104,961291.00,17311,71.55,1.80,1.35
23-May-2019,39.80,39.80,38.60,38.70,39.413742310025127805,11541,93,454874.00,7649,66.28,1.20,-1.10
22-May-2019,39.00,41.00,38.60,39.30,39.212653406686415573,51986,397,2038509.00,19828,38.14,2.40,0.30
