Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-April-2019,1.51,1.51,1.51,1.51,1.510000000000000000,100,1,151.00,100,100.00,0.00,0.00
29-March-2019,1.51,1.51,1.51,1.51,1.510000000000000000,100,1,151.00,100,100.00,0.00,0.00
14-March-2019,1.58,1.58,1.58,1.58,1.580000000000000000,100,1,158.00,100,100.00,0.00,0.00
14-February-2019,1.51,1.51,1.51,1.51,1.510000000000000000,100,1,151.00,100,100.00,0.00,0.00
11-February-2019,1.44,1.44,1.44,1.44,1.440000000000000000,2100,2,3024.00,2100,100.00,0.00,0.00
6-February-2019,1.38,1.38,1.38,1.38,1.380000000000000000,200,1,276.00,200,100.00,0.00,0.00
14-December-2018,1.32,1.32,1.32,1.32,1.320000000000000000,100,1,132.00,100,100.00,0.00,0.00
22-November-2018,1.26,1.26,1.26,1.26,1.260000000000000000,800,2,1008.00,800,100.00,0.00,0.00
21-November-2018,1.26,1.26,1.26,1.26,1.260000000000000000,1000,2,1260.00,1000,100.00,0.00,0.00
18-September-2018,1.20,1.20,1.20,1.20,1.200000000000000000,100,1,120.00,100,100.00,0.00,0.00
17-September-2018,1.26,1.26,1.26,1.26,1.260000000000000000,100,1,126.00,100,100.00,0.00,0.00
20-August-2018,1.20,1.20,1.20,1.20,1.200000000000000000,100,1,120.00,100,100.00,0.00,0.00
9-August-2018,1.25,1.25,1.25,1.25,1.250000000000000000,1700,1,2125.00,1700,100.00,0.00,0.00
13-June-2018,1.31,1.31,1.31,1.31,1.310000000000000000,200,2,262.00,200,100.00,0.00,0.00
16-April-2018,1.37,1.37,1.37,1.37,1.370000000000000000,3000,2,4110.00,3000,100.00,0.00,0.00
16-February-2018,1.31,1.31,1.31,1.31,1.310000000000000000,100,1,131.00,100,100.00,0.00,0.00
4-January-2018,1.37,1.37,1.37,1.37,1.370000000000000000,2400,2,3288.00,2400,100.00,0.00,0.00
3-January-2018,1.31,1.31,1.31,1.31,1.310000000000000000,1000,1,1310.00,1000,100.00,0.00,0.00
1-January-2018,1.25,1.25,1.25,1.25,1.250000000000000000,100,1,125.00,100,100.00,0.00,0.00
4-October-2017,1.25,1.25,1.25,1.25,1.250000000000000000,200,1,250.00,200,100.00,0.00,0.00
3-October-2017,1.24,1.24,1.24,1.24,1.240000000000000000,3200,5,3968.00,3200,100.00,0.00,0.00
8-September-2017,1.19,1.19,1.19,1.19,1.190000000000000000,100,1,119.00,100,100.00,0.00,0.00
3-July-2017,1.25,1.25,1.25,1.25,1.250000000000000000,400,1,500.00,400,100.00,0.00,0.00
3-April-2017,1.31,1.31,1.31,1.31,1.310000000000000000,2400,1,3144.00,2400,100.00,0.00,0.00
29-March-2017,1.31,1.31,1.31,1.31,1.310000000000000000,200,1,262.00,200,100.00,0.00,0.00
27-March-2017,1.33,1.33,1.33,1.33,1.330000000000000000,800,1,1064.00,800,100.00,0.00,0.00
24-March-2017,1.27,1.27,1.27,1.27,1.270000000000000000,1200,4,1524.00,1200,100.00,0.00,0.00
23-March-2017,1.21,1.21,1.21,1.21,1.210000000000000000,1800,4,2178.00,1800,100.00,0.00,0.00
22-March-2017,1.16,1.16,1.16,1.16,1.160000000000000000,100,1,116.00,100,100.00,0.00,0.00
14-March-2017,1.11,1.11,1.11,1.11,1.110000000000000000,100,1,111.00,100,100.00,0.00,0.00
8-March-2017,1.06,1.06,1.06,1.06,1.060000000000000000,200,1,212.00,200,100.00,0.00,0.00
6-March-2017,1.01,1.01,1.01,1.01,1.010000000000000000,100,1,101.00,100,100.00,0.00,0.00
1-March-2017,1.06,1.06,1.06,1.06,1.060000000000000000,100,1,106.00,100,100.00,0.00,0.00
12-January-2017,1.10,1.10,1.10,1.10,1.100000000000000000,100,1,110.00,100,100.00,0.00,0.00
9-January-2017,1.15,1.15,1.15,1.15,1.150000000000000000,1200,2,1380.00,1200,100.00,0.00,0.00
2-January-2017,1.15,1.15,1.15,1.15,1.150000000000000000,100,1,115.00,100,100.00,0.00,0.00
29-December-2016,1.15,1.15,1.15,1.15,1.150000000000000000,600,3,690.00,600,100.00,0.00,0.00
27-December-2016,1.15,1.15,1.15,1.15,1.150000000000000000,400,1,460.00,400,100.00,0.00,0.00
16-December-2016,1.15,1.15,1.15,1.15,1.150000000000000000,200,1,230.00,200,100.00,0.00,0.00
23-August-2016,1.10,1.10,1.10,1.10,1.100000000000000000,100,1,110.00,100,100.00,0.00,0.00
29-July-2016,1.15,1.15,1.15,1.15,1.150000000000000000,100,1,115.00,100,100.00,0.00,0.00
28-July-2016,1.15,1.15,1.15,1.15,1.150000000000000000,4400,3,5060.00,4400,100.00,0.00,0.00
30-June-2016,1.10,1.10,1.10,1.10,1.100000000000000000,2000,1,2200.00,2000,100.00,0.00,0.00
9-June-2016,1.10,1.15,1.10,1.15,1.117857142857142857,1400,2,1565.00,1400,100.00,0.05,0.05
8-June-2016,1.15,1.15,1.15,1.15,1.150000000000000000,2000,1,2300.00,2000,100.00,0.00,0.00
16-May-2016,1.11,1.11,1.10,1.10,1.105000000000000000,1000,2,1105.00,1000,100.00,0.01,-0.01
13-April-2016,1.06,1.06,1.06,1.06,1.060000000000000000,500,1,530.00,500,100.00,0.00,0.00
12-April-2016,1.11,1.11,1.11,1.11,1.110000000000000000,300,1,333.00,300,100.00,0.00,0.00
8-April-2016,1.06,1.06,1.06,1.06,1.060000000000000000,100,1,106.00,100,100.00,0.00,0.00
7-April-2016,1.11,1.11,1.11,1.11,1.110000000000000000,100,1,111.00,100,100.00,0.00,0.00
31-March-2016,1.16,1.16,1.16,1.16,1.160000000000000000,800,3,928.00,800,100.00,0.00,0.00
30-March-2016,1.22,1.22,1.22,1.22,1.220000000000000000,1000,3,1220.00,1000,100.00,0.00,0.00
29-March-2016,1.17,1.17,1.17,1.17,1.170000000000000000,600,2,702.00,600,100.00,0.00,0.00
28-March-2016,1.12,1.12,1.12,1.12,1.120000000000000000,300,2,336.00,300,100.00,0.00,0.00
23-March-2016,1.07,1.07,1.07,1.07,1.070000000000000000,3000,1,3210.00,3000,100.00,0.00,0.00
22-March-2016,1.02,1.02,1.02,1.02,1.020000000000000000,100,1,102.00,100,100.00,0.00,0.00
15-March-2016,1.02,1.02,1.02,1.02,1.020000000000000000,100,1,102.00,100,100.00,0.00,0.00
1-March-2016,1.07,1.07,1.07,1.07,1.070000000000000000,2000,2,2140.00,2000,100.00,0.00,0.00
28-January-2016,1.07,1.07,1.07,1.07,1.070000000000000000,100,1,107.00,100,100.00,0.00,0.00
25-January-2016,1.12,1.12,1.12,1.12,1.120000000000000000,100,1,112.00,100,100.00,0.00,0.00
11-January-2016,1.17,1.17,1.17,1.17,1.170000000000000000,100,1,117.00,100,100.00,0.00,0.00
28-December-2015,1.23,1.23,1.23,1.23,1.230000000000000000,100,1,123.00,100,100.00,0.00,0.00
22-December-2015,1.29,1.29,1.29,1.29,1.290000000000000000,300,1,387.00,300,100.00,0.00,0.00
15-December-2015,1.23,1.23,1.23,1.23,1.230000000000000000,100,1,123.00,100,100.00,0.00,0.00
