Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-June-2019,2.20,2.20,2.20,2.20,2.200000000000000000,200,1,440.00,200,100.00,0.00,0.00
7-May-2019,2.31,2.31,2.31,2.31,2.310000000000000000,100,1,231.00,100,100.00,0.00,0.00
23-April-2019,2.43,2.43,2.43,2.43,2.430000000000000000,100,1,243.00,100,100.00,0.00,0.00
15-April-2019,2.55,2.55,2.55,2.55,2.550000000000000000,100,2,255.00,100,100.00,0.00,0.00
5-April-2019,2.66,2.66,2.66,2.66,2.660000000000000000,500,1,1330.00,500,100.00,0.00,0.00
4-April-2019,2.80,2.80,2.80,2.80,2.800000000000000000,50,1,140.00,50,100.00,0.00,0.00
3-April-2019,2.94,2.94,2.94,2.94,2.940000000000000000,500,3,1470.00,500,100.00,0.00,0.00
18-March-2019,3.09,3.09,3.09,3.09,3.086666666666666666,150,1,463.00,150,100.00,0.00,0.00
15-March-2019,2.95,2.95,2.95,2.95,2.940000000000000000,50,1,147.00,50,100.00,0.00,0.00
14-March-2019,2.93,2.93,2.93,2.93,2.920000000000000000,50,2,146.00,50,100.00,0.00,0.00
12-March-2019,2.93,2.93,2.93,2.93,2.920000000000000000,50,1,146.00,50,100.00,0.00,0.00
5-March-2019,3.07,3.07,3.07,3.07,3.063829787234042553,94,1,288.00,94,100.00,0.00,0.00
1-March-2019,3.23,3.23,3.23,3.23,3.220000000000000000,50,1,161.00,50,100.00,0.00,0.00
26-February-2019,3.40,3.40,3.40,3.40,3.399744572158365261,3132,2,10648.00,3132,100.00,0.00,0.00
25-February-2019,3.56,3.56,3.56,3.56,3.554455445544554455,101,3,359.00,101,100.00,0.00,0.00
20-February-2019,3.74,3.74,3.74,3.74,3.740000000000000000,500,2,1870.00,500,100.00,0.00,0.00
18-February-2019,3.92,3.92,3.92,3.92,3.920000000000000000,75,1,294.00,75,100.00,0.00,0.00
14-February-2019,4.12,4.12,4.12,4.12,4.120000000000000000,25,1,103.00,25,100.00,0.00,0.00
12-February-2019,4.33,4.33,4.33,4.33,4.320000000000000000,50,1,216.00,50,100.00,0.00,0.00
8-February-2019,4.55,4.55,4.55,4.55,4.540000000000000000,50,1,227.00,50,100.00,0.00,0.00
7-February-2019,4.78,4.78,4.78,4.78,4.780000000000000000,50,2,239.00,50,100.00,0.00,0.00
31-January-2019,5.03,5.03,5.03,5.03,5.020000000000000000,50,1,251.00,50,100.00,0.00,0.00
28-January-2019,5.29,5.29,5.29,5.29,5.290000000000000000,500,2,2645.00,500,100.00,0.00,0.00
17-January-2019,5.56,5.56,5.56,5.56,5.560000000000000000,100,1,556.00,100,100.00,0.00,0.00
16-January-2019,5.85,5.85,5.85,5.85,5.750000000000000000,4,1,23.00,4,100.00,0.00,0.00
11-January-2019,6.15,6.15,6.15,6.15,6.150000000000000000,100,2,615.00,100,100.00,0.00,0.00
10-January-2019,6.81,6.81,6.47,6.47,6.582781456953642384,151,2,994.00,151,100.00,0.34,-0.34
9-January-2019,6.81,6.81,6.81,6.81,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
25-September-2018,7.16,7.16,7.16,7.16,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
3-August-2018,7.16,7.16,7.16,7.16,7.159358288770053475,935,2,6694.00,935,100.00,0.00,0.00
25-July-2018,6.82,6.82,6.82,6.82,6.820000000000000000,50,1,341.00,50,100.00,0.00,0.00
23-July-2018,6.82,6.82,6.82,6.82,6.820000000000000000,50,1,341.00,50,100.00,0.00,0.00
20-July-2018,6.82,6.82,6.82,6.82,6.820000000000000000,250,1,1705.00,250,100.00,0.00,0.00
19-July-2018,6.50,6.50,6.50,6.50,6.500000000000000000,140,1,910.00,140,100.00,0.00,0.00
18-July-2018,6.50,6.51,6.50,6.51,6.490909090909090909,55,2,357.00,55,100.00,0.01,0.01
2-July-2018,6.20,6.20,6.20,6.20,6.200000000000000000,200,1,1240.00,200,100.00,0.00,0.00
22-June-2018,6.20,6.20,6.20,6.20,6.200000000000000000,200,1,1240.00,200,100.00,0.00,0.00
25-May-2018,6.00,6.00,6.00,6.00,6.000000000000000000,200,2,1200.00,200,100.00,0.00,0.00
19-March-2018,5.91,5.91,5.91,5.91,5.900000000000000000,50,1,295.00,50,100.00,0.00,0.00
7-March-2018,5.91,5.91,5.91,5.91,5.906666666666666666,150,1,886.00,150,100.00,0.00,0.00
14-February-2018,5.63,5.63,5.63,5.63,5.620000000000000000,50,1,281.00,50,100.00,0.00,0.00
12-February-2018,5.37,5.37,5.37,5.37,5.370000000000000000,200,1,1074.00,200,100.00,0.00,0.00
30-January-2018,5.12,5.12,5.12,5.12,5.119106699751861042,403,2,2063.00,403,100.00,0.00,0.00
29-January-2018,5.38,5.38,5.38,5.38,5.380000000000000000,50,1,269.00,50,100.00,0.00,0.00
24-January-2018,5.66,5.66,5.66,5.66,5.660000000000000000,50,1,283.00,50,100.00,0.00,0.00
22-January-2018,6.05,6.05,5.66,5.66,5.660000000000000000,50,2,283.00,50,100.00,0.39,-0.39
18-January-2018,5.95,5.95,5.95,5.95,5.946666666666666666,150,1,892.00,150,100.00,0.00,0.00
16-January-2018,6.25,6.25,6.25,6.25,6.240000000000000000,50,1,312.00,50,100.00,0.00,0.00
9-January-2018,6.00,6.00,6.00,6.00,6.000000000000000000,50,1,300.00,50,100.00,0.00,0.00
4-January-2018,6.02,6.02,6.00,6.00,6.000000000000000000,50,2,300.00,50,100.00,0.02,-0.02
3-January-2018,6.03,6.03,6.02,6.02,6.020000000000000000,50,2,301.00,50,100.00,0.01,-0.01
29-December-2017,6.33,6.33,6.33,6.33,6.320000000000000000,50,1,316.00,50,100.00,0.00,0.00
28-December-2017,6.33,6.33,6.33,6.33,6.330000000000000000,100,1,633.00,100,100.00,0.00,0.00
22-December-2017,6.03,6.03,6.03,6.03,6.030000000000000000,100,1,603.00,100,100.00,0.00,0.00
19-December-2017,6.34,6.34,6.34,6.34,6.338607594936708860,316,1,2003.00,316,100.00,0.00,0.00
12-December-2017,6.67,6.67,6.67,6.67,6.670000000000000000,600,2,4002.00,600,100.00,0.00,0.00
5-December-2017,6.67,6.67,6.67,6.67,6.666666666666666666,150,1,1000.00,150,100.00,0.00,0.00
29-November-2017,7.02,7.02,7.02,7.02,7.020000000000000000,200,1,1404.00,200,100.00,0.00,0.00
22-November-2017,6.69,6.69,6.69,6.69,6.680000000000000000,50,1,334.00,50,100.00,0.00,0.00
3-November-2017,6.38,6.38,6.38,6.38,6.380000000000000000,100,1,638.00,100,100.00,0.00,0.00
