Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,23.50,24.50,23.45,24.50,23.604255319148936170,235,3,5547.00,205,87.23,1.05,1.00
28-June-2019,24.00,25.90,22.90,24.70,23.485396955985191279,2431,25,57093.00,1288,52.98,3.00,0.70
27-June-2019,25.90,25.95,25.00,25.40,25.298181818181818181,275,9,6957.00,205,74.55,0.95,-0.50
26-June-2019,28.00,28.00,26.95,26.95,27.480000000000000000,50,3,1374.00,25,50.00,1.05,-1.05
25-June-2019,29.00,31.00,25.25,28.50,27.380219780219780219,455,21,12458.00,259,56.92,5.75,-0.50
24-June-2019,26.00,29.85,24.50,27.80,27.416666666666666666,120,7,3290.00,60,50.00,5.35,1.80
21-June-2019,22.00,28.00,22.00,25.05,24.153846153846153846,741,14,17898.00,616,83.13,6.00,3.05
20-June-2019,24.95,25.95,22.00,24.15,23.539205155746509129,931,26,21915.00,555,59.61,3.95,-0.80
19-June-2019,22.90,24.00,19.25,21.95,21.831338411316648531,919,12,20063.00,794,86.40,4.75,-0.95
18-June-2019,20.20,20.20,20.20,20.20,20.200000000000000000,65,1,1313.00,65,100.00,0.00,0.00
17-June-2019,23.10,23.10,20.15,22.90,22.913005272407732864,1138,3,26075.00,1138,100.00,2.95,-0.20
14-June-2019,19.15,22.95,19.15,22.90,22.520833333333333333,96,5,2162.00,96,100.00,3.80,3.75
13-June-2019,24.00,24.00,21.25,22.15,22.746666666666666666,150,4,3412.00,100,66.67,2.75,-1.85
10-June-2019,25.00,25.00,24.05,24.30,24.372727272727272727,110,4,2681.00,85,77.27,0.95,-0.70
7-June-2019,25.00,25.00,25.00,25.00,25.000000000000000000,200,3,5000.00,200,100.00,0.00,0.00
6-June-2019,25.25,28.00,25.25,25.25,25.345323741007194244,278,6,7046.00,250,89.93,2.75,0.00
4-June-2019,27.00,27.00,26.25,26.50,26.582309582309582309,407,11,10819.00,357,87.71,0.75,-0.50
3-June-2019,27.50,28.90,27.20,28.05,27.760000000000000000,200,6,5552.00,119,59.50,1.70,0.55
31-May-2019,30.00,30.00,29.00,29.00,29.500000000000000000,50,2,1475.00,0,0.00,1.00,-1.00
29-May-2019,30.00,30.60,28.00,30.05,29.374501992031872509,251,8,7373.00,218,86.85,2.60,0.05
28-May-2019,29.00,31.30,29.00,29.15,29.113730929264909847,721,7,20991.00,721,100.00,2.30,0.15
24-May-2019,24.70,28.90,24.00,28.50,28.095366379310344827,1856,26,52145.00,1598,86.10,4.90,3.80
23-May-2019,25.00,26.70,24.50,26.65,24.861171366594360086,461,6,11461.00,411,89.15,2.20,1.65
21-May-2019,26.70,26.70,25.00,26.00,25.540918163672654690,1002,6,25592.00,801,79.94,1.70,-0.70
20-May-2019,27.00,27.00,22.55,24.65,23.883585564610011641,1718,19,41032.00,1160,67.52,4.45,-2.35
17-May-2019,25.00,25.90,24.65,25.00,24.881773399014778325,203,5,5051.00,178,87.68,1.25,0.00
16-May-2019,23.00,25.30,23.00,24.60,24.534502923976608187,855,15,20977.00,805,94.15,2.30,1.60
15-May-2019,23.00,23.10,23.00,23.00,23.019083969465648854,262,6,6031.00,237,90.46,0.10,0.00
14-May-2019,20.60,23.00,20.60,22.75,22.083776595744680851,1504,19,33214.00,1440,95.74,2.40,2.15
13-May-2019,21.00,22.45,20.10,21.05,20.496932515337423312,326,9,6682.00,306,93.86,2.35,0.05
10-May-2019,22.00,23.00,21.75,22.00,22.358024691358024691,405,7,9055.00,280,69.14,1.25,0.00
9-May-2019,21.60,21.60,21.60,21.60,21.600000000000000000,395,1,8532.00,395,100.00,0.00,0.00
8-May-2019,22.50,23.00,20.75,21.20,21.811848046084384244,12846,38,280195.00,11631,90.54,2.25,-1.30
7-May-2019,27.00,27.00,22.45,22.45,23.068192713326941514,16688,41,384962.00,15087,90.41,4.55,-4.55
6-May-2019,27.50,31.95,25.10,28.05,27.111111111111111111,297,14,8052.00,187,62.96,6.85,0.55
3-May-2019,29.00,29.00,28.30,28.35,28.580000000000000000,350,6,10003.00,300,85.71,0.70,-0.65
2-May-2019,32.30,32.30,30.90,30.90,30.941074523396880415,577,6,17853.00,567,98.27,1.40,-1.40
30-April-2019,32.40,32.40,32.40,32.40,32.000000000000000000,2,1,64.00,2,100.00,0.00,0.00
26-April-2019,28.00,28.00,28.00,28.00,28.000000000000000000,10,2,280.00,5,50.00,0.00,0.00
25-April-2019,27.55,28.00,27.55,28.00,27.619354838709677419,155,3,4281.00,155,100.00,0.45,0.45
23-April-2019,29.00,29.00,28.05,28.15,28.428571428571428571,70,4,1990.00,35,50.00,0.95,-0.85
22-April-2019,30.95,31.00,30.00,30.00,30.400000000000000000,85,5,2584.00,67,78.82,1.00,-0.95
18-April-2019,28.00,30.00,27.50,28.55,28.429166666666666666,240,8,6823.00,165,68.75,2.50,0.55
16-April-2019,30.00,30.00,29.35,29.35,29.388692579505300353,283,7,8317.00,283,100.00,0.65,-0.65
15-April-2019,31.00,31.00,29.00,29.05,29.307692307692307692,13,4,381.00,12,92.31,2.00,-1.95
12-April-2019,32.70,32.70,29.35,29.35,29.547344110854503464,433,8,12794.00,431,99.54,3.35,-3.35
10-April-2019,29.30,30.65,28.15,28.50,28.630960608154803040,1447,15,41429.00,1405,97.10,2.50,-0.80
9-April-2019,29.95,29.95,29.00,29.00,29.760000000000000000,625,4,18600.00,600,96.00,0.95,-0.95
8-April-2019,31.90,31.90,27.60,29.05,31.164794007490636704,267,6,8321.00,217,81.27,4.30,-2.85
5-April-2019,31.00,31.80,28.20,30.70,29.199483537766300839,1549,13,45230.00,1510,97.48,3.60,-0.30
