Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-April-2019,11.59,11.59,11.59,11.59,11.590000000000000000,29600,3,343064.00,29600,100.00,0.00,0.00
2-April-2019,12.19,12.19,12.19,12.19,12.190000000000000000,13600,2,165784.00,13600,100.00,0.00,0.00
1-April-2019,12.83,12.83,12.83,12.83,12.830000000000000000,2400,1,30792.00,2400,100.00,0.00,0.00
29-March-2019,13.50,13.50,13.50,13.50,13.500000000000000000,2400,1,32400.00,2400,100.00,0.00,0.00
12-March-2019,14.20,14.20,14.20,14.20,14.200000000000000000,4000,1,56800.00,4000,100.00,0.00,0.00
11-March-2019,14.90,14.90,14.90,14.90,14.900000000000000000,800,1,11920.00,800,100.00,0.00,0.00
8-March-2019,16.40,16.40,16.40,16.40,16.400000000000000000,800,1,13120.00,800,100.00,0.00,0.00
7-March-2019,18.20,18.20,18.20,18.20,18.200000000000000000,800,1,14560.00,800,100.00,0.00,0.00
6-March-2019,20.20,20.20,20.20,20.20,20.200000000000000000,800,1,16160.00,800,100.00,0.00,0.00
5-March-2019,20.15,20.15,20.15,20.15,20.150000000000000000,800,1,16120.00,800,100.00,0.00,0.00
1-March-2019,30.00,30.00,25.15,25.15,27.090000000000000000,4000,4,108360.00,4000,100.00,4.85,-4.85
17-December-2018,31.40,47.00,31.40,31.40,37.256250000000000000,6400,6,238440.00,800,12.50,15.60,0.00
10-December-2018,26.30,39.20,26.30,39.20,32.750000000000000000,4800,2,157200.00,0,0.00,12.90,12.90
25-September-2018,32.80,32.80,32.80,32.80,32.800000000000000000,800,1,26240.00,800,100.00,0.00,0.00
24-September-2018,32.80,32.80,32.80,32.80,32.800000000000000000,48000,5,1574400.00,48000,100.00,0.00,0.00
9-March-2017,32.80,32.80,32.80,32.80,32.800000000000000000,800,1,26240.00,800,100.00,0.00,0.00
8-March-2017,32.80,32.80,32.80,32.80,32.800000000000000000,800,1,26240.00,800,100.00,0.00,0.00
6-March-2017,35.80,35.80,35.80,35.80,35.800000000000000000,12000,1,429600.00,12000,100.00,0.00,0.00
2-March-2017,35.85,35.85,35.85,35.85,35.850000000000000000,3200,1,114720.00,3200,100.00,0.00,0.00
