Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,87.20,88.60,86.75,88.15,87.181862191382927222,6197,73,540266.00,6197,100.00,1.85,0.95
28-June-2019,87.00,88.95,87.00,87.20,87.514689880304678998,2757,39,241278.00,2757,100.00,1.95,0.20
27-June-2019,87.00,92.00,86.75,87.25,87.099440787437320732,48461,105,4220926.00,48461,100.00,5.25,0.25
26-June-2019,87.00,90.00,87.00,88.55,88.101682335477486392,4042,56,356107.00,4042,100.00,3.00,1.55
25-June-2019,86.70,88.45,86.35,87.00,87.057418149641136564,10171,91,885461.00,10171,100.00,2.10,0.30
24-June-2019,91.00,91.00,90.85,90.85,90.875432525951557093,578,29,52526.00,578,100.00,0.15,-0.15
21-June-2019,96.00,96.00,95.60,95.60,95.622531939605110336,861,17,82331.00,861,100.00,0.40,-0.40
20-June-2019,106.20,106.20,100.60,100.60,100.930029154518950437,2744,28,276952.00,2744,100.00,5.60,-5.60
19-June-2019,109.35,109.35,98.95,105.85,106.970076871485322189,38766,312,4146802.00,38766,100.00,10.40,-3.50
18-June-2019,104.15,104.15,104.15,104.15,104.149884156121903404,5611,89,584385.00,5611,100.00,0.00,0.00
17-June-2019,95.00,99.20,95.00,99.20,98.751962428715196242,14905,111,1471898.00,14905,100.00,4.20,4.20
14-June-2019,90.00,94.50,87.25,94.50,93.716105550500454959,9891,113,926946.00,9891,100.00,7.25,4.50
