Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,95.00,95.00,90.00,90.55,90.461002538820334179,16937,186,1532138.00,2395,14.14,5.00,-4.45
28-June-2019,93.00,93.00,90.00,90.35,90.381279794646131279,10908,165,985879.00,1278,11.72,3.00,-2.65
27-June-2019,93.00,93.00,90.05,90.40,90.493931088488645262,15324,95,1386729.00,2065,13.48,2.95,-2.60
26-June-2019,93.00,93.00,90.10,90.50,90.446779150724455874,15943,105,1441993.00,2730,17.12,2.90,-2.50
25-June-2019,93.00,93.00,89.00,90.50,90.324445957189320021,26442,212,2388359.00,3781,14.30,4.00,-2.50
24-June-2019,91.00,91.25,90.00,90.40,90.235216906215134212,15237,140,1374914.00,3700,24.28,1.25,-0.60
21-June-2019,93.00,93.00,89.00,90.05,90.623832066774635604,16054,210,1454875.00,3993,24.87,4.00,-2.95
20-June-2019,83.10,92.15,83.10,90.05,90.383051398828887443,18444,128,1667025.00,2728,14.79,9.05,6.95
19-June-2019,93.00,93.00,90.00,90.20,90.563222706112028833,26636,255,2412242.00,3949,14.83,3.00,-2.80
18-June-2019,92.00,92.00,90.15,90.80,90.611595351294241944,15144,118,1372222.00,2048,13.52,1.85,-1.20
17-June-2019,92.00,92.00,89.00,90.95,90.752791158968546330,17645,150,1601333.00,3029,17.17,3.00,-1.05
14-June-2019,92.00,92.00,90.00,91.40,90.367299649598734034,17694,116,1598959.00,2100,11.87,2.00,-0.60
13-June-2019,91.65,91.95,90.00,90.45,90.857770118741295059,42361,166,3848826.00,30241,71.39,1.95,-1.20
12-June-2019,90.00,91.70,89.65,91.25,90.210401758043613005,17747,171,1600964.00,3017,17.00,2.05,1.25
11-June-2019,91.65,92.95,90.00,90.25,91.212510202567336944,13477,122,1229271.00,2993,22.21,2.95,-1.40
10-June-2019,92.00,92.50,90.25,92.05,91.161643986557214478,18151,158,1654675.00,3021,16.64,2.25,0.05
7-June-2019,90.05,91.40,90.00,91.00,90.529931699477701888,17423,130,1577303.00,2237,12.84,1.40,0.95
6-June-2019,91.00,91.00,90.00,90.30,90.256740754235744215,21956,173,1981677.00,3861,17.59,1.00,-0.70
4-June-2019,90.00,101.05,86.60,91.80,94.542848766544308513,163727,1059,15479217.00,64392,39.33,14.45,1.80
3-June-2019,92.90,92.90,88.00,88.35,88.805236270753512132,10962,146,973483.00,2100,19.16,4.90,-4.55
31-May-2019,90.25,90.25,88.25,89.50,89.133423661128146616,14023,126,1249918.00,2177,15.52,2.00,-0.75
30-May-2019,95.00,95.00,89.00,89.90,89.801198053163609135,13355,113,1199295.00,4422,33.11,6.00,-5.10
29-May-2019,92.00,92.00,91.00,91.05,91.219045895904951450,16581,167,1512503.00,3344,20.17,1.00,-0.95
28-May-2019,93.75,94.00,91.00,91.00,91.172157721796276013,45650,224,4162009.00,26381,57.79,3.00,-2.75
27-May-2019,95.50,95.50,87.15,90.25,89.562925110132158590,28375,208,2541348.00,8246,29.06,8.35,-5.25
24-May-2019,88.00,90.00,87.25,89.35,87.877939747327502429,10290,135,904264.00,3550,34.50,2.75,1.35
23-May-2019,90.00,90.00,87.00,88.20,88.208817204301075268,18600,169,1640684.00,2498,13.43,3.00,-1.80
22-May-2019,88.45,89.60,88.05,88.30,88.716334869164565765,11503,131,1020504.00,2050,17.82,1.55,-0.15
21-May-2019,89.00,91.00,87.00,87.60,88.556792873051224944,17062,118,1510956.00,2101,12.31,4.00,-1.40
20-May-2019,88.00,90.00,87.65,89.30,89.405142216617626453,14274,284,1276169.00,2251,15.77,2.35,1.30
17-May-2019,86.05,90.00,85.30,88.05,86.250343969075542160,15263,179,1316439.00,4506,29.52,4.70,2.00
16-May-2019,91.00,91.00,84.10,85.95,85.417427701674277016,18396,181,1571339.00,2177,11.83,6.90,-5.05
15-May-2019,92.00,92.00,86.25,87.20,87.114207253049026734,12381,159,1078561.00,2094,16.91,5.75,-4.80
14-May-2019,89.00,89.00,83.20,88.55,84.538573797678275290,15075,166,1274419.00,2710,17.98,5.80,-0.45
13-May-2019,93.00,93.00,85.05,86.20,86.204204445157666693,12463,124,1074363.00,2203,17.68,7.95,-6.80
10-May-2019,91.00,91.00,87.00,89.10,87.630302056555269922,68464,209,5999521.00,52004,75.96,4.00,-1.90
9-May-2019,90.00,90.00,83.55,86.95,85.595037660611431103,15799,182,1352316.00,3512,22.23,6.45,-3.05
8-May-2019,90.95,90.95,82.00,84.85,84.207744408945686900,39125,149,3294628.00,25754,65.82,8.95,-6.10
7-May-2019,88.00,93.00,84.00,85.00,86.205544229244535054,35316,263,3044435.00,1436,4.07,9.00,-3.00
6-May-2019,91.00,91.00,83.50,84.25,86.399587050527874089,77007,208,6653373.00,25187,32.71,7.50,-6.75
3-May-2019,91.00,91.00,87.00,88.55,88.223503325942350332,29315,129,2586272.00,2230,7.61,4.00,-2.45
2-May-2019,88.00,89.75,81.75,87.25,83.589361140443505807,15152,109,1266546.00,2376,15.68,8.00,-0.75
30-April-2019,93.00,93.00,82.00,83.25,85.904938927243759957,54607,242,4691011.00,28453,52.10,11.00,-9.75
26-April-2019,94.90,94.90,85.25,86.70,90.134267193204679234,13421,268,1209692.00,4784,35.65,9.65,-8.20
25-April-2019,92.95,92.95,90.00,91.90,91.109658166033640803,18430,129,1679151.00,4993,27.09,2.95,-1.05
24-April-2019,96.00,96.00,88.20,89.80,91.650303486775065349,22571,247,2068639.00,4307,19.08,7.80,-6.20
23-April-2019,90.00,96.00,85.10,92.45,91.290721354817964200,27989,478,2555136.00,6084,21.74,10.90,2.45
22-April-2019,90.00,90.00,85.10,86.25,85.601791623873102818,17526,100,1500257.00,2219,12.66,4.90,-3.75
18-April-2019,86.25,87.25,85.00,86.55,85.641452758055707263,14648,76,1254476.00,355,2.42,2.25,0.30
16-April-2019,86.50,88.10,83.50,85.80,85.687934701385296315,17397,250,1490713.00,7232,41.57,4.60,-0.70
15-April-2019,94.00,94.00,85.00,87.50,88.236198918073388515,15343,139,1353808.00,6993,45.58,9.00,-6.50
12-April-2019,94.90,94.90,88.00,88.75,89.516565562295846943,15001,53,1342838.00,2165,14.43,6.90,-6.15
11-April-2019,93.00,93.00,88.05,89.50,89.746122664786746563,11348,64,1018439.00,2027,17.86,4.95,-3.50
10-April-2019,95.00,95.00,90.00,90.25,91.092673992673992673,10920,47,994732.00,2676,24.51,5.00,-4.75
9-April-2019,94.90,94.90,90.00,90.75,91.328452903855539287,10245,56,935660.00,2128,20.77,4.90,-4.15
8-April-2019,94.00,94.00,91.00,91.20,91.421840301245534421,10357,36,946856.00,2239,21.62,3.00,-2.80
5-April-2019,94.00,94.00,91.25,91.80,91.469670710571923743,12117,38,1108338.00,2050,16.92,2.75,-2.20
4-April-2019,95.00,95.00,90.00,92.75,91.352130809836487704,15534,50,1419064.00,2007,12.92,5.00,-2.25
3-April-2019,95.00,95.00,91.00,92.45,92.226439123790117167,15704,87,1448324.00,4751,30.25,4.00,-2.55
2-April-2019,94.90,94.90,91.00,91.15,91.835423759182942125,11162,46,1025067.00,2094,18.76,3.90,-3.75
1-April-2019,95.00,95.00,92.45,92.80,92.827399903521466473,10365,74,962156.00,170,1.64,2.55,-2.20
29-March-2019,94.00,94.00,91.00,91.65,91.592117076674447836,11138,46,1020153.00,1062,9.53,3.00,-2.35
28-March-2019,91.80,93.00,91.00,92.00,92.151645095898955247,12826,61,1181937.00,1271,9.91,2.00,0.20
27-March-2019,93.50,93.50,88.00,90.65,90.118763756419662509,10904,123,982655.00,1896,17.39,5.50,-2.85
