Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,570.00,573.45,552.05,569.55,564.467741935483870967,434,35,244979.00,383,88.25,21.40,-0.45
28-June-2019,571.00,571.00,543.60,551.60,551.659176029962546816,534,47,294586.00,291,54.49,27.40,-19.40
27-June-2019,541.80,571.00,520.50,546.85,543.590000000000000000,1200,68,652308.00,1108,92.33,50.50,5.05
26-June-2019,555.50,555.50,513.00,519.40,526.840867992766726943,1659,79,874029.00,1264,76.19,42.50,-36.10
25-June-2019,571.95,571.95,539.95,540.00,545.604529616724738675,574,51,313177.00,476,82.93,32.00,-31.95
24-June-2019,549.95,562.30,528.05,554.95,547.421568627450980392,2448,54,1340088.00,2124,86.76,34.25,5.00
21-June-2019,554.00,554.00,525.00,528.00,535.546478873239436619,710,50,380238.00,424,59.72,29.00,-26.00
20-June-2019,556.95,556.95,528.00,545.20,536.519253208868144690,857,85,459797.00,596,69.54,28.95,-11.75
19-June-2019,562.95,562.95,525.00,538.65,541.648719632304661851,1523,124,824931.00,1151,75.57,37.95,-24.30
18-June-2019,567.00,574.95,542.00,548.60,552.000894854586129753,4470,192,2467444.00,3463,77.47,32.95,-18.40
17-June-2019,571.00,588.30,557.00,564.90,568.409890109890109890,910,155,517253.00,620,68.13,31.30,-6.10
14-June-2019,588.90,588.90,560.00,571.65,574.386969397828232971,2026,83,1163708.00,1762,86.97,28.90,-17.25
13-June-2019,563.05,593.40,557.00,572.05,567.635461462123718160,3023,182,1715962.00,2736,90.51,36.40,9.00
12-June-2019,644.00,644.00,556.00,568.10,578.979705588109189652,6997,396,4051121.00,5888,84.15,88.00,-75.90
11-June-2019,620.20,620.20,605.00,614.35,613.427166276346604215,4270,122,2619334.00,4066,95.22,15.20,-5.85
10-June-2019,654.90,654.90,601.60,623.20,624.200000000000000000,920,81,574264.00,785,85.33,53.30,-31.70
7-June-2019,655.00,655.00,634.45,641.40,638.508833922261484098,283,39,180698.00,257,90.81,20.55,-13.60
6-June-2019,657.50,657.50,638.00,651.55,647.795298726738491674,1021,35,661399.00,968,94.81,19.50,-5.95
4-June-2019,658.95,658.95,630.55,650.20,649.883849918433931484,3065,83,1991894.00,2517,82.12,28.40,-8.75
3-June-2019,630.00,654.80,630.00,634.45,640.899569583931133428,697,116,446707.00,567,81.35,24.80,4.45
31-May-2019,643.00,654.95,622.20,640.60,638.904145077720207253,772,82,493234.00,510,66.06,32.75,-2.40
30-May-2019,668.80,668.80,613.15,641.30,636.616066154754873006,3386,131,2155582.00,2351,69.43,55.65,-27.50
29-May-2019,667.00,667.00,625.00,643.70,641.759340376191703169,3881,120,2490668.00,2311,59.55,42.00,-23.30
28-May-2019,676.00,680.00,640.00,667.00,660.834057341442224152,1151,65,760620.00,835,72.55,40.00,-9.00
27-May-2019,676.80,676.80,664.95,671.85,669.167077681874229346,1622,78,1085389.00,1346,82.98,11.85,-4.95
24-May-2019,665.80,666.00,630.05,650.55,641.862976050255202198,2547,90,1634825.00,1243,48.80,35.95,-15.25
23-May-2019,679.65,679.65,630.00,648.80,642.940182054616384915,1538,86,988842.00,1145,74.45,49.65,-30.85
22-May-2019,620.00,660.00,605.05,651.85,633.913088285812435589,2911,121,1845321.00,2048,70.35,54.95,31.85
21-May-2019,728.40,728.40,601.00,624.85,635.555176565008025682,4984,273,3167607.00,2752,55.22,127.40,-103.55
20-May-2019,691.00,720.00,575.50,676.70,672.133923061098539395,4861,358,3267243.00,3069,63.14,144.50,-14.30
17-May-2019,722.95,722.95,696.05,701.75,710.746955345060893098,739,35,525242.00,545,73.75,26.90,-21.20
16-May-2019,723.00,723.00,685.00,717.30,694.139784946236559139,465,49,322775.00,424,91.18,38.00,-5.70
15-May-2019,723.00,723.00,690.00,710.05,710.553041018387553041,707,38,502361.00,553,78.22,33.00,-12.95
14-May-2019,694.00,725.00,680.05,723.15,715.531770045385779122,1322,63,945933.00,1095,82.83,44.95,29.15
13-May-2019,753.80,753.80,700.00,704.50,717.974313551815766164,1129,50,810593.00,1036,91.76,53.80,-49.30
10-May-2019,751.95,751.95,720.00,731.45,733.807539682539682539,504,30,369839.00,451,89.48,31.95,-20.50
9-May-2019,753.00,753.00,733.00,744.50,739.305418719211822660,203,17,150079.00,200,98.52,20.00,-8.50
8-May-2019,754.90,754.90,733.00,733.05,734.133501259445843828,1191,22,874353.00,1171,98.32,21.90,-21.85
7-May-2019,757.00,757.00,721.50,739.60,738.588235294117647058,187,20,138116.00,138,73.80,35.50,-17.40
6-May-2019,720.00,759.80,720.00,738.25,724.009624639076034648,1039,43,752246.00,870,83.73,39.80,18.25
3-May-2019,754.80,754.80,725.30,727.00,733.900000000000000000,260,50,190814.00,152,58.46,29.50,-27.80
2-May-2019,730.25,743.95,720.55,736.25,731.108433734939759036,581,54,424774.00,438,75.39,23.40,6.00
30-April-2019,750.00,759.90,730.00,738.90,737.778195488721804511,1862,61,1373743.00,1253,67.29,29.90,-11.10
26-April-2019,760.00,772.95,730.25,740.25,746.094120748747693118,3793,91,2829935.00,3046,80.31,42.70,-19.75
25-April-2019,778.20,778.20,751.05,756.80,760.490358126721763085,363,26,276058.00,259,71.35,27.15,-21.40
24-April-2019,750.00,765.65,746.05,765.20,757.077881619937694704,321,31,243022.00,207,64.49,19.60,15.20
23-April-2019,751.20,784.90,751.20,765.65,769.464454976303317535,422,38,324714.00,295,69.91,33.70,14.45
22-April-2019,750.75,785.00,750.75,776.75,776.061863743148003132,1277,50,991031.00,858,67.19,34.25,26.00
18-April-2019,793.95,793.95,750.05,772.35,773.011194029850746268,536,48,414334.00,393,73.32,43.90,-21.60
16-April-2019,795.00,795.00,770.00,781.00,781.101096224116930572,821,38,641284.00,614,74.79,25.00,-14.00
15-April-2019,770.00,785.00,765.00,781.50,781.973476890756302521,11424,45,8933265.00,11410,99.88,20.00,11.50
12-April-2019,785.00,785.00,750.20,769.15,766.228070175438596491,114,22,87350.00,81,71.05,34.80,-15.85
11-April-2019,774.95,794.50,730.00,784.60,772.762075134168157423,3354,142,2591844.00,2384,71.08,64.50,9.65
10-April-2019,760.00,768.90,750.50,756.65,756.791808873720136518,293,17,221740.00,288,98.29,18.40,-3.35
9-April-2019,769.85,769.85,744.00,759.95,752.923611111111111111,864,35,650526.00,758,87.73,25.85,-9.90
8-April-2019,751.00,759.95,745.00,756.25,755.275862068965517241,261,37,197127.00,200,76.63,14.95,5.25
5-April-2019,759.00,769.70,742.00,750.85,757.464934647740277471,49807,44,37727056.00,49532,99.45,27.70,-8.15
4-April-2019,758.35,770.00,739.00,759.05,757.325955734406438631,1988,87,1505564.00,1346,67.71,31.00,0.70
3-April-2019,759.80,759.80,735.30,737.05,741.148936170212765957,235,28,174170.00,184,78.30,24.50,-22.75
2-April-2019,757.00,757.00,730.00,745.50,741.251173708920187793,852,47,631546.00,695,81.57,27.00,-11.50
1-April-2019,729.95,747.50,725.05,738.60,732.509018036072144288,499,23,365522.00,298,59.72,22.45,8.65
29-March-2019,728.95,728.95,714.00,718.25,719.016474464579901153,3035,45,2182215.00,2878,94.83,14.95,-10.70
28-March-2019,725.00,728.95,711.00,717.10,715.938089622641509433,1696,46,1214231.00,1612,95.05,17.95,-7.90
27-March-2019,738.00,740.00,720.00,721.50,725.959531013615733736,2644,46,1919437.00,2272,85.93,20.00,-16.50
26-March-2019,732.55,740.00,725.00,727.80,731.751400916963830871,1963,36,1436428.00,1757,89.51,15.00,-4.75
25-March-2019,753.95,753.95,720.00,732.70,731.658744993324432576,3745,49,2740062.00,3585,95.73,33.95,-21.25
22-March-2019,758.90,758.90,726.00,736.10,744.016913319238900634,1419,30,1055760.00,1289,90.84,32.90,-22.80
20-March-2019,759.95,759.95,737.00,740.10,745.273487773487773487,1554,52,1158155.00,936,60.23,22.95,-19.85
19-March-2019,763.80,779.40,731.80,760.30,762.438808373590982286,1242,60,946949.00,1134,91.30,47.60,-3.50
18-March-2019,704.00,774.40,704.00,754.55,751.199831365935919055,1186,65,890923.00,933,78.67,70.40,50.55
15-March-2019,733.00,754.40,715.00,732.65,730.169214549288350026,1897,81,1385131.00,1679,88.51,39.40,-0.35
14-March-2019,715.25,733.00,700.00,722.10,716.512942779291553133,1468,75,1051841.00,1101,75.00,33.00,6.85
13-March-2019,739.95,740.00,715.00,717.70,726.432896890343698854,1222,67,887701.00,945,77.33,25.00,-22.25
12-March-2019,719.95,734.95,714.00,728.15,723.591471801925722145,2181,85,1578153.00,1756,80.51,20.95,8.20
11-March-2019,718.40,720.60,710.00,720.00,717.796198521647307286,947,48,679753.00,924,97.57,10.60,1.60
8-March-2019,724.95,724.95,716.00,719.45,719.555358724534986713,1129,47,812378.00,1127,99.82,8.95,-5.50
7-March-2019,729.90,730.00,720.00,722.80,722.438009787928221859,1226,43,885709.00,1203,98.12,10.00,-7.10
6-March-2019,731.90,731.90,705.20,723.80,724.374622356495468277,2648,77,1918144.00,2496,94.26,26.70,-8.10
5-March-2019,711.00,730.00,685.00,712.10,702.292134831460674157,3738,158,2625168.00,2887,77.23,45.00,1.10
1-March-2019,719.00,719.00,682.50,710.85,696.444196428571428571,896,62,624014.00,726,81.03,36.50,-8.15
28-February-2019,718.30,718.30,680.05,686.35,689.792028985507246376,1380,66,951913.00,1214,87.97,38.25,-31.95
27-February-2019,714.00,718.00,671.00,688.90,692.876949740034662045,2308,67,1599160.00,1177,51.00,47.00,-25.10
26-February-2019,681.75,720.00,650.00,683.25,698.794877606527651858,4412,204,3083083.00,4019,91.09,70.00,1.50
25-February-2019,711.10,729.00,700.00,713.85,715.323428079242032730,2322,60,1660981.00,2159,92.98,29.00,2.75
22-February-2019,709.00,725.00,708.00,717.10,717.009797060881735479,1429,67,1024607.00,1365,95.52,17.00,8.10
