Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,325.00,325.00,299.20,302.15,301.826518267602225985,4133,263,1247449.00,2113,51.12,25.80,-22.85
28-June-2019,315.05,315.95,308.80,313.50,314.345252774352651048,811,84,254934.00,422,52.03,7.15,-1.55
27-June-2019,309.00,316.15,309.00,314.90,313.340611353711790393,229,28,71755.00,185,80.79,7.15,5.90
26-June-2019,309.65,310.00,306.00,307.90,308.402985074626865671,201,43,61989.00,160,79.60,4.00,-1.75
25-June-2019,304.80,310.00,304.80,306.95,307.503355704697986577,298,31,91636.00,204,68.46,5.20,2.15
24-June-2019,317.00,320.00,310.75,313.25,314.261096605744125326,766,40,240724.00,630,82.25,9.25,-3.75
21-June-2019,326.70,332.15,312.10,321.25,324.603038309114927344,1514,161,491449.00,951,62.81,20.05,-5.45
20-June-2019,354.90,354.90,324.60,325.30,327.792109614930309473,4233,221,1387544.00,2317,54.74,30.30,-29.60
19-June-2019,340.45,344.45,331.00,332.35,336.622469635627530364,988,64,332583.00,359,36.34,13.45,-8.10
18-June-2019,334.30,338.75,331.80,334.55,334.915662650602409638,249,20,83394.00,181,72.69,6.95,0.25
17-June-2019,357.00,357.00,331.00,333.20,336.094437257438551099,773,105,259801.00,429,55.50,26.00,-23.80
14-June-2019,353.00,357.85,338.00,340.55,346.369696969696969696,660,68,228604.00,314,47.58,19.85,-12.45
13-June-2019,355.00,357.15,352.65,354.70,354.453488372093023255,602,115,213381.00,201,33.39,4.50,-0.30
12-June-2019,360.00,374.40,360.00,360.25,364.799217731421121251,767,63,279801.00,265,34.55,14.40,0.25
11-June-2019,356.30,373.65,352.00,367.75,358.197743861977438619,1507,236,539804.00,1099,72.93,21.65,11.45
10-June-2019,360.00,360.00,351.60,355.05,355.218181818181818181,110,37,39074.00,80,72.73,8.40,-4.95
7-June-2019,365.65,365.65,357.20,358.65,360.051886792452830188,848,65,305324.00,601,70.87,8.45,-7.00
6-June-2019,382.00,382.00,361.05,363.10,362.608856088560885608,542,28,196534.00,467,86.16,20.95,-18.90
4-June-2019,354.85,364.90,353.30,360.90,359.313842482100238663,838,45,301105.00,570,68.02,11.60,6.05
3-June-2019,387.00,387.00,310.00,360.50,346.203821656050955414,2355,164,815310.00,298,12.65,77.00,-26.50
31-May-2019,356.70,356.70,348.25,349.80,351.170289855072463768,276,47,96923.00,109,39.49,8.45,-6.90
30-May-2019,349.65,354.65,346.20,352.35,349.288961038961038961,308,26,107581.00,160,51.95,8.45,2.70
29-May-2019,360.00,365.15,338.50,351.95,348.530982628986258750,3857,313,1344284.00,1924,49.88,26.65,-8.05
28-May-2019,375.40,375.40,359.00,360.00,359.955991516436903499,1886,79,678877.00,1871,99.20,16.40,-15.40
27-May-2019,360.00,365.85,355.95,358.60,361.091649694501018329,982,54,354592.00,516,52.55,9.90,-1.40
24-May-2019,360.35,365.65,350.00,357.45,358.217798594847775175,427,36,152959.00,389,91.10,15.65,-2.90
23-May-2019,345.10,374.00,345.10,357.55,365.215491559086395233,1007,107,367772.00,464,46.08,28.90,12.45
22-May-2019,353.70,353.70,349.00,352.70,352.300000000000000000,90,28,31707.00,27,30.00,4.70,-1.00
21-May-2019,357.85,360.00,352.35,356.95,355.627497062279670975,851,40,302639.00,587,68.98,7.65,-0.90
20-May-2019,348.15,360.50,348.15,356.80,355.934333958724202626,533,52,189713.00,426,79.92,12.35,8.65
17-May-2019,340.30,347.00,340.30,344.40,344.032544378698224852,338,37,116283.00,110,32.54,6.70,4.10
16-May-2019,350.00,350.00,335.85,342.25,341.788776305533904910,1283,93,438515.00,799,62.28,14.15,-7.75
15-May-2019,362.70,362.70,338.00,349.10,350.910553158101216163,2549,181,894471.00,932,36.56,24.70,-13.60
14-May-2019,374.70,384.00,362.00,364.85,370.030212863355458915,4369,296,1616662.00,2346,53.70,22.00,-9.85
13-May-2019,389.50,389.50,370.35,375.60,383.114285714285714285,595,61,227953.00,128,21.51,19.15,-13.90
10-May-2019,387.70,399.45,380.30,387.40,391.623595505617977528,1780,143,697090.00,673,37.81,19.15,-0.30
9-May-2019,381.75,389.00,375.65,382.80,381.311797752808988764,356,40,135747.00,159,44.66,13.35,1.05
8-May-2019,388.00,399.90,381.00,383.85,389.328270042194092827,1185,102,461354.00,412,34.77,18.90,-4.15
