Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-June-2019,39.00,40.20,39.00,39.85,39.683333333333333333,72000,8,2857200.00,72000,100.00,1.20,0.85
20-June-2019,37.00,37.00,37.00,37.00,37.000000000000000000,8000,1,296000.00,8000,100.00,0.00,0.00
19-June-2019,37.00,37.00,37.00,37.00,37.000000000000000000,8000,2,296000.00,8000,100.00,0.00,0.00
6-June-2019,40.00,40.00,40.00,40.00,40.000000000000000000,4000,1,160000.00,4000,100.00,0.00,0.00
16-May-2019,40.00,40.00,40.00,40.00,40.000000000000000000,4000,1,160000.00,4000,100.00,0.00,0.00
10-May-2019,40.00,40.00,40.00,40.00,40.000000000000000000,4000,1,160000.00,4000,100.00,0.00,0.00
3-May-2019,40.00,40.00,40.00,40.00,40.000000000000000000,4000,1,160000.00,4000,100.00,0.00,0.00
30-April-2019,40.00,40.00,40.00,40.00,40.000000000000000000,4000,1,160000.00,4000,100.00,0.00,0.00
2-April-2019,38.00,38.00,38.00,38.00,38.000000000000000000,4000,1,152000.00,4000,100.00,0.00,0.00
15-March-2019,39.00,40.00,39.00,40.00,39.500000000000000000,24000,2,948000.00,24000,100.00,1.00,1.00
14-March-2019,39.80,40.25,39.00,39.00,39.512500000000000000,16000,3,632200.00,16000,100.00,1.25,-0.80
13-March-2019,37.80,48.00,37.80,43.00,44.345454545454545454,44000,8,1951200.00,40000,90.91,10.20,5.20
8-March-2019,47.00,47.00,47.00,47.00,47.000000000000000000,24000,5,1128000.00,24000,100.00,0.00,0.00
7-March-2019,47.00,47.00,47.00,47.00,47.000000000000000000,4000,1,188000.00,4000,100.00,0.00,0.00
26-February-2019,46.00,46.00,46.00,46.00,46.000000000000000000,8000,2,368000.00,8000,100.00,0.00,0.00
25-February-2019,45.00,46.00,45.00,45.40,45.400000000000000000,20000,3,908000.00,20000,100.00,1.00,0.40
22-February-2019,42.80,42.80,42.80,42.80,42.800000000000000000,8000,1,342400.00,8000,100.00,0.00,0.00
21-February-2019,40.50,48.00,40.50,40.60,44.560000000000000000,40000,9,1782400.00,32000,80.00,7.50,0.10
15-February-2019,42.00,42.00,42.00,42.00,42.000000000000000000,8000,2,336000.00,8000,100.00,0.00,0.00
14-February-2019,37.40,37.40,37.40,37.40,37.400000000000000000,4000,1,149600.00,4000,100.00,0.00,0.00
13-February-2019,37.40,37.40,37.40,37.40,37.400000000000000000,8000,2,299200.00,8000,100.00,0.00,0.00
12-February-2019,44.50,44.50,41.00,42.75,42.750000000000000000,8000,2,342000.00,4000,50.00,3.50,-1.75
11-February-2019,43.50,43.50,43.50,43.50,43.500000000000000000,4000,1,174000.00,4000,100.00,0.00,0.00
8-February-2019,42.50,42.50,42.50,42.50,42.500000000000000000,4000,1,170000.00,4000,100.00,0.00,0.00
7-February-2019,40.00,41.00,40.00,40.50,40.500000000000000000,8000,2,324000.00,8000,100.00,1.00,0.50
1-February-2019,38.90,38.90,38.90,38.90,38.900000000000000000,4000,1,155600.00,4000,100.00,0.00,0.00
30-January-2019,37.90,37.90,37.90,37.90,37.900000000000000000,4000,1,151600.00,4000,100.00,0.00,0.00
15-January-2019,37.00,37.00,37.00,37.00,37.000000000000000000,4000,1,148000.00,4000,100.00,0.00,0.00
11-January-2019,37.90,38.00,37.90,38.00,37.950000000000000000,8000,2,303600.00,8000,100.00,0.10,0.10
10-January-2019,38.00,38.00,37.70,37.70,37.900000000000000000,20000,4,758000.00,20000,100.00,0.30,-0.30
3-January-2019,34.20,34.20,34.20,34.20,34.200000000000000000,4000,1,136800.00,4000,100.00,0.00,0.00
2-January-2019,36.00,36.00,36.00,36.00,36.000000000000000000,4000,1,144000.00,4000,100.00,0.00,0.00
31-December-2018,36.00,36.00,36.00,36.00,36.000000000000000000,4000,1,144000.00,4000,100.00,0.00,0.00
28-December-2018,35.00,35.00,34.90,34.90,34.950000000000000000,8000,2,279600.00,8000,100.00,0.10,-0.10
27-December-2018,36.75,36.75,36.75,36.75,36.750000000000000000,4000,1,147000.00,4000,100.00,0.00,0.00
26-December-2018,36.20,37.00,36.20,37.00,36.600000000000000000,8000,2,292800.00,8000,100.00,0.80,0.80
20-December-2018,32.20,32.20,32.20,32.20,32.200000000000000000,12000,3,386400.00,12000,100.00,0.00,0.00
19-December-2018,32.40,32.40,32.20,32.30,32.300000000000000000,8000,2,258400.00,8000,100.00,0.20,-0.10
18-December-2018,32.40,32.40,32.20,32.30,32.300000000000000000,16000,4,516800.00,16000,100.00,0.20,-0.10
