Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,32.80,33.00,30.25,30.70,31.818965517241379310,12180,139,387555.00,8627,70.83,2.75,-2.10
28-June-2019,34.60,34.65,33.00,33.75,33.858545112276455560,14874,172,503612.00,7451,50.09,1.65,-0.85
27-June-2019,29.50,35.80,29.50,35.80,34.929912490853139002,99761,1289,3484643.00,30082,30.15,6.30,6.30
26-June-2019,33.75,33.75,27.90,29.85,29.479235511713933415,40550,239,1195383.00,26341,64.96,5.85,-3.90
25-June-2019,28.00,28.95,28.00,28.80,28.783357664233576642,3425,19,98583.00,3260,95.18,0.95,0.80
24-June-2019,28.75,29.00,28.65,28.65,28.791411042944785276,1630,25,46930.00,1630,100.00,0.35,-0.10
21-June-2019,29.00,29.70,28.50,29.30,28.939852700490998363,2444,18,70729.00,2074,84.86,1.20,0.30
20-June-2019,29.00,29.00,27.60,28.60,28.255647883666580109,7702,63,217625.00,5091,66.10,1.40,-0.40
19-June-2019,30.75,31.00,28.00,29.60,29.444012441679626749,9002,85,265055.00,4470,49.66,3.00,-1.15
18-June-2019,31.15,31.35,30.25,30.75,30.671719359029883066,2309,22,70821.00,1705,73.84,1.10,-0.40
17-June-2019,33.00,33.00,31.50,32.10,32.243264659270998415,2524,40,81382.00,1989,78.80,1.50,-0.90
14-June-2019,32.60,33.95,32.60,32.95,33.059925093632958801,1068,14,35308.00,768,71.91,1.35,0.35
13-June-2019,34.70,34.70,32.70,33.05,32.953548387096774193,775,14,25539.00,765,98.71,2.00,-1.65
12-June-2019,33.90,33.90,32.90,33.05,33.048940832724616508,2738,17,90488.00,2627,95.95,1.00,-0.85
11-June-2019,38.00,38.00,33.00,33.60,33.722249711364011215,6063,45,204458.00,4294,70.82,5.00,-4.40
10-June-2019,38.40,38.40,32.60,34.20,34.090966921119592875,3144,34,107182.00,2687,85.46,5.80,-4.20
7-June-2019,37.95,37.95,34.00,34.10,34.521915584415584415,2464,16,85062.00,1661,67.41,3.95,-3.85
6-June-2019,34.00,35.10,34.00,34.20,34.473553345388788426,4424,32,152511.00,2397,54.18,1.10,0.20
4-June-2019,36.00,36.00,34.40,34.65,34.877378815080789946,5570,24,194267.00,4600,82.59,1.60,-1.35
3-June-2019,36.50,36.50,35.00,35.20,35.700365408038976857,3284,25,117240.00,2659,80.97,1.50,-1.30
31-May-2019,35.10,37.90,35.10,36.00,36.099089816245921346,5823,42,210205.00,2803,48.14,2.80,0.90
30-May-2019,37.50,38.10,36.70,37.35,37.566428395366034015,4057,34,152407.00,2185,53.86,1.40,-0.15
29-May-2019,36.50,38.45,36.50,38.40,38.251515151515151515,990,17,37869.00,989,99.90,1.95,1.90
28-May-2019,38.50,38.50,38.00,38.00,38.412121212121212121,660,5,25352.00,660,100.00,0.50,-0.50
27-May-2019,38.15,38.50,37.50,38.00,37.997555012224938875,8589,34,326361.00,7269,84.63,1.00,-0.15
24-May-2019,38.40,38.40,36.60,37.50,37.269472665699080793,2067,16,77036.00,2057,99.52,1.80,-0.90
23-May-2019,37.20,38.90,36.40,36.95,37.190555291884195538,4214,27,156721.00,1810,42.95,2.50,-0.25
22-May-2019,36.25,37.70,36.25,36.85,36.940623825629462608,2661,25,98299.00,2006,75.39,1.45,0.60
21-May-2019,38.50,38.50,36.35,36.40,36.952446588559614059,1451,18,53618.00,862,59.41,2.15,-2.10
20-May-2019,37.00,37.95,36.50,37.65,37.398722384881554431,3757,23,140507.00,2460,65.48,1.45,0.65
17-May-2019,36.00,36.30,35.10,35.55,35.508430184972990669,6109,46,216921.00,4419,72.34,1.20,-0.45
16-May-2019,36.25,36.70,36.00,36.35,36.219364282726892513,4782,29,173201.00,4216,88.16,0.70,0.10
15-May-2019,37.60,38.50,36.55,36.70,37.196732788798133022,4285,34,159388.00,2187,51.04,1.95,-0.90
14-May-2019,35.05,38.00,35.05,37.40,37.468421052631578947,2850,25,106785.00,1775,62.28,2.95,2.35
13-May-2019,38.55,38.55,37.00,37.05,37.248553054662379421,3110,16,115843.00,2470,79.42,1.55,-1.50
10-May-2019,39.65,39.65,37.05,37.50,37.486929379633242294,2563,24,96079.00,1480,57.74,2.60,-2.15
9-May-2019,37.45,37.45,36.40,36.55,36.731220657276995305,1704,17,62590.00,1295,76.00,1.05,-0.90
