Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-June-2019,37.20,37.20,37.20,37.20,37.199623352165725047,531,4,19753.00,531,100.00,0.00,0.00
26-June-2019,37.95,37.95,36.80,37.20,37.400000000000000000,305,10,11407.00,285,93.44,1.15,-0.75
25-June-2019,36.95,37.00,36.95,36.95,36.954545454545454545,990,5,36585.00,990,100.00,0.05,0.00
24-June-2019,36.20,36.40,35.00,35.50,35.744165170556552962,1114,12,39819.00,1114,100.00,1.40,-0.70
19-June-2019,35.20,35.20,32.30,34.80,34.749731471535982814,931,14,32352.00,605,64.98,2.90,-0.40
18-June-2019,31.25,34.00,31.25,33.90,32.997879109225874867,943,9,31117.00,843,89.40,2.75,2.65
17-June-2019,36.20,36.20,32.80,32.85,34.745812518366147516,3403,18,118240.00,2181,64.09,3.40,-3.35
14-June-2019,35.85,35.85,32.45,34.50,33.557530402245088868,1069,14,35873.00,819,76.61,3.40,-1.35
13-June-2019,33.30,34.95,32.00,34.15,34.095870206489675516,1356,17,46234.00,1153,85.03,2.95,0.85
12-June-2019,33.40,33.40,31.50,33.30,33.022222222222222222,1260,7,41608.00,1260,100.00,1.90,-0.10
11-June-2019,34.40,34.40,31.20,31.85,33.109459459459459459,1480,23,49002.00,1080,72.97,3.20,-2.55
10-June-2019,32.80,32.80,29.90,32.80,32.378571428571428571,1400,11,45330.00,1200,85.71,2.90,0.00
7-June-2019,30.25,31.25,30.25,31.25,30.426000000000000000,1000,6,30426.00,1000,100.00,1.00,1.00
4-June-2019,30.25,30.25,30.25,30.25,30.248618784530386740,362,3,10950.00,362,100.00,0.00,0.00
3-June-2019,31.65,31.65,30.20,30.25,30.473706712270200940,2339,20,71278.00,2339,100.00,1.45,-1.40
31-May-2019,30.15,30.15,30.15,30.15,30.149549549549549549,1110,7,33466.00,1110,100.00,0.00,0.00
30-May-2019,28.75,28.75,28.70,28.75,28.745098039215686274,2397,15,68902.00,2397,100.00,0.05,0.00
29-May-2019,27.40,27.40,27.40,27.40,27.398550724637681159,552,4,15124.00,552,100.00,0.00,0.00
28-May-2019,26.10,26.10,26.10,26.10,26.099818511796733212,551,3,14381.00,551,100.00,0.00,0.00
27-May-2019,24.90,24.90,24.90,24.90,24.899459459459459459,925,4,23032.00,925,100.00,0.00,0.00
24-May-2019,23.75,23.75,23.75,23.75,23.744680851063829787,94,6,2232.00,94,100.00,0.00,0.00
23-May-2019,22.65,22.65,22.65,22.65,22.600000000000000000,10,3,226.00,10,100.00,0.00,0.00
22-May-2019,23.70,23.80,23.70,23.80,23.784232365145228215,2410,6,57320.00,2410,100.00,0.10,0.10
21-May-2019,22.70,22.70,22.70,22.70,22.700000000000000000,30,1,681.00,30,100.00,0.00,0.00
20-May-2019,22.75,22.75,22.70,22.70,22.701408450704225352,355,6,8059.00,355,100.00,0.05,-0.05
17-May-2019,20.65,22.75,20.65,22.75,20.653097345132743362,565,7,11669.00,564,99.82,2.10,2.10
16-May-2019,21.70,21.70,21.70,21.70,21.696202531645569620,79,3,1714.00,79,100.00,0.00,0.00
15-May-2019,24.00,24.00,22.80,22.80,22.811023622047244094,127,5,2897.00,127,100.00,1.20,-1.20
14-May-2019,24.00,24.00,24.00,24.00,24.000000000000000000,20,1,480.00,20,100.00,0.00,0.00
13-May-2019,24.70,24.70,24.70,24.70,24.000000000000000000,1,1,24.00,1,100.00,0.00,0.00
7-May-2019,25.30,25.30,25.30,25.30,25.300000000000000000,10,1,253.00,10,100.00,0.00,0.00
6-May-2019,26.60,26.60,26.60,26.60,26.600000000000000000,20,1,532.00,20,100.00,0.00,0.00
25-April-2019,28.00,28.00,28.00,28.00,28.000000000000000000,1,1,28.00,1,100.00,0.00,0.00
24-April-2019,28.40,28.40,24.50,26.55,27.445482866043613707,321,9,8810.00,241,75.08,3.90,-1.85
23-April-2019,25.95,26.00,24.00,26.00,25.974582425562817719,1377,20,35767.00,1377,100.00,2.00,0.05
18-April-2019,21.55,23.65,21.50,23.65,21.529622980251346499,557,9,11992.00,549,98.56,2.15,2.10
16-April-2019,23.25,23.25,21.50,21.50,21.552058111380145278,413,4,8901.00,413,100.00,1.75,-1.75
15-April-2019,21.25,23.25,21.25,23.25,22.580000000000000000,150,2,3387.00,150,100.00,2.00,2.00
10-April-2019,21.15,21.15,21.15,21.15,21.100000000000000000,10,1,211.00,10,100.00,0.00,0.00
9-April-2019,23.30,23.30,21.70,22.95,22.308492201039861351,577,8,12872.00,476,82.50,1.60,-0.35
8-April-2019,23.00,23.00,21.20,21.20,21.205882352941176470,170,6,3605.00,170,100.00,1.80,-1.80
