Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-April-2006,40.15,40.15,40.15,40.15,40.150000000000000000,200,1,8030.00,200,100.00,0.00,0.00
13-February-2006,38.25,38.25,38.25,38.25,38.250000000000000000,400,2,15300.00,400,100.00,0.00,0.00
6-February-2006,36.45,36.45,36.45,36.45,36.450000000000000000,100,1,3645.00,100,100.00,0.00,0.00
16-January-2006,34.75,34.75,34.75,34.75,34.750000000000000000,200,1,6950.00,200,100.00,0.00,0.00
22-August-2005,33.10,33.10,33.10,33.10,33.100000000000000000,100,1,3310.00,100,100.00,0.00,0.00
19-August-2005,27.60,27.60,27.60,27.60,27.600000000000000000,100,1,2760.00,100,100.00,0.00,0.00
18-August-2005,23.00,23.00,23.00,23.00,23.000000000000000000,1000,1,23000.00,1000,100.00,0.00,0.00
18-July-2005,23.00,23.00,23.00,23.00,23.000000000000000000,100,1,2300.00,100,100.00,0.00,0.00
18-July-1994,28.00,28.00,28.00,28.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
15-July-1994,25.00,25.00,25.00,25.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
14-July-1994,22.00,22.00,22.00,22.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
13-July-1994,18.00,18.00,18.00,18.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
12-July-1994,15.00,15.00,15.00,15.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
11-July-1994,15.00,15.00,15.00,15.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
16-February-1993,3.00,3.00,3.00,3.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
