Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-June-2019,33.85,33.85,33.40,33.40,33.412903225806451612,155,2,5179.00,155,100.00,0.45,-0.45
14-June-2019,32.00,33.00,32.00,33.00,32.047619047619047619,21,2,673.00,20,95.24,1.00,1.00
13-June-2019,32.95,32.95,32.95,32.95,32.950000000000000000,20,1,659.00,20,100.00,0.00,0.00
10-June-2019,34.65,34.65,34.65,34.65,34.650000000000000000,200,1,6930.00,200,100.00,0.00,0.00
6-June-2019,33.00,33.00,33.00,33.00,33.000000000000000000,20,2,660.00,20,100.00,0.00,0.00
4-June-2019,34.00,34.00,34.00,34.00,34.000000000000000000,1,1,34.00,1,100.00,0.00,0.00
3-June-2019,34.00,34.00,34.00,34.00,34.000000000000000000,1,1,34.00,1,100.00,0.00,0.00
31-May-2019,34.00,34.00,34.00,34.00,34.000000000000000000,51,2,1734.00,51,100.00,0.00,0.00
30-May-2019,35.70,38.80,35.65,35.65,35.655533199195171026,4970,13,177208.00,4970,100.00,3.15,-0.05
29-May-2019,37.50,37.50,37.50,37.50,37.500000000000000000,470,7,17625.00,420,89.36,0.00,0.00
28-May-2019,35.75,35.75,35.75,35.75,35.727272727272727272,11,2,393.00,11,100.00,0.00,0.00
27-May-2019,32.50,32.50,32.50,32.50,32.500000000000000000,100,1,3250.00,100,100.00,0.00,0.00
22-May-2019,29.60,29.60,29.55,29.55,29.575000000000000000,200,2,5915.00,200,100.00,0.05,-0.05
20-May-2019,26.35,27.05,26.35,27.05,26.768924302788844621,251,2,6719.00,251,100.00,0.70,0.70
16-May-2019,24.55,26.40,24.55,26.40,25.071428571428571428,14,2,351.00,14,100.00,1.85,1.85
15-May-2019,26.10,26.10,26.10,26.10,26.100000000000000000,30,1,783.00,30,100.00,0.00,0.00
14-May-2019,28.15,28.15,28.15,28.15,28.150000000000000000,400,2,11260.00,200,50.00,0.00,0.00
8-May-2019,30.90,30.90,30.90,30.90,30.875000000000000000,32,1,988.00,32,100.00,0.00,0.00
7-May-2019,33.00,33.00,28.90,29.35,29.277777777777777777,18,3,527.00,16,88.89,4.10,-3.65
3-May-2019,32.00,32.00,32.00,32.00,32.000000000000000000,26,2,832.00,26,100.00,0.00,0.00
26-April-2019,35.45,35.45,35.45,35.45,35.000000000000000000,1,1,35.00,1,100.00,0.00,0.00
24-April-2019,31.30,33.25,31.00,33.25,31.910214168039538714,3642,23,116217.00,2025,55.60,2.25,1.95
