Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,104.10,104.10,99.00,99.15,100.778668805132317562,4988,153,502684.00,2802,56.17,5.10,-4.95
28-June-2019,102.15,104.50,101.00,101.95,103.124196277495769881,5910,133,609464.00,1687,28.54,3.50,-0.20
27-June-2019,101.90,104.85,101.45,104.35,102.593702694520133212,3303,142,338867.00,1563,47.32,3.40,2.45
26-June-2019,102.20,103.45,100.10,101.95,102.029961435775734203,3371,89,343943.00,1363,40.43,3.35,-0.25
25-June-2019,102.20,104.35,100.10,103.15,102.930712858094603597,1501,69,154499.00,803,53.50,4.25,0.95
24-June-2019,102.20,105.00,102.20,103.15,103.746354291178579966,4183,154,433971.00,2845,68.01,2.80,0.95
21-June-2019,104.00,104.05,101.90,102.90,102.584134123901042731,4891,94,501739.00,4317,88.26,2.15,-1.10
20-June-2019,99.10,106.45,97.85,104.70,102.738933498044060119,9714,230,998006.00,3753,38.63,8.60,5.60
19-June-2019,106.35,106.35,97.10,98.60,100.722770221160834804,9631,271,970061.00,5426,56.34,9.25,-7.75
18-June-2019,108.90,108.90,104.40,106.15,106.123852295409181636,10020,120,1063361.00,5570,55.59,4.50,-2.75
17-June-2019,107.00,109.90,106.05,108.55,108.347360063517268757,5038,144,545854.00,2594,51.49,3.85,1.55
14-June-2019,113.90,114.25,109.05,109.80,110.759831808063319317,4043,121,447802.00,2467,61.02,5.20,-4.10
13-June-2019,116.60,116.60,110.60,113.00,112.689226721239584856,6841,187,770907.00,3538,51.72,6.00,-3.60
12-June-2019,115.30,117.25,114.30,115.60,115.598988195615514333,2965,69,342751.00,1081,36.46,2.95,0.30
11-June-2019,117.00,118.00,115.00,115.55,116.162678062678062678,3510,100,407731.00,1827,52.05,3.00,-1.45
10-June-2019,123.30,123.30,117.05,118.30,120.566543320148015822,7837,148,944880.00,4249,54.22,6.25,-5.00
7-June-2019,122.55,123.00,118.00,120.05,120.034976590470944643,3631,80,435847.00,1095,30.16,5.00,-2.50
