Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-June-2019,10.47,10.47,9.95,9.95,10.190476190476190476,21,3,214.00,21,100.00,0.52,-0.52
2-May-2019,10.47,10.47,10.47,10.47,10.400000000000000000,10,1,104.00,10,100.00,0.00,0.00
26-April-2019,12.00,12.00,11.02,11.02,11.553571428571428571,112,3,1294.00,112,100.00,0.98,-0.98
28-March-2019,11.60,11.60,11.60,11.60,11.600000000000000000,5,1,58.00,5,100.00,0.00,0.00
7-March-2019,12.21,12.21,12.21,12.21,12.000000000000000000,4,4,48.00,4,100.00,0.00,0.00
6-March-2019,12.85,12.85,12.85,12.85,12.750000000000000000,4,4,51.00,4,100.00,0.00,0.00
5-March-2019,13.52,13.52,13.52,13.52,13.500000000000000000,4,4,54.00,4,100.00,0.00,0.00
1-March-2019,14.23,14.23,14.23,14.23,14.222222222222222222,9,8,128.00,9,100.00,0.00,0.00
28-February-2019,14.97,14.97,14.97,14.97,14.750000000000000000,4,4,59.00,4,100.00,0.00,0.00
27-February-2019,15.75,15.75,15.75,15.75,15.600000000000000000,5,1,78.00,5,100.00,0.00,0.00
25-February-2019,16.57,16.57,16.57,16.57,16.500000000000000000,10,1,165.00,10,100.00,0.00,0.00
22-February-2019,17.44,17.44,17.44,17.44,17.250000000000000000,4,4,69.00,4,100.00,0.00,0.00
21-February-2019,18.35,18.35,18.35,18.35,18.350000000000000000,20,3,367.00,20,100.00,0.00,0.00
15-February-2019,17.48,17.48,17.48,17.48,17.000000000000000000,1,1,17.00,1,100.00,0.00,0.00
14-February-2019,16.65,16.65,16.65,16.65,16.600000000000000000,5,1,83.00,5,100.00,0.00,0.00
13-February-2019,15.87,15.87,15.87,15.87,15.800000000000000000,10,2,158.00,10,100.00,0.00,0.00
6-February-2019,15.12,15.12,15.12,15.12,15.000000000000000000,7,2,105.00,7,100.00,0.00,0.00
24-January-2019,14.40,14.40,14.40,14.40,14.333333333333333333,3,2,43.00,3,100.00,0.00,0.00
28-December-2018,14.40,14.40,14.40,14.40,14.400000000000000000,15,1,216.00,15,100.00,0.00,0.00
5-December-2018,13.75,13.75,13.75,13.75,13.750000000000000000,8,3,110.00,8,100.00,0.00,0.00
3-December-2018,14.45,14.45,14.45,14.45,14.440000000000000000,75,6,1083.00,75,100.00,0.00,0.00
30-November-2018,15.20,15.20,15.17,15.17,15.142857142857142857,14,4,212.00,14,100.00,0.03,-0.03
5-October-2018,15.17,15.17,15.17,15.17,15.160000000000000000,25,3,379.00,25,100.00,0.00,0.00
1-October-2018,14.45,14.45,14.45,14.45,14.443037974683544303,79,1,1141.00,79,100.00,0.00,0.00
28-September-2018,14.45,14.45,14.45,14.45,14.436363636363636363,55,3,794.00,55,100.00,0.00,0.00
19-September-2018,14.45,14.45,14.45,14.45,14.400000000000000000,5,1,72.00,5,100.00,0.00,0.00
14-September-2018,13.77,13.77,13.77,13.77,13.700000000000000000,10,1,137.00,10,100.00,0.00,0.00
12-September-2018,13.77,13.77,13.77,13.77,13.767857142857142857,56,4,771.00,56,100.00,0.00,0.00
2-August-2017,13.77,13.77,13.77,13.77,13.600000000000000000,5,1,68.00,5,100.00,0.00,0.00
1-August-2017,13.12,13.12,13.12,13.12,13.000000000000000000,5,1,65.00,5,100.00,0.00,0.00
10-July-2017,12.50,12.50,12.50,12.50,12.500000000000000000,200,2,2500.00,200,100.00,0.00,0.00
