Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,1044.90,1050.00,1035.50,1037.25,1041.763590391908975979,791,71,824035.00,317,40.08,14.50,-7.65
28-June-2019,1065.50,1065.50,1043.60,1047.70,1054.933839479392624728,922,162,972649.00,698,75.70,21.90,-17.80
27-June-2019,1058.20,1089.40,1057.10,1069.15,1062.307397959183673469,784,148,832849.00,492,62.76,32.30,10.95
26-June-2019,1059.30,1068.00,1056.65,1058.30,1059.586026200873362445,1145,180,1213226.00,786,68.65,11.35,-1.00
25-June-2019,1058.25,1060.00,1041.00,1058.50,1058.174077578051087984,1057,138,1118490.00,761,72.00,19.00,0.25
24-June-2019,1071.05,1086.00,1060.00,1063.35,1076.500472143531633616,1059,67,1140014.00,674,63.64,26.00,-7.70
21-June-2019,1059.30,1110.00,1050.05,1077.55,1064.755326016785022595,1549,195,1649306.00,508,32.80,59.95,18.25
20-June-2019,1076.40,1090.00,1035.90,1068.25,1066.474372205022359821,2907,485,3100241.00,1716,59.03,54.10,-8.15
19-June-2019,1105.10,1115.00,1076.50,1083.15,1101.419005102040816326,1568,140,1727025.00,786,50.13,38.50,-21.95
18-June-2019,1098.75,1115.00,1081.55,1098.35,1098.872073149888907878,11702,1331,12859001.00,9866,84.31,33.45,-0.40
17-June-2019,1145.55,1148.95,1090.00,1105.70,1127.872359963269054178,2178,207,2456506.00,1533,70.39,58.95,-39.85
14-June-2019,1164.00,1180.00,1152.00,1166.25,1164.767467652495378927,2705,165,3150696.00,2514,92.94,28.00,2.25
13-June-2019,1156.10,1180.00,1141.80,1175.35,1160.471094710947109471,813,103,943463.00,358,44.03,38.20,19.25
12-June-2019,1157.75,1178.60,1140.00,1170.05,1159.751412429378531073,354,103,410552.00,201,56.78,38.60,12.30
11-June-2019,1161.00,1186.00,1159.45,1175.05,1166.559782608695652173,920,94,1073235.00,619,67.28,26.55,14.05
10-June-2019,1151.10,1170.00,1122.00,1160.85,1148.562883059573424859,4079,110,4684988.00,3694,90.56,48.00,9.75
7-June-2019,1123.95,1151.10,1121.00,1138.70,1140.395904436860068259,879,60,1002408.00,657,74.74,30.10,14.75
6-June-2019,1164.00,1167.00,1120.00,1127.65,1138.992447129909365558,2648,205,3016052.00,1623,61.29,47.00,-36.35
4-June-2019,1182.25,1185.00,1150.00,1180.00,1175.275222265172013915,2587,265,3040437.00,874,33.78,35.00,-2.25
3-June-2019,1175.10,1198.00,1170.00,1192.30,1186.426229508196721311,1891,204,2243532.00,1038,54.89,28.00,17.20
31-May-2019,1186.00,1197.00,1180.00,1194.30,1182.640316205533596837,1265,116,1496040.00,886,70.04,17.00,8.30
30-May-2019,1189.10,1198.50,1182.50,1197.05,1192.533333333333333333,600,70,715520.00,285,47.50,16.00,7.95
29-May-2019,1195.00,1210.55,1180.00,1199.90,1191.503757427472911569,11444,436,13635569.00,7619,66.58,30.55,4.90
28-May-2019,1193.80,1219.90,1193.80,1214.00,1203.556241610738255033,3725,354,4483247.00,1763,47.33,26.10,20.20
27-May-2019,1159.00,1185.70,1159.00,1177.10,1175.858761329305135951,3972,221,4670511.00,2558,64.40,26.70,18.10
24-May-2019,1110.50,1195.00,1095.00,1129.65,1121.948572081987364569,34981,1710,39246883.00,24365,69.65,100.00,19.15
23-May-2019,1069.65,1122.00,1069.65,1096.55,1111.231892878880097382,4929,198,5477262.00,3318,67.32,52.35,26.90
22-May-2019,1085.00,1092.95,1063.80,1081.70,1077.162987490802060338,2718,188,2927729.00,1828,67.26,29.15,-3.30
21-May-2019,1101.90,1102.00,1075.00,1087.80,1101.244479235332893869,36408,180,40094109.00,35178,96.62,27.00,-14.10
20-May-2019,1076.40,1100.00,1068.00,1089.25,1088.858820316766794101,3662,251,3987401.00,2180,59.53,32.00,12.85
17-May-2019,1038.05,1056.35,1027.00,1032.85,1040.299319727891156462,735,68,764620.00,478,65.03,29.35,-5.20
16-May-2019,1036.35,1048.00,1029.05,1048.00,1034.146969696969696969,660,47,682537.00,524,79.39,18.95,11.65
15-May-2019,1079.20,1095.75,1030.00,1037.05,1047.885916601101494885,1271,97,1331863.00,921,72.46,65.75,-42.15
14-May-2019,1073.50,1087.00,1054.00,1069.65,1071.915407854984894259,4303,260,4612452.00,3545,82.38,33.00,-3.85
13-May-2019,1120.00,1120.80,1070.00,1074.40,1087.191919191919191919,1188,86,1291584.00,764,64.31,50.80,-45.60
10-May-2019,1140.00,1141.65,1080.00,1117.55,1116.236817325800376647,2124,127,2370887.00,848,39.92,61.65,-22.45
9-May-2019,1093.00,1122.50,1093.00,1110.95,1115.239244491080797481,953,43,1062823.00,599,62.85,29.50,17.95
8-May-2019,1111.00,1117.00,1100.20,1102.10,1105.840381991814461118,733,77,810581.00,408,55.66,16.80,-8.90
7-May-2019,1122.40,1139.90,1122.15,1125.85,1132.102836879432624113,846,57,957759.00,644,76.12,17.75,3.45
6-May-2019,1090.00,1115.00,1090.00,1112.40,1106.910752688172043010,930,34,1029427.00,847,91.08,25.00,22.40
3-May-2019,1097.60,1112.35,1070.00,1090.50,1079.693670226621516019,7678,170,8289888.00,7553,98.37,42.35,-7.10
2-May-2019,1118.70,1139.75,1110.00,1117.25,1124.155807365439093484,353,39,396827.00,140,39.66,29.75,-1.45
30-April-2019,1146.00,1149.90,1134.95,1140.25,1140.446808510638297872,2021,119,2304843.00,1699,84.07,14.95,-5.75
26-April-2019,1151.90,1173.20,1140.00,1144.60,1151.258391386953768207,1579,170,1817837.00,921,58.33,33.20,-7.30
25-April-2019,1090.00,1177.30,1090.00,1138.55,1146.008726647000983284,8136,870,9323927.00,5694,69.99,87.30,48.55
24-April-2019,1079.65,1088.95,1065.15,1085.60,1081.730514096185737976,1206,89,1304567.00,553,45.85,23.80,5.95
23-April-2019,1074.00,1093.20,1065.00,1076.05,1079.764576457645764576,4545,240,4907530.00,2671,58.77,28.20,2.05
22-April-2019,1082.00,1087.20,1047.00,1054.10,1062.885121457489878542,3952,228,4200522.00,3051,77.20,40.20,-27.90
18-April-2019,1105.50,1107.75,1078.05,1086.65,1087.276387377584330794,1838,78,1998414.00,1610,87.60,29.70,-18.85
16-April-2019,1064.00,1119.80,1031.05,1112.55,1103.354302545760572270,4753,270,5244243.00,2845,59.86,88.75,48.55
15-April-2019,1119.90,1122.90,1080.00,1086.10,1094.046385542168674698,1660,122,1816117.00,1157,69.70,42.90,-33.80
12-April-2019,1111.95,1111.95,1085.00,1095.30,1095.473943254198031268,3454,190,3783767.00,1694,49.04,26.95,-16.65
11-April-2019,1080.00,1120.00,1080.00,1113.50,1113.161276318645539396,4607,595,5128334.00,2377,51.60,40.00,33.50
10-April-2019,1119.95,1129.00,1061.50,1066.50,1092.612798516114073730,4313,110,4712439.00,3217,74.59,67.50,-53.45
9-April-2019,1072.00,1099.75,1070.00,1071.90,1080.229868228404099560,2049,145,2213391.00,1158,56.52,29.75,-0.10
8-April-2019,1120.00,1131.50,1085.00,1089.45,1112.847437425506555423,2517,59,2801037.00,2151,85.46,46.50,-30.55
5-April-2019,1209.00,1220.00,1102.05,1111.35,1120.077894736842105263,4275,208,4788333.00,2096,49.03,117.95,-97.65
4-April-2019,1103.05,1145.00,1096.00,1139.65,1129.006979865771812080,7450,321,8411102.00,4672,62.71,49.00,36.60
3-April-2019,1070.45,1119.90,1070.45,1107.85,1100.744788882950293960,3742,246,4118987.00,2314,61.84,49.45,37.40
2-April-2019,1017.90,1150.00,1017.90,1070.45,1097.621919584954604409,16962,1464,18617863.00,6672,39.33,132.10,52.55
1-April-2019,994.00,1005.00,980.05,987.95,990.381586566299942096,3454,137,3420778.00,2316,67.05,24.95,-6.05
29-March-2019,993.00,993.00,976.50,989.85,989.867949623841389916,72177,96,71445699.00,71925,99.65,16.50,-3.15
28-March-2019,986.20,992.00,979.95,985.00,985.709070998357364482,5479,54,5400700.00,5329,97.26,12.05,-1.20
27-March-2019,985.00,999.00,974.50,991.75,990.124583207032434070,3299,166,3266421.00,2414,73.17,24.50,6.75
26-March-2019,980.00,999.90,930.10,984.35,983.797046413502109704,2370,81,2331599.00,2250,94.94,69.80,4.35
25-March-2019,991.00,998.00,980.00,989.80,985.494794679005205320,3458,158,3407841.00,2369,68.51,18.00,-1.20
22-March-2019,1025.00,1025.05,1010.00,1016.80,1019.710564399421128798,691,102,704620.00,583,84.37,15.05,-8.20
20-March-2019,1011.00,1028.00,1002.10,1016.80,1021.976397515527950310,1610,88,1645382.00,853,52.98,25.90,5.80
19-March-2019,1040.00,1062.85,1005.00,1010.35,1017.565385761096216860,3357,159,3415967.00,2164,64.46,57.85,-29.65
18-March-2019,1107.00,1107.00,1019.00,1039.65,1050.523789561936700901,4771,296,5012049.00,2547,53.39,88.00,-67.35
15-March-2019,1118.00,1124.00,1075.00,1107.35,1105.710951526032315978,2785,112,3079405.00,1799,64.60,49.00,-10.65
14-March-2019,1132.35,1153.00,1120.00,1123.65,1132.287942016253019986,4553,109,5155307.00,3822,83.94,33.00,-8.70
13-March-2019,1218.00,1218.00,1138.60,1157.10,1150.782212581344902386,2305,45,2652553.00,2178,94.49,79.40,-60.90
12-March-2019,1125.75,1156.00,1125.75,1152.10,1147.794930875576036866,6510,89,7472145.00,6109,93.84,30.25,26.35
11-March-2019,1140.00,1157.00,1121.05,1144.00,1140.436189889025893958,6488,520,7399150.00,3050,47.01,35.95,4.00
8-March-2019,1149.85,1149.85,1122.05,1130.35,1136.121348314606741573,890,85,1011148.00,367,41.24,27.80,-19.50
