Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,38.90,38.90,37.15,37.15,37.733333333333333333,6000,3,226400.00,6000,100.00,1.75,-1.75
28-June-2019,37.15,37.15,37.10,37.15,37.125000000000000000,4000,2,148500.00,4000,100.00,0.05,0.00
27-June-2019,35.45,38.80,35.45,38.80,37.125000000000000000,4000,2,148500.00,2000,50.00,3.35,3.35
26-June-2019,37.25,37.25,37.25,37.25,37.250000000000000000,2000,1,74500.00,2000,100.00,0.00,0.00
25-June-2019,39.20,39.20,39.10,39.15,39.150000000000000000,6000,3,234900.00,4000,66.67,0.10,-0.05
24-June-2019,40.90,40.90,40.90,40.90,40.900000000000000000,4000,2,163600.00,4000,100.00,0.00,0.00
21-June-2019,39.50,39.50,39.50,39.50,39.500000000000000000,2000,1,79000.00,2000,100.00,0.00,0.00
20-June-2019,34.10,39.65,34.10,37.75,37.354545454545454545,22000,10,821800.00,22000,100.00,5.55,3.65
19-June-2019,39.30,39.30,36.50,36.50,37.620000000000000000,10000,5,376200.00,10000,100.00,2.80,-2.80
18-June-2019,33.20,35.75,33.20,35.75,34.475000000000000000,4000,2,137900.00,4000,100.00,2.55,2.55
14-June-2019,36.20,36.20,32.50,32.50,33.933333333333333333,6000,3,203600.00,6000,100.00,3.70,-3.70
13-June-2019,38.00,38.40,36.00,36.00,37.466666666666666666,6000,3,224800.00,6000,100.00,2.40,-2.00
11-June-2019,37.50,37.50,37.50,37.50,37.500000000000000000,2000,1,75000.00,2000,100.00,0.00,0.00
10-June-2019,40.00,40.00,37.50,37.50,39.166666666666666666,6000,3,235000.00,6000,100.00,2.50,-2.50
6-June-2019,39.90,39.90,39.30,39.35,39.383333333333333333,18000,9,708900.00,16000,88.89,0.60,-0.55
4-June-2019,39.90,42.75,39.90,41.35,41.040000000000000000,10000,5,410400.00,8000,80.00,2.85,1.45
3-June-2019,39.75,42.00,39.55,42.00,40.080000000000000000,20000,8,801600.00,18000,90.00,2.45,2.25
31-May-2019,41.85,41.85,41.60,41.60,41.707142857142857142,14000,6,583900.00,14000,100.00,0.25,-0.25
30-May-2019,43.80,43.80,39.95,43.75,42.491666666666666666,12000,4,509900.00,8000,66.67,3.85,-0.05
29-May-2019,41.80,41.85,41.80,41.85,41.846875000000000000,32000,15,1339100.00,32000,100.00,0.05,0.05
