Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,565.50,570.50,565.50,569.65,567.161764705882352941,68,9,38567.00,62,91.18,5.00,4.15
28-June-2019,570.00,576.90,570.00,572.00,571.725490196078431372,153,18,87474.00,149,97.39,6.90,2.00
27-June-2019,577.10,582.80,577.00,577.20,577.357664233576642335,137,9,79098.00,136,99.27,5.80,0.10
26-June-2019,594.50,594.50,581.05,588.00,585.466666666666666666,75,12,43910.00,75,100.00,13.45,-6.50
25-June-2019,577.05,585.00,577.00,585.00,577.096153846153846153,104,6,60018.00,104,100.00,8.00,7.95
24-June-2019,590.00,599.00,576.55,577.10,581.358333333333333333,120,26,69763.00,87,72.50,22.45,-12.90
21-June-2019,595.90,604.50,583.10,584.85,592.329457364341085271,516,63,305642.00,99,19.19,21.40,-11.05
19-June-2019,590.00,599.00,581.25,586.00,587.884615384615384615,104,9,61140.00,72,69.23,17.75,-4.00
18-June-2019,580.50,594.00,580.00,581.55,585.000000000000000000,65,8,38025.00,44,67.69,14.00,1.05
17-June-2019,591.60,598.00,587.00,587.00,592.987654320987654320,81,15,48032.00,71,87.65,11.00,-4.60
14-June-2019,604.75,604.90,600.50,600.65,602.150000000000000000,80,10,48172.00,49,61.25,4.40,-4.10
13-June-2019,615.00,615.00,604.50,604.75,605.156250000000000000,32,5,19365.00,11,34.38,10.50,-10.25
12-June-2019,599.00,599.00,595.00,598.35,595.857142857142857142,112,8,66736.00,111,99.11,4.00,-0.65
11-June-2019,602.00,603.90,594.00,600.00,599.440677966101694915,118,10,70734.00,116,98.30,9.90,-2.00
10-June-2019,595.10,602.00,588.00,594.00,592.976401179941002949,339,37,201019.00,262,77.29,14.00,-1.10
7-June-2019,591.10,625.00,591.10,602.30,613.817186644772851669,1827,60,1121444.00,1016,55.61,33.90,11.20
6-June-2019,605.20,620.80,601.50,602.60,613.125899280575539568,278,29,170449.00,171,61.51,19.30,-2.60
4-June-2019,611.10,616.00,605.00,607.60,611.858490566037735849,318,39,194571.00,151,47.48,11.00,-3.50
3-June-2019,625.10,634.50,622.00,630.00,628.806818181818181818,264,23,166005.00,160,60.61,12.50,4.90
31-May-2019,620.00,639.50,620.00,627.75,629.979381443298969072,388,44,244432.00,73,18.81,19.50,7.75
30-May-2019,611.70,648.50,611.70,625.15,629.145928338762214983,1535,126,965739.00,756,49.25,36.80,13.45
29-May-2019,670.00,670.00,614.50,617.50,624.382057839858351367,5083,233,3173734.00,2220,43.67,55.50,-52.50
28-May-2019,627.00,627.00,615.00,616.90,620.786476868327402135,562,42,348882.00,222,39.50,12.00,-10.10
27-May-2019,634.00,634.00,623.60,630.00,626.000000000000000000,35,10,21910.00,29,82.86,10.40,-4.00
24-May-2019,609.50,650.00,609.50,639.60,631.256164383561643835,730,104,460817.00,119,16.30,40.50,30.10
23-May-2019,585.00,700.00,585.00,601.60,613.465498357064622124,913,106,560094.00,431,47.21,115.00,16.60
22-May-2019,580.00,610.90,580.00,593.45,596.704225352112676056,142,20,84732.00,107,75.35,30.90,13.45
21-May-2019,592.15,601.05,585.00,586.85,589.756756756756756756,185,18,109105.00,156,84.32,16.05,-5.30
20-May-2019,626.00,635.00,600.25,604.15,615.704595185995623632,457,50,281377.00,280,61.27,34.75,-21.85
17-May-2019,624.50,628.80,610.50,626.45,622.658730158730158730,126,10,78455.00,42,33.33,18.30,1.95
16-May-2019,605.00,619.90,598.80,613.30,605.536585365853658536,41,11,24827.00,32,78.05,21.10,8.30
15-May-2019,619.50,629.90,613.00,613.50,621.535864978902953586,237,20,147304.00,86,36.29,16.90,-6.00
14-May-2019,596.65,620.00,588.05,612.55,605.763392857142857142,224,38,135691.00,133,59.38,31.95,15.90
10-May-2019,590.00,598.50,590.00,598.50,590.444444444444444444,18,2,10628.00,18,100.00,8.50,8.50
9-May-2019,604.00,604.90,580.00,589.05,590.234042553191489361,282,33,166446.00,163,57.80,24.90,-14.95
8-May-2019,594.10,614.00,590.00,597.30,603.305361305361305361,429,48,258818.00,201,46.85,24.00,3.20
7-May-2019,605.00,617.90,605.00,608.60,609.154545454545454545,440,54,268028.00,192,43.64,12.90,3.60
6-May-2019,579.00,600.00,570.05,593.50,581.881170018281535648,547,49,318289.00,425,77.70,29.95,14.50
3-May-2019,574.80,580.00,567.00,569.95,571.120567375886524822,141,20,80528.00,79,56.03,13.00,-4.85
2-May-2019,565.00,565.00,560.10,564.10,561.290322580645161290,31,6,17400.00,28,90.32,4.90,-0.90
30-April-2019,552.00,569.00,551.20,569.00,558.210526315789473684,38,6,21212.00,27,71.05,17.80,17.00
26-April-2019,553.00,569.80,553.00,555.10,564.341463414634146341,41,9,23138.00,25,60.98,16.80,2.10
25-April-2019,575.90,575.90,553.00,554.90,556.324675324675324675,77,17,42837.00,70,90.91,22.90,-21.00
24-April-2019,562.00,574.00,555.05,559.40,560.795081967213114754,122,18,68417.00,104,85.25,18.95,-2.60
23-April-2019,569.00,569.00,560.10,562.55,563.264900662251655629,151,19,85053.00,76,50.33,8.90,-6.45
22-April-2019,562.00,586.95,551.10,572.80,564.885143570536828963,801,66,452473.00,558,69.66,35.85,10.80
18-April-2019,570.00,570.00,564.00,564.00,566.106060606060606060,66,9,37363.00,56,84.85,6.00,-6.00
16-April-2019,579.00,579.00,562.20,569.35,567.785156250000000000,256,29,145353.00,135,52.73,16.80,-9.65
15-April-2019,563.10,572.95,563.00,563.60,565.924242424242424242,66,16,37351.00,31,46.97,9.95,0.50
12-April-2019,579.00,579.00,563.15,570.30,570.086124401913875598,209,28,119148.00,121,57.89,15.85,-8.70
11-April-2019,566.00,566.00,565.00,565.00,565.312500000000000000,16,5,9045.00,16,100.00,1.00,-1.00
10-April-2019,563.65,578.00,563.05,565.10,567.635135135135135135,74,7,42005.00,52,70.27,14.95,1.45
9-April-2019,575.00,575.00,570.00,570.60,570.962962962962962962,27,9,15416.00,25,92.59,5.00,-4.40
8-April-2019,580.15,603.75,579.00,584.55,588.468421052631578947,380,22,223618.00,209,55.00,24.75,4.40
5-April-2019,578.95,583.60,572.00,575.00,575.641891891891891891,148,16,85195.00,93,62.84,11.60,-3.95
4-April-2019,573.00,575.00,572.00,572.00,573.150442477876106194,113,20,64766.00,79,69.91,3.00,-1.00
3-April-2019,574.35,574.35,572.55,573.05,573.701298701298701298,77,12,44175.00,56,72.73,1.80,-1.30
2-April-2019,584.00,585.00,581.00,585.00,583.789473684210526315,19,7,11092.00,17,89.47,4.00,1.00
1-April-2019,592.00,592.00,580.00,582.20,583.742718446601941747,206,28,120251.00,127,61.65,12.00,-9.80
29-March-2019,579.05,599.90,575.10,590.15,587.256351039260969976,433,31,254282.00,361,83.37,24.80,11.10
28-March-2019,589.00,605.00,575.10,578.15,589.250867052023121387,865,90,509702.00,249,28.79,29.90,-10.85
27-March-2019,580.95,591.75,571.15,578.60,579.110016420361247947,609,48,352678.00,303,49.75,20.60,-2.35
26-March-2019,569.60,589.90,568.50,586.75,579.975247524752475247,202,30,117155.00,141,69.80,21.40,17.15
25-March-2019,600.00,600.00,575.00,577.85,578.778079218665219750,1843,132,1066688.00,1545,83.83,25.00,-22.15
22-March-2019,601.00,601.00,589.95,592.80,591.618881118881118881,286,24,169203.00,235,82.17,11.05,-8.20
20-March-2019,585.15,599.90,585.00,589.05,588.386363636363636363,132,16,77667.00,121,91.67,14.90,3.90
19-March-2019,587.15,605.90,587.15,598.00,598.952127659574468085,188,21,112603.00,153,81.38,18.75,10.85
18-March-2019,587.90,605.00,559.75,602.10,583.973116495187520743,3013,192,1759511.00,2219,73.65,45.25,14.20
15-March-2019,614.00,617.00,570.00,582.55,593.419250180245133381,2774,227,1646145.00,1803,65.00,47.00,-31.45
14-March-2019,625.55,640.00,613.00,621.25,621.343283582089552238,268,47,166520.00,152,56.72,27.00,-4.30
13-March-2019,640.00,640.00,628.10,634.75,634.956043956043956043,91,13,57781.00,43,47.25,11.90,-5.25
12-March-2019,670.00,670.00,628.00,636.00,636.962500000000000000,240,25,152871.00,165,68.75,42.00,-34.00
11-March-2019,626.00,632.00,620.00,624.65,625.978723404255319148,141,15,88263.00,125,88.65,12.00,-1.35
7-March-2019,627.10,635.00,622.50,634.10,630.901907356948228882,367,35,231541.00,168,45.78,12.50,7.00
6-March-2019,618.55,629.90,612.35,619.80,617.674418604651162790,43,8,26560.00,30,69.77,17.55,1.25
5-March-2019,620.05,623.55,611.90,612.05,614.236842105263157894,38,11,23341.00,25,65.79,11.65,-8.00
1-March-2019,624.00,633.90,611.70,620.35,621.959302325581395348,172,18,106977.00,70,40.70,22.20,-3.65
28-February-2019,612.00,634.00,610.05,627.45,618.219512195121951219,82,10,50694.00,57,69.51,23.95,15.45
27-February-2019,619.00,619.00,618.50,618.50,618.969696969696969696,33,4,20426.00,32,96.97,0.50,-0.50
26-February-2019,615.00,639.90,610.00,637.30,620.071761093502377179,20192,30,12520489.00,20089,99.49,29.90,22.30
25-February-2019,615.00,615.00,615.00,615.00,615.000000000000000000,22,1,13530.00,22,100.00,0.00,0.00
22-February-2019,619.80,629.40,605.15,614.15,616.616279069767441860,86,22,53029.00,58,67.44,24.25,-5.65
21-February-2019,611.00,611.85,602.20,608.60,605.740000000000000000,50,11,30287.00,37,74.00,9.65,-2.40
20-February-2019,602.00,609.00,600.05,602.45,605.516129032258064516,93,11,56313.00,79,84.95,8.95,0.45
19-February-2019,605.15,610.00,600.10,601.15,603.662857142857142857,175,25,105641.00,83,47.43,9.90,-4.00
18-February-2019,616.05,616.05,605.10,606.90,609.557851239669421487,242,22,147513.00,174,71.90,10.95,-9.15
15-February-2019,612.05,629.85,612.05,618.65,619.317073170731707317,82,14,50784.00,22,26.83,17.80,6.60
14-February-2019,619.90,630.00,608.10,613.75,621.683239775461106655,2494,109,1550478.00,2086,83.64,21.90,-6.15
13-February-2019,615.00,625.95,605.10,609.70,613.466666666666666666,60,13,36808.00,41,68.33,20.85,-5.30
12-February-2019,619.05,628.90,615.10,618.80,621.837837837837837837,222,23,138048.00,121,54.50,13.80,-0.25
11-February-2019,633.50,637.00,617.10,620.20,620.396193771626297577,1734,50,1075767.00,1111,64.07,19.90,-13.30
8-February-2019,624.00,638.50,624.00,634.55,632.491329479768786127,173,23,109421.00,82,47.40,14.50,10.55
7-February-2019,626.05,635.95,626.05,626.15,626.330188679245283018,106,11,66391.00,58,54.72,9.90,0.10
6-February-2019,636.95,638.55,627.60,632.40,632.706666666666666666,75,12,47453.00,31,41.33,10.95,-4.55
5-February-2019,622.10,640.00,622.10,630.90,631.050583657587548638,257,31,162180.00,167,64.98,17.90,8.80
4-February-2019,627.00,629.00,624.95,625.30,625.215517241379310344,116,11,72525.00,83,71.55,4.05,-1.70
1-February-2019,627.05,632.00,623.00,627.10,628.015384615384615384,195,24,122463.00,99,50.77,9.00,0.05
31-January-2019,636.00,636.00,630.00,633.90,632.750000000000000000,40,5,25310.00,25,62.50,6.00,-2.10
30-January-2019,640.00,649.90,631.15,640.55,640.731707317073170731,205,21,131350.00,128,62.44,18.75,0.55
29-January-2019,640.95,645.95,630.00,633.60,634.791262135922330097,206,22,130767.00,107,51.94,15.95,-7.35
28-January-2019,644.00,659.00,637.00,643.25,645.604026845637583892,298,28,192390.00,168,56.38,22.00,-0.75
25-January-2019,651.00,654.00,648.15,652.50,651.481481481481481481,54,8,35180.00,31,57.41,5.85,1.50
24-January-2019,640.60,659.00,640.60,645.80,646.269230769230769230,156,24,100818.00,59,37.82,18.40,5.20
