Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,83.00,83.50,82.60,83.20,82.961492178098676293,831,13,68941.00,628,75.57,0.90,0.20
28-June-2019,85.15,85.15,83.00,83.70,84.312389380530973451,2260,36,190546.00,1532,67.79,2.15,-1.45
27-June-2019,85.50,85.50,84.30,84.45,85.101659751037344398,482,12,41019.00,300,62.24,1.20,-1.05
26-June-2019,85.55,85.55,84.65,85.25,85.166666666666666666,330,7,28105.00,280,84.85,0.90,-0.30
25-June-2019,85.30,85.70,84.85,85.65,85.602370689655172413,2784,41,238317.00,2500,89.80,0.85,0.35
24-June-2019,85.00,86.55,83.90,85.45,84.779991610738255033,4768,39,404231.00,1669,35.00,2.65,0.45
21-June-2019,85.50,86.65,84.25,85.00,85.211749515816655907,1549,21,131993.00,1356,87.54,2.40,-0.50
20-June-2019,86.85,86.85,84.00,85.90,85.829787234042553191,2303,47,197666.00,1547,67.17,2.85,-0.95
19-June-2019,86.95,89.20,86.30,86.80,87.486926492353231376,6081,40,532008.00,3250,53.45,2.90,-0.15
18-June-2019,87.00,87.00,86.85,86.85,86.920000000000000000,50,3,4346.00,25,50.00,0.15,-0.15
17-June-2019,88.50,88.50,86.55,86.75,86.835443037974683544,158,10,13720.00,115,72.78,1.95,-1.75
14-June-2019,86.15,88.75,85.45,87.10,87.059368836291913214,10140,125,882782.00,5775,56.95,3.30,0.95
13-June-2019,88.05,88.05,84.15,86.15,85.825643876227533815,5397,66,463201.00,2061,38.19,3.90,-1.90
12-June-2019,87.00,89.85,87.00,88.80,88.448290783210731285,2311,30,204404.00,682,29.51,2.85,1.80
10-June-2019,88.95,88.95,86.55,86.75,87.711009174311926605,654,22,57363.00,502,76.76,2.40,-2.20
7-June-2019,88.75,89.55,88.05,89.25,88.923570969813744380,1557,32,138454.00,858,55.11,1.50,0.50
6-June-2019,89.50,89.55,89.50,89.55,89.511904761904761904,84,2,7519.00,84,100.00,0.05,0.05
4-June-2019,90.00,90.00,88.35,88.95,89.018082191780821917,1825,18,162458.00,1475,80.82,1.65,-1.05
3-June-2019,94.95,94.95,90.05,90.65,90.701078582434514637,1947,23,176595.00,509,26.14,4.90,-4.30
31-May-2019,91.00,92.00,89.90,91.55,90.901062416998671978,3012,46,273794.00,2165,71.88,2.10,0.55
30-May-2019,94.05,95.25,91.50,91.85,92.728110599078341013,1519,37,140854.00,411,27.06,3.75,-2.20
29-May-2019,95.15,95.15,93.25,93.55,94.084785133565621370,861,25,81007.00,500,58.07,1.90,-1.60
28-May-2019,93.00,96.10,91.50,95.75,94.762064698603500088,16971,183,1608207.00,8398,49.48,4.60,2.75
27-May-2019,93.30,94.00,92.50,92.95,93.320977428038931455,4829,58,450647.00,1128,23.36,1.50,-0.35
24-May-2019,85.05,90.95,85.05,90.75,89.788072568802993699,21111,134,1895516.00,12823,60.74,5.90,5.70
23-May-2019,88.35,88.50,84.20,84.45,86.568359169039333544,37932,216,3283711.00,23611,62.25,4.30,-3.90
22-May-2019,85.05,86.75,84.75,85.90,85.718419013174890209,3871,35,331816.00,744,19.22,2.00,0.85
21-May-2019,87.10,88.00,85.40,85.65,86.178954903364352183,1397,53,120392.00,705,50.47,2.60,-1.45
20-May-2019,87.55,88.60,87.15,88.10,87.948683322079675894,2962,26,260504.00,1973,66.61,1.45,0.55
17-May-2019,85.80,86.30,84.55,84.75,85.543698252069917203,1087,16,92986.00,752,69.18,1.75,-1.05
16-May-2019,83.00,86.80,82.75,85.85,84.320154746178524249,10598,59,893625.00,6115,57.70,4.05,2.85
15-May-2019,85.00,85.40,83.15,83.75,84.660781841109709962,793,24,67136.00,295,37.20,2.25,-1.25
14-May-2019,83.50,85.00,83.50,84.70,84.687031700288184438,1735,27,146932.00,1356,78.16,1.50,1.20
13-May-2019,85.50,85.50,83.55,84.65,84.683333333333333333,2340,38,198159.00,1223,52.26,1.95,-0.85
10-May-2019,83.55,85.95,83.55,84.95,84.619418483904465212,3852,20,325954.00,637,16.54,2.40,1.40
9-May-2019,83.55,84.25,83.15,83.50,83.609862385321100917,4360,17,364539.00,3370,77.29,1.10,-0.05
8-May-2019,84.05,84.95,83.75,84.15,83.932173913043478260,1150,17,96522.00,580,50.43,1.20,0.10
7-May-2019,85.70,86.00,84.05,84.70,85.378195257160455805,6494,69,554446.00,2326,35.82,1.95,-1.00
6-May-2019,85.00,85.80,83.05,83.60,84.436142804563857195,2717,55,229413.00,1035,38.09,2.75,-1.40
3-May-2019,86.20,87.35,86.00,86.30,86.634357005758157389,2084,28,180546.00,1170,56.14,1.35,0.10
2-May-2019,90.00,90.00,86.25,87.15,88.034890965732087227,4815,34,423888.00,3665,76.12,3.75,-2.85
30-April-2019,90.90,91.00,88.10,88.60,89.846573208722741433,6420,63,576815.00,4559,71.01,2.90,-2.30
