Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,57.70,58.55,53.50,55.60,56.805225458202491636,48723,655,2767721.00,19018,39.03,5.05,-2.10
28-June-2019,47.20,53.25,46.00,53.25,51.322101784864946053,39947,415,2050164.00,16454,41.19,7.25,6.05
27-June-2019,39.30,44.40,39.30,44.40,43.585853131749460043,22224,151,968652.00,9269,41.71,5.10,5.10
26-June-2019,36.00,37.00,35.50,37.00,36.454193548387096774,1550,27,56504.00,1194,77.03,1.50,1.00
25-June-2019,37.55,38.85,37.00,37.00,37.035749027237354085,4112,37,152291.00,4111,99.98,1.85,-0.55
24-June-2019,37.00,40.00,36.95,36.95,37.700988467874794069,2428,22,91538.00,1953,80.44,3.05,-0.05
21-June-2019,37.70,37.70,37.00,37.20,37.665562913907284768,2114,9,79625.00,2111,99.86,0.70,-0.50
20-June-2019,36.00,37.25,36.00,36.95,36.808062299587723316,2183,26,80352.00,1783,81.68,1.25,0.95
19-June-2019,40.00,40.00,34.25,36.25,36.345739471106758080,2042,72,74218.00,1048,51.32,5.75,-3.75
18-June-2019,42.65,42.65,39.05,40.15,40.377215189873417721,1975,43,79745.00,1902,96.30,3.60,-2.50
17-June-2019,43.50,43.65,43.50,43.50,43.619047619047619047,252,5,10992.00,251,99.60,0.15,0.00
14-June-2019,45.50,45.50,42.65,43.15,44.211292613636363636,2816,41,124499.00,1372,48.72,2.85,-2.35
12-June-2019,47.05,47.25,45.00,47.25,45.142857142857142857,203,13,9164.00,200,98.52,2.25,0.20
11-June-2019,46.00,49.00,46.00,48.65,48.015015015015015015,666,8,31978.00,505,75.83,3.00,2.65
10-June-2019,50.00,50.00,50.00,50.00,50.000000000000000000,1,1,50.00,1,100.00,0.00,0.00
7-June-2019,46.50,49.95,44.20,49.00,47.453415369161225514,7964,84,377919.00,3526,44.27,5.75,2.50
6-June-2019,49.00,49.00,49.00,49.00,49.000000000000000000,201,2,9849.00,201,100.00,0.00,0.00
4-June-2019,52.50,52.65,51.30,52.65,51.551181102362204724,127,5,6547.00,126,99.21,1.35,0.15
3-June-2019,52.00,52.20,52.00,52.20,52.000000000000000000,105,4,5460.00,104,99.05,0.20,0.20
31-May-2019,52.15,53.80,51.50,53.10,53.362428842504743833,1054,15,56244.00,522,49.53,2.30,0.95
30-May-2019,49.15,49.15,49.15,49.15,49.000000000000000000,1,1,49.00,1,100.00,0.00,0.00
29-May-2019,51.10,53.55,51.00,53.55,51.109343936381709741,503,3,25708.00,503,100.00,2.55,2.45
28-May-2019,46.05,56.75,46.05,53.95,54.407129455909943714,533,15,28999.00,452,84.80,10.70,7.90
27-May-2019,50.00,51.95,50.00,51.00,50.666666666666666666,705,10,35720.00,582,82.55,1.95,1.00
