Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,60.90,60.90,60.80,60.80,60.898203592814371257,501,7,30510.00,501,100.00,0.10,-0.10
28-June-2019,60.00,61.95,56.05,58.00,58.246258945998698763,6148,60,358098.00,4687,76.24,5.90,-2.00
27-June-2019,62.00,62.00,58.90,59.00,59.594512195121951219,1640,35,97735.00,1511,92.13,3.10,-3.00
26-June-2019,62.50,62.50,60.00,62.00,61.925696594427244582,1615,17,100010.00,1514,93.75,2.50,-0.50
25-June-2019,62.00,62.00,59.55,61.50,61.380273972602739726,1825,19,112019.00,1825,100.00,2.45,-0.50
24-June-2019,62.00,63.80,62.00,62.50,63.002053388090349075,974,16,61364.00,974,100.00,1.80,0.50
21-June-2019,62.00,62.00,59.00,61.75,61.044722719141323792,559,22,34124.00,559,100.00,3.00,-0.25
20-June-2019,63.90,63.90,58.90,59.05,60.044782608695652173,2300,28,138103.00,2300,100.00,5.00,-4.85
19-June-2019,64.00,64.00,60.90,62.00,62.326111111111111111,3600,22,224374.00,3600,100.00,3.10,-2.00
18-June-2019,62.05,65.00,62.05,64.00,63.939597315436241610,298,7,19054.00,298,100.00,2.95,1.95
17-June-2019,60.05,62.05,59.85,62.05,60.083466453674121405,2504,16,150449.00,2504,100.00,2.20,2.00
14-June-2019,68.00,68.15,62.50,63.00,63.618871034198599093,2427,15,154403.00,2427,100.00,5.65,-5.00
13-June-2019,68.30,68.35,61.90,65.00,65.774068698597000483,2067,33,135955.00,2067,100.00,6.45,-3.30
12-June-2019,68.50,69.70,65.10,65.10,67.638998682476943346,759,18,51338.00,759,100.00,4.60,-3.40
11-June-2019,63.10,66.40,63.05,66.40,65.480250783699059561,1595,24,104441.00,1595,100.00,3.35,3.30
10-June-2019,66.30,66.30,66.00,66.00,66.248456790123456790,1296,19,85858.00,1296,100.00,0.30,-0.30
7-June-2019,63.10,63.15,63.10,63.15,63.149446494464944649,2168,7,136908.00,2168,100.00,0.05,0.05
6-June-2019,63.15,63.15,60.10,60.15,62.156595191682910981,1539,24,95659.00,1539,100.00,3.05,-3.00
4-June-2019,58.55,63.05,58.05,60.15,61.640208197787898503,3074,37,189482.00,3074,100.00,5.00,1.60
3-June-2019,62.00,65.80,59.60,60.10,63.483065953654188948,1122,28,71228.00,1122,100.00,6.20,-1.90
31-May-2019,67.00,69.30,62.70,62.70,64.815699658703071672,3809,54,246883.00,3809,100.00,6.60,-4.30
30-May-2019,67.00,67.00,62.10,66.00,65.979784182488731047,7321,31,483038.00,7321,100.00,4.90,-1.00
29-May-2019,60.90,63.90,59.00,63.90,63.607166703761406632,4493,29,285787.00,4493,100.00,4.90,3.00
28-May-2019,60.70,60.90,59.90,60.90,60.330368173956016802,4047,19,244157.00,4047,100.00,1.00,0.20
27-May-2019,54.80,59.00,54.80,58.00,55.132179226069246435,49100,128,2706990.00,49100,100.00,4.20,3.20
24-May-2019,57.65,57.65,57.65,57.65,57.649908592321755027,2188,17,126138.00,2188,100.00,0.00,0.00
23-May-2019,60.65,60.65,60.65,60.65,60.649122807017543859,627,14,38027.00,627,100.00,0.00,0.00
22-May-2019,63.80,63.80,63.80,63.80,63.798534798534798534,273,9,17417.00,273,100.00,0.00,0.00
21-May-2019,67.15,67.15,67.15,67.15,67.148296593186372745,499,9,33507.00,499,100.00,0.00,0.00
20-May-2019,77.70,77.70,70.30,70.65,71.696954873425461660,8177,36,586266.00,8177,100.00,7.40,-7.05
17-May-2019,74.00,74.00,74.00,74.00,74.000000000000000000,10,2,740.00,10,100.00,0.00,0.00
16-May-2019,69.00,73.85,69.00,73.85,70.777777777777777777,27,2,1911.00,27,100.00,4.85,4.85
15-May-2019,71.50,74.00,71.25,71.25,71.377411376751854905,6065,29,432904.00,6065,100.00,2.75,-0.25
