Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,485.00,494.55,485.00,493.45,491.511764705882352941,850,86,417785.00,528,62.12,9.55,8.45
28-June-2019,483.10,486.90,481.00,483.60,485.193787668057487250,2157,207,1046563.00,1668,77.33,5.90,0.50
27-June-2019,483.80,489.20,479.00,480.00,483.350213544844417327,1639,138,792211.00,1082,66.02,10.20,-3.80
26-June-2019,485.00,486.10,480.00,482.00,481.917948717948717948,1755,206,845766.00,1329,75.73,6.10,-3.00
25-June-2019,484.65,487.10,483.00,485.50,485.040404040404040404,99,15,48019.00,62,62.63,4.10,0.85
24-June-2019,491.40,492.05,477.90,482.80,486.993595608417200365,1093,105,532284.00,661,60.48,14.15,-8.60
21-June-2019,488.90,494.00,486.35,487.35,489.572354211663066954,463,44,226672.00,293,63.28,7.65,-1.55
20-June-2019,485.00,491.45,485.00,488.50,488.194805194805194805,231,32,112773.00,105,45.45,6.45,3.50
19-June-2019,495.00,495.00,485.00,489.25,488.605118829981718464,1641,60,801801.00,1488,90.68,10.00,-5.75
18-June-2019,492.00,495.15,487.55,488.85,490.066974595842956120,433,46,212199.00,323,74.60,7.60,-3.15
17-June-2019,491.75,497.85,488.80,492.35,494.385295912141549725,3278,119,1620595.00,2791,85.14,9.05,0.60
14-June-2019,502.90,511.90,486.05,492.10,498.152725914861837191,2678,272,1334053.00,645,24.09,25.85,-10.80
13-June-2019,498.60,507.70,495.00,502.95,501.532480818414322250,1955,120,980496.00,1490,76.21,12.70,4.35
12-June-2019,492.00,499.00,491.75,495.95,496.706630336058128973,1101,105,546874.00,576,52.32,7.25,3.95
11-June-2019,485.05,491.95,483.50,489.55,487.937058823529411764,1700,140,829493.00,1112,65.41,8.45,4.50
10-June-2019,498.00,498.00,483.50,487.85,488.574188562596599690,1294,144,632215.00,776,59.97,14.50,-10.15
7-June-2019,494.50,499.80,488.05,493.05,493.984412470023980815,1668,167,823966.00,934,56.00,11.75,-1.45
6-June-2019,501.00,504.00,496.00,498.30,500.182260196374622356,21184,559,10595861.00,13157,62.11,8.00,-2.70
