Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-March-2019,2.69,2.69,2.69,2.69,2.690000000000000000,500,1,1345.00,500,100.00,0.00,0.00
20-December-2018,2.69,2.69,2.69,2.69,2.690000000000000000,200,2,538.00,200,100.00,0.00,0.00
6-December-2018,2.74,2.74,2.74,2.74,2.740000000000000000,100,1,274.00,100,100.00,0.00,0.00
5-December-2018,2.88,2.88,2.88,2.88,2.880000000000000000,100,1,288.00,100,100.00,0.00,0.00
4-December-2018,3.03,3.03,3.03,3.03,3.030000000000000000,100,1,303.00,100,100.00,0.00,0.00
3-December-2018,3.18,3.18,3.18,3.18,3.180000000000000000,100,1,318.00,100,100.00,0.00,0.00
30-November-2018,3.34,3.34,3.34,3.34,3.340000000000000000,100,1,334.00,100,100.00,0.00,0.00
29-November-2018,3.51,3.51,3.51,3.51,3.510000000000000000,100,1,351.00,100,100.00,0.00,0.00
28-November-2018,3.69,3.69,3.69,3.69,3.690000000000000000,100,1,369.00,100,100.00,0.00,0.00
27-November-2018,3.88,3.88,3.88,3.88,3.880000000000000000,100,1,388.00,100,100.00,0.00,0.00
26-November-2018,4.08,4.08,4.08,4.08,4.080000000000000000,500,2,2040.00,500,100.00,0.00,0.00
22-November-2018,4.29,4.29,4.29,4.29,4.290000000000000000,500,3,2145.00,500,100.00,0.00,0.00
21-November-2018,4.51,4.51,4.51,4.51,4.510000000000000000,100,1,451.00,100,100.00,0.00,0.00
15-November-2018,4.74,4.74,4.74,4.74,4.740000000000000000,100,1,474.00,100,100.00,0.00,0.00
12-November-2018,4.98,4.98,4.98,4.98,4.980000000000000000,100,1,498.00,100,100.00,0.00,0.00
9-November-2018,5.24,5.24,5.24,5.24,5.240000000000000000,300,3,1572.00,300,100.00,0.00,0.00
8-October-2018,5.51,5.51,5.51,5.51,5.510000000000000000,100,1,551.00,100,100.00,0.00,0.00
5-October-2018,5.80,5.80,5.80,5.80,5.800000000000000000,100,1,580.00,100,100.00,0.00,0.00
4-October-2018,6.05,6.05,6.05,6.05,6.050000000000000000,200,2,1210.00,200,100.00,0.00,0.00
7-September-2018,5.80,5.80,5.80,5.80,5.800000000000000000,100,1,580.00,100,100.00,0.00,0.00
5-September-2018,5.70,6.10,5.70,6.10,6.087500000000000000,3200,2,19480.00,3200,100.00,0.40,0.40
4-September-2018,5.95,5.95,5.95,5.95,5.950000000000000000,2000,1,11900.00,2000,100.00,0.00,0.00
31-August-2018,5.88,5.88,5.88,5.88,5.880000000000000000,2000,1,11760.00,2000,100.00,0.00,0.00
30-August-2018,5.60,5.60,5.60,5.60,5.600000000000000000,2600,6,14560.00,2600,100.00,0.00,0.00
29-August-2018,5.34,5.34,5.34,5.34,5.340000000000000000,600,1,3204.00,600,100.00,0.00,0.00
24-August-2018,5.09,5.09,5.09,5.09,5.090000000000000000,100,1,509.00,100,100.00,0.00,0.00
21-August-2018,4.85,4.85,4.85,4.85,4.850000000000000000,100,1,485.00,100,100.00,0.00,0.00
20-August-2018,4.62,4.62,4.62,4.62,4.620000000000000000,1000,1,4620.00,1000,100.00,0.00,0.00
12-July-2018,4.40,4.40,4.40,4.40,4.400000000000000000,200,1,880.00,200,100.00,0.00,0.00
10-July-2018,4.40,4.40,4.40,4.40,4.400000000000000000,1500,1,6600.00,1500,100.00,0.00,0.00
5-July-2018,4.35,4.35,4.35,4.35,4.350000000000000000,1000,1,4350.00,1000,100.00,0.00,0.00
4-July-2018,4.35,4.35,4.35,4.35,4.350000000000000000,3600,3,15660.00,3600,100.00,0.00,0.00
28-June-2018,4.35,4.35,4.35,4.35,4.350000000000000000,500,1,2175.00,500,100.00,0.00,0.00
26-June-2018,4.50,4.50,4.50,4.50,4.500000000000000000,5500,3,24750.00,5500,100.00,0.00,0.00
5-June-2018,4.63,4.63,4.63,4.63,4.630000000000000000,100,1,463.00,100,100.00,0.00,0.00
4-June-2018,4.41,4.41,4.41,4.41,4.410000000000000000,200,2,882.00,200,100.00,0.00,0.00
31-May-2018,4.20,4.20,4.20,4.20,4.200000000000000000,200,1,840.00,200,100.00,0.00,0.00
30-May-2018,4.41,4.41,4.41,4.41,4.410000000000000000,100,1,441.00,100,100.00,0.00,0.00
28-May-2018,4.20,4.20,4.20,4.20,4.200000000000000000,300,1,1260.00,300,100.00,0.00,0.00
