Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,5.70,5.70,5.70,5.70,5.600000000000000000,5,1,28.00,5,100.00,0.00,0.00
20-June-2019,5.43,5.43,5.43,5.43,5.415384615384615384,65,2,352.00,65,100.00,0.00,0.00
19-June-2019,4.94,5.18,4.94,5.18,5.064814814814814814,216,8,1094.00,216,100.00,0.24,0.24
18-June-2019,4.94,4.94,4.94,4.94,4.920000000000000000,25,4,123.00,25,100.00,0.00,0.00
15-May-2019,4.71,4.71,4.71,4.71,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
2-May-2019,4.71,4.71,4.71,4.71,4.710000000000000000,100,1,471.00,100,100.00,0.00,0.00
2-April-2019,4.95,4.95,4.95,4.95,4.949044585987261146,157,4,777.00,157,100.00,0.00,0.00
4-October-2018,4.72,4.72,4.72,4.72,4.720000000000000000,200,2,944.00,200,100.00,0.00,0.00
3-October-2018,4.50,4.50,4.50,4.50,4.500000000000000000,1000,1,4500.00,1000,100.00,0.00,0.00
25-September-2018,4.30,4.49,4.30,4.49,4.319000000000000000,1000,2,4319.00,1000,100.00,0.19,0.19
2-August-2018,4.28,4.28,4.28,4.28,4.280000000000000000,900,1,3852.00,900,100.00,0.00,0.00
10-April-2018,4.08,4.08,4.08,4.08,4.080000000000000000,800,4,3264.00,800,100.00,0.00,0.00
9-April-2018,4.29,4.29,4.29,4.29,4.290000000000000000,100,1,429.00,100,100.00,0.00,0.00
4-April-2018,4.09,4.51,4.09,4.51,4.440000000000000000,1200,3,5328.00,1200,100.00,0.42,0.42
3-April-2018,4.30,4.30,4.30,4.30,4.300000000000000000,500,2,2150.00,500,100.00,0.00,0.00
2-April-2018,4.52,4.52,4.52,4.52,4.520000000000000000,200,1,904.00,200,100.00,0.00,0.00
28-March-2018,4.75,4.75,4.75,4.75,4.750000000000000000,200,1,950.00,200,100.00,0.00,0.00
22-March-2018,5.00,5.00,5.00,5.00,5.000000000000000000,100,1,500.00,100,100.00,0.00,0.00
13-March-2018,5.21,5.21,5.20,5.20,5.200476190476190476,2100,5,10921.00,2100,100.00,0.01,-0.01
