Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,6.85,7.03,6.79,6.79,6.939024390243902439,164,4,1138.00,154,93.90,0.24,-0.06
28-June-2019,6.30,7.39,5.61,6.85,6.649272612270714737,3162,10,21025.00,2921,92.38,1.78,0.55
27-June-2019,6.86,6.86,6.81,6.85,6.834202898550724637,3450,6,23578.00,3450,100.00,0.05,-0.01
26-June-2019,7.35,7.45,6.85,6.87,7.004419889502762430,905,18,6339.00,594,65.64,0.60,-0.48
25-June-2019,6.85,6.90,6.80,6.84,6.833438089252042740,1591,11,10872.00,1091,68.57,0.10,-0.01
24-June-2019,7.38,7.38,6.80,6.80,7.066088840736728060,923,36,6522.00,318,34.45,0.58,-0.58
21-June-2019,7.40,7.40,6.78,6.92,6.964838255977496483,711,9,4952.00,410,57.67,0.62,-0.48
20-June-2019,6.73,7.70,6.70,6.85,6.817229796482908516,5061,20,34502.00,4047,79.96,1.00,0.12
19-June-2019,7.20,7.27,6.85,6.90,7.009332376166547020,2786,10,19528.00,2715,97.45,0.42,-0.30
18-June-2019,7.02,7.79,7.02,7.25,7.282240689442905509,3249,17,23660.00,2529,77.84,0.77,0.23
17-June-2019,8.00,8.00,7.15,7.19,7.262657414546389103,3891,14,28259.00,3800,97.66,0.85,-0.81
14-June-2019,7.22,7.84,7.21,7.84,7.250000000000000000,320,3,2320.00,300,93.75,0.63,0.62
13-June-2019,7.31,7.85,7.26,7.40,7.460776773697365891,10402,133,77607.00,4981,47.88,0.59,0.09
12-June-2019,7.99,7.99,6.80,7.30,7.261341497355969941,7186,29,52180.00,5043,70.18,1.19,-0.69
11-June-2019,7.95,7.95,7.30,7.89,7.432026143790849673,1530,19,11371.00,1510,98.69,0.65,-0.06
10-June-2019,7.60,7.60,7.60,7.60,7.600000000000000000,10,1,76.00,10,100.00,0.00,0.00
7-June-2019,8.28,8.29,7.70,7.80,8.019916142557651991,1908,8,15302.00,1908,100.00,0.59,-0.48
6-June-2019,7.50,8.34,7.50,7.90,8.065281317388747304,5101,28,41141.00,4030,79.00,0.84,0.40
4-June-2019,7.90,8.18,7.90,8.18,7.946666666666666666,1200,3,9536.00,1200,100.00,0.28,0.28
3-June-2019,8.40,8.40,7.90,8.00,8.079435915744377008,5602,30,45261.00,4602,82.15,0.50,-0.40
