Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-June-2019,48.90,56.00,48.75,56.00,50.240000000000000000,10000,5,502400.00,2000,20.00,7.25,7.10
26-June-2019,49.00,49.00,48.15,48.25,48.568032786885245901,122000,10,5925300.00,62000,50.82,0.85,-0.75
25-June-2019,49.10,49.15,48.70,49.15,49.012500000000000000,8000,4,392100.00,0,0.00,0.45,0.05
21-June-2019,49.25,49.80,47.50,48.90,49.190625000000000000,32000,9,1574100.00,20000,62.50,2.30,-0.35
20-June-2019,48.50,48.50,48.00,48.25,48.250000000000000000,4000,2,193000.00,4000,100.00,0.50,-0.25
19-June-2019,50.50,50.50,49.00,50.40,49.972222222222222222,18000,9,899500.00,10000,55.56,1.50,-0.10
18-June-2019,51.05,51.05,51.05,51.05,51.050000000000000000,2000,1,102100.00,2000,100.00,0.00,0.00
17-June-2019,53.00,53.00,50.50,51.85,51.850000000000000000,10000,5,518500.00,2000,20.00,2.50,-1.15
14-June-2019,50.50,52.75,50.50,52.65,52.150000000000000000,8000,4,417200.00,2000,25.00,2.25,2.15
13-June-2019,51.05,53.25,50.65,53.25,51.650000000000000000,6000,3,309900.00,4000,66.67,2.60,2.20
12-June-2019,53.50,53.55,53.50,53.55,53.525000000000000000,4000,2,214100.00,0,0.00,0.05,0.05
11-June-2019,52.50,52.50,52.50,52.50,52.500000000000000000,8000,4,420000.00,0,0.00,0.00,0.00
10-June-2019,50.50,53.10,50.50,52.90,52.300000000000000000,8000,4,418400.00,4000,50.00,2.60,2.40
7-June-2019,51.50,51.50,51.45,51.45,51.475000000000000000,4000,2,205900.00,2000,50.00,0.05,-0.05
6-June-2019,51.05,52.75,51.00,52.30,51.875000000000000000,12000,6,622500.00,4000,33.33,1.75,1.25
4-June-2019,51.05,53.50,51.00,53.30,52.883333333333333333,24000,12,1269200.00,2000,8.33,2.50,2.25
3-June-2019,53.75,53.75,51.00,53.20,53.144444444444444444,18000,9,956600.00,2000,11.11,2.75,-0.55
31-May-2019,51.00,51.00,51.00,51.00,51.000000000000000000,2000,1,102000.00,2000,100.00,0.00,0.00
30-May-2019,55.50,57.50,55.50,56.05,55.814583333333333333,48000,8,2679100.00,36000,75.00,2.00,0.55
29-May-2019,53.10,53.40,53.10,53.25,53.262500000000000000,8000,4,426100.00,0,0.00,0.30,0.15
28-May-2019,56.50,56.50,56.00,56.00,56.225000000000000000,20000,6,1124500.00,0,0.00,0.50,-0.50
27-May-2019,56.50,56.50,56.05,56.20,56.250000000000000000,8000,4,450000.00,0,0.00,0.45,-0.30
24-May-2019,53.75,53.75,53.25,53.50,53.475000000000000000,8000,4,427800.00,0,0.00,0.50,-0.25
23-May-2019,51.50,53.25,51.00,53.25,52.155555555555555555,18000,9,938800.00,6000,33.33,2.25,1.75
22-May-2019,52.00,53.30,52.00,53.25,52.833333333333333333,12000,6,634000.00,4000,33.33,1.30,1.25
21-May-2019,54.90,54.90,52.00,54.05,53.490909090909090909,22000,11,1176800.00,8000,36.36,2.90,-0.85
20-May-2019,54.50,60.10,50.00,53.40,53.007407407407407407,54000,15,2862400.00,28000,51.85,10.10,-1.10
17-May-2019,53.45,53.75,51.50,53.70,53.230000000000000000,20000,7,1064600.00,4000,20.00,2.25,0.25
16-May-2019,53.50,54.60,52.00,54.60,53.956666666666666666,30000,14,1618700.00,4000,13.33,2.60,1.10
15-May-2019,52.80,52.90,52.00,52.00,52.680000000000000000,10000,4,526800.00,2000,20.00,0.90,-0.80
14-May-2019,52.70,52.80,51.00,51.00,51.777777777777777777,18000,4,932000.00,10000,55.56,1.80,-1.70
13-May-2019,52.70,52.75,50.00,50.00,52.266666666666666666,12000,5,627200.00,2000,16.67,2.75,-2.70
10-May-2019,52.85,52.90,52.50,52.90,52.807142857142857142,14000,6,739300.00,2000,14.29,0.40,0.05
9-May-2019,52.70,52.80,52.35,52.50,52.596428571428571428,28000,11,1472700.00,0,0.00,0.45,-0.20
8-May-2019,50.05,53.35,50.05,53.25,51.798387096774193548,62000,23,3211500.00,54000,87.10,3.30,3.20
7-May-2019,51.10,51.20,49.00,49.00,50.325000000000000000,16000,8,805200.00,8000,50.00,2.20,-2.10
6-May-2019,49.70,51.00,49.00,50.00,49.800000000000000000,14000,7,697200.00,6000,42.86,2.00,0.30
3-May-2019,47.50,48.85,47.50,48.80,48.520000000000000000,10000,5,485200.00,2000,20.00,1.35,1.30
2-May-2019,47.60,47.60,47.60,47.60,47.600000000000000000,2000,1,95200.00,2000,100.00,0.00,0.00
30-April-2019,48.00,48.00,48.00,48.00,48.000000000000000000,4000,1,192000.00,4000,100.00,0.00,0.00
