Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,103.35,104.40,102.45,103.20,103.592444333249937453,3997,105,414059.00,1906,47.69,1.95,-0.15
28-June-2019,103.15,103.85,101.80,102.30,102.503458259610744732,6217,119,637264.00,3951,63.55,2.05,-0.85
27-June-2019,105.50,106.40,103.55,104.20,105.268981880931837791,4636,319,488027.00,3027,65.29,2.85,-1.30
26-June-2019,104.90,107.50,103.80,105.55,104.989803531459835861,8042,204,844328.00,4827,60.02,3.70,0.65
25-June-2019,102.90,106.50,102.85,103.85,104.617142349070863341,11247,257,1176629.00,4199,37.33,3.65,0.95
24-June-2019,104.10,107.50,99.70,101.25,104.866545651712675923,42419,500,4448334.00,26391,62.22,7.80,-2.85
21-June-2019,110.50,112.60,101.85,104.00,104.717570163116704411,34883,658,3652863.00,14296,40.98,10.75,-6.50
20-June-2019,112.00,112.00,107.40,110.50,110.016787706557204504,19002,278,2090539.00,5891,31.00,4.60,-1.50
19-June-2019,111.00,115.00,107.45,108.80,111.776351500036675713,13633,209,1523847.00,7577,55.58,7.55,-2.20
18-June-2019,112.90,115.50,111.10,111.80,113.532584455273808540,12107,171,1374539.00,5533,45.70,4.40,-1.10
17-June-2019,108.75,113.65,108.00,112.90,112.185455425686423680,28918,540,3244179.00,8961,30.99,5.65,4.15
14-June-2019,112.00,112.00,109.00,109.30,110.643633276740237691,5890,132,651691.00,4343,73.74,3.00,-2.70
13-June-2019,115.00,115.70,112.00,113.20,114.029724985371562317,8545,185,974384.00,4248,49.71,3.70,-1.80
12-June-2019,115.80,116.45,114.75,115.15,115.430803365073495423,10817,295,1248615.00,5430,50.20,1.70,-0.65
11-June-2019,110.50,116.00,109.80,114.80,114.177918552036199095,11050,177,1261666.00,4638,41.97,6.20,4.30
10-June-2019,117.60,117.95,109.00,110.35,111.260664946105966297,6587,151,732874.00,2790,42.36,8.95,-7.25
7-June-2019,114.40,117.40,112.45,115.45,114.454218312674930027,12505,185,1431250.00,4631,37.03,4.95,1.05
6-June-2019,118.55,118.55,114.45,115.25,115.294283864131394595,16987,144,1958504.00,12516,73.68,4.10,-3.30
4-June-2019,118.50,125.00,117.00,119.00,119.901635401635401635,24948,272,2991306.00,6329,25.37,8.00,0.50
3-June-2019,116.00,120.45,115.65,118.90,118.142144097222222222,4608,86,544399.00,2373,51.50,4.80,2.90
31-May-2019,120.45,121.50,115.60,116.15,117.178330665890683350,20619,302,2416100.00,13478,65.37,5.90,-4.30
30-May-2019,118.80,122.80,118.80,120.00,121.260866512183133206,14241,255,1726876.00,4424,31.07,4.00,1.20
29-May-2019,119.15,120.80,117.05,118.40,119.355544077134986225,17424,294,2079651.00,8978,51.53,3.75,-0.75
28-May-2019,121.80,124.00,117.00,118.65,120.596955503512880562,17080,260,2059796.00,6736,39.44,7.00,-3.15
27-May-2019,121.10,123.50,120.15,120.50,121.435403066646424776,32935,505,3999475.00,17661,53.62,3.35,-0.60
24-May-2019,113.60,124.00,113.45,121.30,120.214878388649607296,126304,1833,15183620.00,48775,38.62,10.55,7.70
23-May-2019,115.00,117.35,110.50,112.40,115.444506048387096774,39680,564,4580838.00,21823,55.00,6.85,-2.60
22-May-2019,112.00,115.05,110.45,113.05,113.526333407721490738,17924,301,2034846.00,9178,51.20,4.60,1.05
21-May-2019,112.95,116.70,112.00,113.55,114.967931078996895021,147183,1727,16921325.00,49998,33.97,4.70,0.60
20-May-2019,106.00,113.00,103.90,110.90,108.906609878258326326,54706,536,5957845.00,28775,52.60,9.10,4.90
17-May-2019,101.30,104.10,100.90,102.30,102.828529303354220420,13565,165,1394869.00,8187,60.35,3.20,1.00
16-May-2019,102.00,102.55,99.00,101.45,101.582001956309096837,6134,111,623104.00,3618,58.98,3.55,-0.55
15-May-2019,102.90,104.15,99.35,101.00,102.154978083907326236,9582,185,978849.00,4158,43.39,4.80,-1.90
14-May-2019,97.90,103.70,97.45,102.20,101.225284240644529779,13281,272,1344373.00,2763,20.80,6.25,4.30
13-May-2019,108.25,108.25,98.00,99.40,102.863820412051923305,16794,270,1727495.00,9525,56.72,10.25,-8.85
10-May-2019,108.60,109.60,107.05,107.85,108.058228472736244756,8106,191,875920.00,3600,44.41,2.55,-0.75
9-May-2019,108.45,110.60,107.00,107.95,108.636425033768572714,17768,289,1930252.00,7574,42.63,3.60,-0.50
8-May-2019,111.00,111.30,107.00,108.45,108.880178935991353428,33308,516,3626581.00,10251,30.78,4.30,-2.55
7-May-2019,105.75,114.90,105.75,110.15,111.581298940580377706,67301,1278,7509533.00,23847,35.43,9.15,4.40
6-May-2019,109.80,109.80,105.20,105.55,106.583897813044319721,10334,291,1101438.00,4216,40.80,4.60,-4.25
3-May-2019,110.00,110.00,107.25,107.90,108.614487378873070941,16718,390,1815817.00,10421,62.33,2.75,-2.10
2-May-2019,107.90,110.05,104.90,107.90,107.644173753160193059,43510,795,4683598.00,14785,33.98,5.15,0.00
30-April-2019,117.00,117.00,105.00,106.95,109.607712052934801209,175310,2945,19215328.00,37743,21.53,12.00,-10.05
26-April-2019,98.20,104.35,98.20,101.50,101.776557741859920356,34152,501,3475873.00,6339,18.56,6.15,3.30
25-April-2019,93.80,104.00,93.80,98.45,100.556375949396853763,85054,1318,8552722.00,17090,20.09,10.20,4.65
24-April-2019,90.20,94.80,89.85,93.55,92.801646625501029140,9231,114,856652.00,2298,24.89,4.95,3.35
23-April-2019,91.00,92.25,88.10,89.45,90.074353876739562624,2515,47,226537.00,1037,41.23,4.15,-1.55
22-April-2019,93.75,93.90,89.20,90.80,92.467036780013879250,2882,81,266490.00,1191,41.33,4.70,-2.95
18-April-2019,96.35,96.60,92.85,93.90,93.851821192052980132,3624,47,340119.00,1520,41.94,3.75,-2.45
16-April-2019,93.35,94.40,92.80,94.15,93.630476597563581961,4679,67,438097.00,2591,55.38,1.60,0.80
15-April-2019,93.65,95.35,93.25,93.85,94.336526946107784431,2505,37,236313.00,1309,52.26,2.10,0.20
12-April-2019,94.95,95.25,93.60,94.10,94.461538461538461538,2509,52,237004.00,898,35.79,1.65,-0.85
11-April-2019,98.90,98.90,92.50,95.45,95.191332908475905681,20399,147,1941808.00,13357,65.48,6.40,-3.45
