Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-June-2019,47.25,47.25,47.25,47.25,47.200000000000000000,5,3,236.00,5,100.00,0.00,0.00
7-June-2019,45.00,45.00,45.00,45.00,45.000000000000000000,100,1,4500.00,100,100.00,0.00,0.00
6-June-2019,46.55,46.55,46.55,46.55,46.550000000000000000,100,1,4655.00,100,100.00,0.00,0.00
3-June-2019,49.00,49.00,49.00,49.00,49.000000000000000000,19,1,931.00,19,100.00,0.00,0.00
31-May-2019,49.00,49.00,49.00,49.00,49.000000000000000000,158,4,7742.00,158,100.00,0.00,0.00
29-May-2019,51.45,51.45,51.45,51.45,51.419354838709677419,31,3,1594.00,31,100.00,0.00,0.00
28-May-2019,57.00,57.00,54.15,54.15,56.937500000000000000,512,5,29152.00,512,100.00,2.85,-2.85
17-May-2019,57.00,57.00,57.00,57.00,57.000000000000000000,300,1,17100.00,300,100.00,0.00,0.00
16-May-2019,60.00,60.00,60.00,60.00,60.000000000000000000,1,1,60.00,1,100.00,0.00,0.00
14-May-2019,60.00,60.00,60.00,60.00,60.000000000000000000,50,1,3000.00,50,100.00,0.00,0.00
10-May-2019,55.00,59.70,55.00,59.70,55.264150943396226415,53,2,2929.00,53,100.00,4.70,4.70
30-April-2019,57.00,57.00,57.00,57.00,57.000000000000000000,7,1,399.00,7,100.00,0.00,0.00
26-April-2019,58.70,58.70,54.35,54.35,58.614379084967320261,153,4,8968.00,153,100.00,4.35,-4.35
24-April-2019,56.00,56.00,56.00,56.00,56.000000000000000000,500,1,28000.00,500,100.00,0.00,0.00
15-April-2019,58.00,58.00,58.00,58.00,58.000000000000000000,200,1,11600.00,200,100.00,0.00,0.00
8-April-2019,60.60,60.60,60.60,60.60,60.500000000000000000,2,1,121.00,2,100.00,0.00,0.00
5-April-2019,55.00,57.75,55.00,57.75,55.173913043478260869,46,2,2538.00,46,100.00,2.75,2.75
4-April-2019,55.00,55.00,55.00,55.00,55.000000000000000000,500,4,27500.00,500,100.00,0.00,0.00
1-April-2019,57.00,57.00,57.00,57.00,57.000000000000000000,10,1,570.00,10,100.00,0.00,0.00
28-March-2019,58.20,58.20,58.20,58.20,58.184210526315789473,38,1,2211.00,38,100.00,0.00,0.00
27-March-2019,58.20,58.20,58.20,58.20,58.200000000000000000,10,3,582.00,10,100.00,0.00,0.00
25-March-2019,61.20,61.20,61.15,61.15,61.195238095238095238,210,2,12851.00,210,100.00,0.05,-0.05
22-March-2019,59.00,59.00,58.75,58.75,58.770491803278688524,61,4,3585.00,61,100.00,0.25,-0.25
20-March-2019,64.50,64.50,61.80,61.80,62.040000000000000000,225,5,13959.00,225,100.00,2.70,-2.70
19-March-2019,61.50,61.50,61.50,61.50,61.500000000000000000,142,6,8733.00,142,100.00,0.00,0.00
18-March-2019,58.60,58.60,58.60,58.60,58.600000000000000000,770,9,45122.00,770,100.00,0.00,0.00
15-March-2019,55.85,55.85,55.85,55.85,55.850000000000000000,40,1,2234.00,40,100.00,0.00,0.00
14-March-2019,53.20,53.20,53.20,53.20,53.198019801980198019,101,3,5373.00,101,100.00,0.00,0.00
13-March-2019,50.70,50.70,50.70,50.70,50.698905109489051094,548,3,27783.00,548,100.00,0.00,0.00
12-March-2019,43.70,48.30,43.70,48.30,43.934984520123839009,323,6,14191.00,323,100.00,4.60,4.60
11-March-2019,46.05,46.05,46.00,46.00,46.037288135593220338,1180,13,54324.00,1180,100.00,0.05,-0.05
8-March-2019,48.50,48.50,48.40,48.40,48.407407407407407407,405,8,19605.00,405,100.00,0.10,-0.10
7-March-2019,50.90,50.90,50.90,50.90,50.899738448125544899,1147,5,58382.00,1147,100.00,0.00,0.00
6-March-2019,53.55,53.55,53.55,53.55,53.548672566371681415,452,4,24204.00,452,100.00,0.00,0.00
5-March-2019,56.35,57.00,56.35,56.35,56.333333333333333333,12,7,676.00,12,100.00,0.65,0.00
1-March-2019,59.30,59.30,59.30,59.30,59.166666666666666666,6,2,355.00,6,100.00,0.00,0.00
27-February-2019,62.40,62.40,62.40,62.40,62.000000000000000000,2,1,124.00,2,100.00,0.00,0.00
26-February-2019,65.65,65.65,65.65,65.65,65.648230088495575221,452,4,29673.00,452,100.00,0.00,0.00
25-February-2019,69.50,69.50,69.10,69.10,69.316964285714285714,224,6,15527.00,224,100.00,0.40,-0.40
22-February-2019,72.70,72.70,72.70,72.70,72.699316628701594533,878,13,63830.00,878,100.00,0.00,0.00
21-February-2019,84.50,84.50,76.50,76.50,82.214002642007926023,3028,32,248944.00,3028,100.00,8.00,-8.00
20-February-2019,80.50,80.50,80.50,80.50,80.500000000000000000,2250,10,181125.00,2250,100.00,0.00,0.00
19-February-2019,76.70,76.70,76.70,76.70,76.666666666666666666,3,2,230.00,3,100.00,0.00,0.00
