Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,15.50,15.50,14.15,14.15,14.220000000000000000,200,7,2844.00,200,100.00,1.35,-1.35
28-June-2019,14.80,14.80,14.80,14.80,14.790697674418604651,43,1,636.00,43,100.00,0.00,0.00
27-June-2019,15.50,15.50,15.50,15.50,15.500000000000000000,12,1,186.00,12,100.00,0.00,0.00
17-June-2019,15.50,15.85,15.50,15.75,15.770000000000000000,300,2,4731.00,300,100.00,0.35,0.25
7-June-2019,15.11,15.11,15.11,15.10,15.100000000000000000,10,1,151.00,10,100.00,0.00,-0.01
23-May-2019,15.11,15.11,15.11,15.11,15.100000000000000000,10,1,151.00,10,100.00,0.00,0.00
22-May-2019,15.11,16.65,15.11,15.11,15.139534883720930232,43,3,651.00,43,100.00,1.54,0.00
20-May-2019,15.90,15.90,15.90,15.90,15.833333333333333333,12,1,190.00,12,100.00,0.00,0.00
17-May-2019,15.20,15.20,15.20,15.20,15.200000000000000000,10,1,152.00,10,100.00,0.00,0.00
15-May-2019,15.22,15.22,15.22,15.22,15.200000000000000000,15,2,228.00,15,100.00,0.00,0.00
2-May-2019,14.50,15.00,14.50,14.50,14.750000000000000000,100,3,1475.00,75,75.00,0.50,0.00
26-April-2019,15.00,15.00,15.00,15.00,15.000000000000000000,400,1,6000.00,400,100.00,0.00,0.00
25-April-2019,15.75,15.75,15.75,15.75,15.000000000000000000,1,1,15.00,1,100.00,0.00,0.00
24-April-2019,15.75,15.75,15.75,15.75,15.750000000000000000,400,2,6300.00,400,100.00,0.00,0.00
22-April-2019,16.55,16.55,16.55,16.55,16.000000000000000000,1,1,16.00,1,100.00,0.00,0.00
18-April-2019,14.80,16.00,14.80,16.00,14.809523809523809523,504,2,7464.00,504,100.00,1.20,1.20
12-April-2019,16.95,16.95,15.40,15.40,15.423350253807106598,1970,13,30384.00,1970,100.00,1.55,-1.55
11-April-2019,16.15,16.15,16.15,16.15,16.150000000000000000,700,3,11305.00,700,100.00,0.00,0.00
9-April-2019,15.70,17.00,15.70,17.00,15.712871287128712871,101,2,1587.00,101,100.00,1.30,1.30
5-April-2019,15.70,16.40,15.70,16.40,16.376391982182628062,449,4,7353.00,449,100.00,0.70,0.70
1-April-2019,15.70,15.70,15.70,15.70,15.700000000000000000,350,1,5495.00,350,100.00,0.00,0.00
29-March-2019,15.06,15.06,15.06,15.06,15.056537102473498233,283,1,4261.00,283,100.00,0.00,0.00
27-March-2019,14.41,15.85,14.41,15.85,15.112500000000000000,800,4,12090.00,400,50.00,1.44,1.44
26-March-2019,15.16,15.16,15.16,15.16,15.157894736842105263,19,1,288.00,19,100.00,0.00,0.00
22-March-2019,15.95,15.95,15.95,15.95,15.949781659388646288,916,3,14610.00,916,100.00,0.00,0.00
19-March-2019,15.40,15.40,15.25,15.30,15.394700139470013947,1434,4,22076.00,1434,100.00,0.15,-0.10
18-March-2019,14.75,14.75,14.75,14.75,14.750000000000000000,2000,2,29500.00,2000,100.00,0.00,0.00
13-March-2019,14.25,14.25,14.11,14.16,14.146341463414634146,41,2,580.00,41,100.00,0.14,-0.09
11-March-2019,14.90,14.90,14.85,14.85,14.894117647058823529,510,3,7596.00,510,100.00,0.05,-0.05
7-March-2019,15.58,15.58,14.16,14.20,14.203867848509266720,6205,8,88135.00,6205,100.00,1.42,-1.38
26-February-2019,14.90,14.90,14.90,14.90,14.866666666666666666,15,1,223.00,15,100.00,0.00,0.00
25-February-2019,14.25,14.25,14.20,14.20,14.243816254416961130,566,6,8062.00,566,100.00,0.05,-0.05
22-February-2019,14.90,14.90,14.90,14.90,14.893939393939393939,66,1,983.00,66,100.00,0.00,0.00
21-February-2019,14.85,14.85,14.85,14.85,14.846153846153846153,234,1,3474.00,234,100.00,0.00,0.00
13-February-2019,15.55,15.55,15.55,15.55,15.550000000000000000,200,2,3110.00,200,100.00,0.00,0.00
12-February-2019,14.85,14.85,14.85,14.85,14.848484848484848484,66,1,980.00,66,100.00,0.00,0.00
8-February-2019,14.85,14.85,14.85,14.85,14.850000000000000000,100,1,1485.00,100,100.00,0.00,0.00
7-February-2019,15.55,15.55,15.55,15.55,15.500000000000000000,10,1,155.00,10,100.00,0.00,0.00
30-January-2019,16.30,16.30,16.30,16.30,16.250000000000000000,16,1,260.00,16,100.00,0.00,0.00
24-January-2019,17.10,17.10,17.10,17.10,17.100000000000000000,500,3,8550.00,500,100.00,0.00,0.00
23-January-2019,16.30,16.30,16.30,16.30,16.287878787878787878,66,2,1075.00,66,100.00,0.00,0.00
21-January-2019,17.00,17.00,17.00,17.00,17.000000000000000000,66,1,1122.00,66,100.00,0.00,0.00
18-January-2019,17.75,17.75,17.75,17.75,17.744360902255639097,133,1,2360.00,133,100.00,0.00,0.00
17-January-2019,19.50,19.50,18.40,18.40,19.060240963855421686,83,3,1582.00,83,100.00,1.10,-1.10
16-January-2019,19.25,19.25,19.25,19.25,19.242424242424242424,66,1,1270.00,66,100.00,0.00,0.00
15-January-2019,19.80,19.80,19.80,19.80,19.666666666666666666,3,1,59.00,3,100.00,0.00,0.00
4-January-2019,20.80,20.80,20.80,20.80,20.785714285714285714,42,1,873.00,42,100.00,0.00,0.00
2-January-2019,21.80,21.80,21.80,21.80,21.787878787878787878,33,1,719.00,33,100.00,0.00,0.00
1-January-2019,22.90,22.90,22.90,22.90,22.900000000000000000,50,1,1145.00,50,100.00,0.00,0.00
21-December-2018,24.10,24.10,24.10,24.10,24.090909090909090909,11,1,265.00,11,100.00,0.00,0.00
20-December-2018,24.10,24.10,24.10,24.10,24.100000000000000000,80,3,1928.00,80,100.00,0.00,0.00
19-December-2018,26.60,26.60,25.30,25.30,26.554385964912280701,1140,2,30272.00,1140,100.00,1.30,-1.30
12-December-2018,26.60,26.60,26.60,26.60,26.500000000000000000,2,2,53.00,2,100.00,0.00,0.00
22-November-2018,25.40,25.40,25.40,25.40,25.393939393939393939,66,1,1676.00,66,100.00,0.00,0.00
14-November-2018,25.70,25.70,25.70,25.70,25.000000000000000000,1,1,25.00,1,100.00,0.00,0.00
12-November-2018,24.50,24.50,24.50,24.50,24.500000000000000000,10,1,245.00,10,100.00,0.00,0.00
31-October-2018,23.35,23.35,23.35,23.35,23.350000000000000000,200,1,4670.00,200,100.00,0.00,0.00
