Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-March-2019,3.39,3.39,3.39,3.39,3.390000000000000000,64800,14,219672.00,64800,100.00,0.00,0.00
21-February-2019,3.23,3.23,3.23,3.23,3.200000000000000000,25,1,80.00,25,100.00,0.00,0.00
22-November-2018,3.08,3.08,3.08,3.08,3.000000000000000000,1,1,3.00,1,100.00,0.00,0.00
29-December-2015,2.94,2.94,2.94,2.94,2.940000000000000000,100,1,294.00,100,100.00,0.00,0.00
13-October-2015,2.80,2.80,2.80,2.80,2.800000000000000000,100,1,280.00,100,100.00,0.00,0.00
15-March-2001,2.65,2.65,2.65,2.65,2.650000000000000000,1000,1,2650.00,,,0.00,0.00
15-February-2001,2.15,2.15,2.15,2.15,2.150000000000000000,400,1,860.00,,,0.00,0.00
20-December-2000,2.60,2.60,2.60,2.60,2.600000000000000000,200,1,520.00,,,0.00,0.00
19-December-2000,3.45,3.45,3.45,3.45,3.450000000000000000,200,1,690.00,,,0.00,0.00
7-December-2000,4.55,4.55,4.55,4.55,4.550000000000000000,100,1,455.00,,,0.00,0.00
5-December-2000,6.05,6.05,6.05,6.05,6.050000000000000000,100,1,605.00,,,0.00,0.00
5-July-2000,8.00,8.00,8.00,8.00,8.000000000000000000,100,1,800.00,,,0.00,0.00
27-June-2000,9.75,9.75,9.75,9.75,9.750000000000000000,400,1,3900.00,,,0.00,0.00
26-June-2000,10.55,10.55,10.55,10.55,10.550000000000000000,100,1,1055.00,,,0.00,0.00
21-June-2000,8.45,8.45,8.45,8.45,8.450000000000000000,100,1,845.00,,,0.00,0.00
19-June-2000,8.55,8.55,8.55,8.55,8.550000000000000000,100,1,855.00,,,0.00,0.00
15-June-2000,6.85,6.85,6.85,6.85,6.850000000000000000,100,1,685.00,,,0.00,0.00
14-June-2000,6.90,6.90,6.90,6.90,6.900000000000000000,100,1,690.00,,,0.00,0.00
13-June-2000,6.90,7.00,6.90,6.95,6.950000000000000000,700,4,4865.00,,,0.10,0.05
12-June-2000,7.70,7.70,7.70,7.70,7.700000000000000000,100,1,770.00,,,0.00,0.00
9-March-2000,6.00,6.20,6.00,6.20,6.100000000000000000,1500,15,9150.00,,,0.20,0.20
29-December-1999,5.00,5.00,5.00,5.00,5.000000000000000000,200,1,1000.00,,,0.00,0.00
27-December-1999,5.00,5.00,5.00,5.00,5.000000000000000000,500,1,2500.00,,,0.00,0.00
22-December-1999,4.50,4.50,4.50,4.50,4.500000000000000000,100,1,450.00,,,0.00,0.00
21-December-1999,4.50,4.50,4.50,4.50,4.500000000000000000,500,1,2250.00,,,0.00,0.00
13-December-1999,3.50,3.50,3.50,3.50,3.500000000000000000,200,1,700.00,,,0.00,0.00
10-December-1999,3.25,3.25,3.25,3.25,3.250000000000000000,200,1,650.00,,,0.00,0.00
9-December-1999,3.00,3.00,3.00,3.00,3.000000000000000000,100,1,300.00,,,0.00,0.00
1-November-1999,3.00,3.00,3.00,3.00,3.000000000000000000,1500,1,4500.00,,,0.00,0.00
27-October-1999,4.25,4.25,4.25,4.25,4.250000000000000000,300,2,1275.00,,,0.00,0.00
22-October-1999,4.00,4.00,3.80,3.80,3.880000000000000000,500,2,1940.00,,,0.20,-0.20
20-October-1999,4.05,4.05,3.50,3.80,3.788888888888888888,4500,4,17050.00,,,0.55,-0.25
14-October-1999,4.50,4.50,4.50,4.50,4.500000000000000000,200,1,900.00,,,0.00,0.00
31-August-1999,4.00,4.00,4.00,4.00,4.000000000000000000,500,1,2000.00,,,0.00,0.00
28-July-1999,3.25,3.25,3.25,3.25,3.250000000000000000,200,1,650.00,,,0.00,0.00
14-July-1998,2.00,2.00,2.00,2.00,2.000000000000000000,200,1,400.00,,,0.00,0.00
10-December-1997,1.10,1.10,1.10,1.10,1.100000000000000000,200,1,220.00,,,0.00,0.00
9-December-1997,2.00,2.00,2.00,2.00,2.000000000000000000,100,1,200.00,,,0.00,0.00
8-December-1997,3.80,3.80,3.80,3.80,3.800000000000000000,100,1,380.00,,,0.00,0.00
3-December-1997,7.40,7.40,7.40,7.40,7.400000000000000000,100,1,740.00,,,0.00,0.00
9-June-1997,3.00,5.00,3.00,5.00,3.333333333333333333,600,3,2000.00,,,2.00,2.00
