Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,33.90,34.15,32.75,33.15,33.773410614019199420,16563,82,559389.00,3380,20.41,1.40,-0.75
28-June-2019,34.00,34.05,33.50,33.70,33.874352216529953507,33769,141,1143903.00,23635,69.99,0.55,-0.30
27-June-2019,33.05,34.70,33.05,33.60,34.046269218519269189,34537,169,1175856.00,16731,48.44,1.65,0.55
26-June-2019,32.00,33.25,31.75,33.20,32.425104259246598755,14627,79,474282.00,6409,43.82,1.50,1.20
25-June-2019,31.70,32.25,31.15,32.15,31.913629555666500249,4006,54,127846.00,2120,52.92,1.10,0.45
24-June-2019,32.55,32.90,31.65,32.00,32.137698077591773881,20131,151,646964.00,8820,43.81,1.25,-0.55
21-June-2019,31.70,32.80,31.70,32.45,32.130967023955953845,17073,153,548572.00,5558,32.55,1.10,0.75
20-June-2019,29.85,31.85,29.05,31.65,30.848138591964614817,21704,217,669528.00,8991,41.43,2.80,1.80
19-June-2019,32.35,32.65,30.00,30.10,31.670915258703026710,30363,316,961624.00,22546,74.25,2.65,-2.25
18-June-2019,33.05,33.30,32.00,32.45,32.832799520870765304,38403,187,1260878.00,33626,87.56,1.30,-0.60
17-June-2019,33.90,33.90,32.90,33.10,33.433949442783365044,14716,93,492014.00,10144,68.93,1.00,-0.80
14-June-2019,34.55,35.10,33.85,33.95,34.436162442480461617,27382,225,942931.00,11141,40.69,1.25,-0.60
13-June-2019,34.30,34.35,33.65,34.00,34.064271392185552484,18453,107,628588.00,9324,50.53,0.70,-0.30
12-June-2019,33.65,34.25,33.65,34.05,34.048579926517758208,17147,97,583831.00,3517,20.51,0.60,0.40
11-June-2019,33.60,34.35,33.45,34.10,34.048253078386224847,19978,131,680216.00,7925,39.67,0.90,0.50
10-June-2019,33.25,34.00,33.10,33.90,33.524409448818897637,13970,124,468336.00,6649,47.59,0.90,0.65
7-June-2019,35.20,35.35,32.35,33.20,33.246515556806982964,49721,454,1653050.00,18452,37.11,3.00,-2.00
6-June-2019,37.95,37.95,34.70,34.95,35.974873969752740657,37491,408,1348734.00,17869,47.66,3.25,-3.00
4-June-2019,37.00,37.00,36.05,36.15,36.377526115395880113,10243,74,372615.00,5276,51.51,0.95,-0.85
3-June-2019,36.50,37.00,36.00,36.95,36.656176841347019629,22212,148,814207.00,12777,57.52,1.00,0.45
31-May-2019,37.00,37.65,35.70,36.15,36.372373621801539421,33649,302,1223894.00,17726,52.68,1.95,-0.85
30-May-2019,39.00,39.00,36.70,36.90,37.290469712731055453,49988,422,1864076.00,23400,46.81,2.30,-2.10
29-May-2019,38.25,39.40,37.70,38.65,38.471447265842521438,215496,1350,8290443.00,85157,39.52,1.70,0.40
28-May-2019,34.00,36.15,34.00,35.85,34.970554585415788522,99642,575,3484536.00,66301,66.54,2.15,1.85
27-May-2019,32.20,34.00,32.00,33.85,33.219258105345146529,41084,281,1364780.00,20040,48.78,2.00,1.65
24-May-2019,30.55,32.50,30.35,31.70,31.419303491468439922,67221,408,2112037.00,34165,50.82,2.15,1.15
23-May-2019,30.85,31.25,30.00,30.30,30.439925872541954082,58278,294,1773978.00,26376,45.26,1.25,-0.55
22-May-2019,30.55,30.70,30.35,30.45,30.500295275590551181,10160,76,309883.00,6929,68.20,0.35,-0.10
21-May-2019,31.00,31.40,30.05,30.55,30.518475796507696591,25141,154,767265.00,13598,54.09,1.35,-0.45
20-May-2019,31.00,31.25,30.45,31.05,30.932516062911427332,25369,175,784727.00,11364,44.79,0.80,0.05
17-May-2019,30.85,31.05,29.80,29.95,30.200857905630380658,33337,225,1006806.00,23971,71.90,1.25,-0.90
16-May-2019,31.60,31.60,30.65,30.80,31.044906617000362150,19329,164,600067.00,9352,48.38,0.95,-0.80
15-May-2019,31.80,34.30,30.40,30.60,32.504884055729395947,84049,708,2732003.00,21177,25.20,3.90,-1.20
14-May-2019,31.50,31.50,30.80,30.90,31.107933019058911993,34577,210,1075619.00,17236,49.85,0.70,-0.60
13-May-2019,32.15,32.30,30.85,31.10,31.800161428164466812,21062,165,669775.00,11661,55.37,1.45,-1.05
10-May-2019,32.85,33.10,31.80,31.95,32.393542349087505849,53425,244,1730625.00,35658,66.74,1.30,-0.90
9-May-2019,32.85,33.00,32.55,32.85,32.835735586481113320,8048,62,264262.00,5256,65.31,0.45,0.00
8-May-2019,32.80,33.15,32.60,32.65,32.823349992650301337,27212,134,893189.00,17036,62.60,0.55,-0.15
7-May-2019,33.50,33.85,33.10,33.10,33.265187037615921642,9597,61,319246.00,6698,69.79,0.75,-0.40
6-May-2019,32.65,33.85,32.65,33.75,33.465333333333333333,15750,122,527079.00,8395,53.30,1.20,1.10
3-May-2019,33.00,33.35,32.90,33.10,33.081552781891262957,9454,61,312753.00,6802,71.95,0.45,0.10
2-May-2019,32.60,33.05,32.60,32.95,32.773125182375255325,13708,47,449254.00,11286,82.33,0.45,0.35
30-April-2019,33.35,33.35,32.00,32.65,32.465476190476190476,16800,114,545420.00,10643,63.35,1.35,-0.70
26-April-2019,33.95,34.00,33.45,33.60,33.594707134264828351,10807,60,363058.00,7203,66.65,0.55,-0.35
25-April-2019,33.80,34.00,33.55,33.75,33.758644729503625209,14344,78,484234.00,12099,84.35,0.45,-0.05
24-April-2019,32.55,33.75,31.90,33.60,32.858759008054260279,75488,400,2480442.00,44230,58.59,1.85,1.05
23-April-2019,33.35,33.35,32.25,32.40,32.821798136746075239,31021,155,1018165.00,21548,69.46,1.10,-0.95
22-April-2019,33.45,33.80,33.05,33.10,33.342376052385406922,11759,75,392073.00,7446,63.32,0.75,-0.35
18-April-2019,35.10,35.30,33.35,33.45,33.950798572515064646,17093,149,580321.00,9576,56.02,1.95,-1.65
16-April-2019,34.85,35.65,34.80,35.20,35.284639841372944514,29251,166,1032111.00,14638,50.04,0.85,0.35
15-April-2019,34.85,35.25,34.65,34.70,34.910752688172043010,24180,149,844142.00,13171,54.47,0.60,-0.15
12-April-2019,34.05,35.95,33.80,34.70,35.164852301470643098,134023,677,4712899.00,36422,27.18,2.15,0.65
11-April-2019,33.70,34.20,33.55,34.10,33.898506747584444621,25046,148,849022.00,12441,49.67,0.65,0.40
