Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,123.00,123.90,122.15,122.80,122.924040404040404040,9900,101,1216948.00,8282,83.66,1.75,-0.20
28-June-2019,122.30,124.10,122.00,122.35,123.241229238831157296,11259,130,1387573.00,8881,78.88,2.10,0.05
27-June-2019,120.00,123.20,119.80,121.85,121.596862488765422011,12239,188,1488224.00,5538,45.25,3.40,1.85
26-June-2019,120.90,121.70,120.00,120.45,120.862432269717037928,3322,65,401505.00,2815,84.74,1.70,-0.45
25-June-2019,123.00,123.00,120.55,121.90,121.278647147905098435,5943,77,720759.00,4959,83.44,2.45,-1.10
24-June-2019,126.80,126.80,121.50,122.35,124.117282755951228952,20668,372,2565256.00,10041,48.58,5.30,-4.45
21-June-2019,122.70,125.90,121.00,121.50,122.622905027932960893,9666,137,1185273.00,5905,61.09,4.90,-1.20
20-June-2019,121.30,123.20,121.30,122.05,121.975794251134644478,1983,38,241878.00,1084,54.66,1.90,0.75
19-June-2019,121.20,126.60,120.00,122.95,123.151556058229048852,27409,344,3375461.00,13113,47.84,6.60,1.75
18-June-2019,117.05,131.90,115.10,117.80,125.713698239253403158,59577,1321,7489645.00,15679,26.32,16.80,0.75
17-June-2019,120.75,120.75,116.60,116.85,118.193485342019543973,1535,65,181427.00,1241,80.85,4.15,-3.90
14-June-2019,120.50,122.05,120.00,120.90,121.224448897795591182,499,31,60491.00,412,82.57,2.05,0.40
13-June-2019,120.00,120.85,119.95,120.10,120.052360174533915113,5042,45,605304.00,3968,78.70,0.90,0.10
12-June-2019,125.05,125.05,122.00,122.50,122.745068850018608113,2687,45,329816.00,2129,79.23,3.05,-2.55
11-June-2019,126.60,127.50,125.00,125.05,125.189971646022981644,6701,74,838898.00,3422,51.07,2.50,-1.55
10-June-2019,128.05,128.05,125.00,126.40,125.859245283018867924,7950,71,1000581.00,6763,85.07,3.05,-1.65
7-June-2019,131.90,131.90,127.05,130.10,129.775832862789384528,5313,121,689499.00,1757,33.07,4.85,-1.80
6-June-2019,129.00,137.60,127.00,130.25,131.370826460019692842,78201,858,10273330.00,44585,57.01,10.60,1.25
4-June-2019,121.70,126.40,121.00,125.75,124.943683164060400881,18609,144,2325077.00,12691,68.20,5.40,4.05
3-June-2019,120.50,123.50,120.50,121.70,122.077628361858190709,1636,38,199719.00,1006,61.49,3.00,1.20
31-May-2019,125.55,125.60,120.00,120.95,121.758893280632411067,2277,62,277245.00,1618,71.06,5.60,-4.60
30-May-2019,119.20,127.80,119.00,123.80,122.972311739559355475,15205,243,1869794.00,6176,40.62,8.80,4.60
29-May-2019,120.80,120.85,119.00,120.30,119.845134874759152215,4152,66,497597.00,2592,62.43,1.85,-0.50
28-May-2019,117.90,122.45,117.90,120.10,120.031090576571373568,20778,63,2494006.00,19912,95.83,4.55,2.20
27-May-2019,116.40,120.00,116.40,118.05,118.530022802128198631,3947,61,467838.00,2588,65.57,3.60,1.65
24-May-2019,114.90,118.50,113.80,116.40,116.690846635683976560,4949,99,577503.00,2855,57.69,4.70,1.50
23-May-2019,114.00,120.00,112.80,113.95,114.534316078162495714,14585,103,1670483.00,11705,80.25,7.20,-0.05
22-May-2019,111.00,114.80,109.60,110.40,111.158904939892918476,9899,148,1100362.00,5288,53.42,5.20,-0.60
21-May-2019,111.95,113.00,111.00,112.30,111.684777517564402810,2135,64,238447.00,1228,57.52,2.00,0.35
20-May-2019,113.95,113.95,110.10,111.85,111.477196351416226596,8332,96,928828.00,5558,66.71,3.85,-2.10
17-May-2019,109.35,109.50,107.90,109.50,109.000599161174355901,1669,30,181922.00,1503,90.05,1.60,0.15
16-May-2019,107.05,110.55,107.05,108.10,108.226924480116745713,2741,60,296650.00,1620,59.10,3.50,1.05
15-May-2019,107.55,109.50,107.05,108.05,108.897234144015259895,4194,57,456715.00,1767,42.13,2.45,0.50
14-May-2019,109.30,109.30,104.00,107.90,107.896773114830454916,1004777,74,108412196.00,1810,0.18,5.30,-1.40
13-May-2019,108.25,109.50,107.05,108.55,108.546504559270516717,3290,51,357118.00,3097,94.13,2.45,0.30
10-May-2019,108.65,109.50,108.25,108.85,108.928395061728395061,1215,19,132348.00,981,80.74,1.25,0.20
9-May-2019,107.50,110.00,106.75,109.20,109.007138001359619306,2942,53,320699.00,2223,75.56,3.25,1.70
8-May-2019,106.00,110.40,105.05,107.00,106.983390786587276715,3191,100,341384.00,1086,34.03,5.35,1.00
7-May-2019,110.05,117.60,104.00,106.75,112.915842084006462035,19808,322,2236637.00,7700,38.87,13.60,-3.30
6-May-2019,104.25,111.00,104.25,109.65,109.793519744528390061,12839,171,1409639.00,5705,44.43,6.75,5.40
3-May-2019,105.40,107.20,105.40,106.15,106.434456928838951310,1869,25,198926.00,1510,80.79,1.80,0.75
2-May-2019,105.00,109.40,105.00,106.65,106.682717110920034393,1163,37,124072.00,750,64.49,4.40,1.65
30-April-2019,107.55,107.75,104.05,104.40,105.261729045861887190,3794,46,399363.00,3046,80.28,3.70,-3.15
26-April-2019,108.00,108.50,107.00,107.00,107.479189485213581599,1826,22,196257.00,1371,75.08,1.50,-1.00
25-April-2019,106.95,110.00,106.95,107.70,108.701076320939334637,6132,124,666555.00,3383,55.17,3.05,0.75
24-April-2019,105.05,107.00,103.35,106.25,104.904852521408182683,1051,31,110255.00,811,77.16,3.65,1.20
23-April-2019,106.65,107.00,105.00,106.50,106.072454308093994778,6128,68,650012.00,3053,49.82,2.00,-0.15
22-April-2019,108.45,110.10,102.95,106.65,106.444923982344286414,10195,199,1085206.00,3987,39.11,7.15,-1.80
18-April-2019,106.50,109.90,104.00,107.85,106.802103811507878289,68162,824,7279845.00,16365,24.01,5.90,1.35
16-April-2019,100.00,100.70,99.25,100.60,100.186046511627906976,3139,28,314484.00,2657,84.64,1.45,0.60
15-April-2019,99.25,101.00,99.00,100.40,99.914335664335664335,2288,31,228604.00,1719,75.13,2.00,1.15
12-April-2019,99.95,99.95,98.15,99.05,99.098837209302325581,172,7,17045.00,100,58.14,1.80,-0.90
11-April-2019,99.50,99.50,98.50,98.70,98.602189781021897810,1370,8,135085.00,1370,100.00,1.00,-0.80
10-April-2019,99.75,99.90,98.85,99.10,99.144495412844036697,4796,26,475497.00,4784,99.75,1.05,-0.65
9-April-2019,98.15,98.80,98.00,98.70,98.202354672553348050,1359,11,133457.00,1222,89.92,0.80,0.55
8-April-2019,104.00,104.00,97.00,97.20,98.356051971734670617,17548,116,1725952.00,11783,67.15,7.00,-6.80
5-April-2019,99.00,99.50,98.20,99.40,98.881355932203389830,1770,44,175020.00,1635,92.37,1.30,0.40
4-April-2019,101.75,101.75,98.90,99.15,100.468864468864468864,1365,25,137140.00,1138,83.37,2.85,-2.60
3-April-2019,101.10,101.10,99.00,99.20,99.685485485485485485,4995,38,497929.00,4664,93.37,2.10,-1.90
2-April-2019,101.00,101.25,99.70,100.90,100.508790436005625879,5688,92,571694.00,2366,41.60,1.55,-0.10
1-April-2019,99.60,103.00,99.60,100.95,100.997890295358649789,3792,58,382984.00,2191,57.78,3.40,1.35
29-March-2019,100.00,100.00,98.45,98.75,99.125210555867490174,1781,33,176542.00,1450,81.41,1.55,-1.25
28-March-2019,97.00,100.90,97.00,99.20,99.997770336446654957,731052,97,73103570.00,728170,99.61,3.90,2.20
27-March-2019,99.25,99.25,96.70,96.70,97.663453111305872042,1141,37,111434.00,880,77.13,2.55,-2.55
26-March-2019,98.80,98.90,97.00,97.55,97.523866827115924588,2493,47,243127.00,1547,62.05,1.90,-1.25
25-March-2019,100.00,100.00,96.45,96.45,98.143163922691481746,5588,73,548424.00,4118,73.69,3.55,-3.55
22-March-2019,100.75,102.00,99.60,99.60,100.691091954022988505,1392,52,140162.00,971,69.76,2.40,-1.15
20-March-2019,103.20,103.20,100.70,100.95,101.268481577094578737,4261,88,431505.00,2392,56.14,2.50,-2.25
19-March-2019,102.10,102.30,101.05,101.65,101.840319361277445109,501,27,51022.00,356,71.06,1.25,-0.45
18-March-2019,103.80,105.30,101.05,101.80,102.661612832344539661,4551,70,467213.00,1575,34.61,4.25,-2.00
15-March-2019,104.50,105.25,101.85,102.35,103.523455119530897609,4434,82,459023.00,1794,40.46,3.40,-2.15
14-March-2019,107.50,109.90,104.00,104.45,105.439163111923623806,24615,407,2595385.00,8904,36.17,5.90,-3.05
13-March-2019,100.50,102.00,99.80,100.10,100.707920792079207920,808,16,81372.00,499,61.76,2.20,-0.40
12-March-2019,101.40,102.00,100.20,100.35,101.179933358015549796,2701,27,273287.00,2400,88.86,1.80,-1.05
11-March-2019,100.05,101.80,99.30,101.20,100.559429477020602218,2524,44,253812.00,2174,86.13,2.50,1.15
8-March-2019,90.00,101.95,90.00,99.40,97.806116560877091748,1733,39,169498.00,1131,65.26,11.95,9.40
7-March-2019,100.00,101.65,95.85,99.40,98.889423076923076923,1872,42,185121.00,963,51.44,5.80,-0.60
6-March-2019,99.60,101.55,99.25,99.75,100.796898702174279453,5933,62,598028.00,4346,73.25,2.30,0.15
5-March-2019,97.50,105.30,97.50,99.30,101.117408385393186062,15527,246,1570050.00,3707,23.87,7.80,1.80
1-March-2019,99.45,99.50,98.85,99.45,99.428571428571428571,287,7,28536.00,276,96.17,0.65,0.00
28-February-2019,98.00,99.50,98.00,98.20,98.215286624203821656,1570,17,154198.00,1510,96.18,1.50,0.20
27-February-2019,97.25,98.85,95.60,97.30,97.591876208897485493,1034,43,100910.00,520,50.29,3.25,0.05
26-February-2019,95.55,97.00,94.35,96.60,95.726133076181292189,1037,25,99268.00,602,58.05,2.65,1.05
25-February-2019,95.35,97.95,95.10,97.00,95.879545454545454545,880,22,84374.00,503,57.16,2.85,1.65
22-February-2019,97.15,97.15,94.35,95.70,96.308294209702660406,639,37,61541.00,455,71.21,2.80,-1.45
21-February-2019,96.50,99.10,95.40,96.50,97.011396011396011396,1053,37,102153.00,731,69.42,3.70,0.00
20-February-2019,99.20,99.45,95.60,96.40,96.734096692111959287,1572,41,152066.00,1332,84.73,3.85,-2.80
