Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,147.50,147.50,147.50,147.50,147.500000000000000000,1000,1,147500.00,1000,100.00,0.00,0.00
24-June-2019,153.50,155.00,153.50,154.50,154.479166666666666666,24000,3,3707500.00,24000,100.00,1.50,1.00
12-June-2019,153.45,153.45,153.45,153.45,153.450000000000000000,13000,2,1994850.00,13000,100.00,0.00,0.00
10-June-2019,151.00,153.00,151.00,153.00,152.692307692307692307,13000,3,1985000.00,13000,100.00,2.00,2.00
4-June-2019,150.00,150.00,150.00,150.00,150.000000000000000000,14000,6,2100000.00,14000,100.00,0.00,0.00
31-May-2019,147.00,150.00,147.00,148.50,148.500000000000000000,2000,2,297000.00,2000,100.00,3.00,1.50
29-May-2019,143.00,146.00,141.00,143.50,143.333333333333333333,3000,3,430000.00,2000,66.67,5.00,0.50
28-May-2019,146.00,146.00,146.00,146.00,146.000000000000000000,25000,3,3650000.00,25000,100.00,0.00,0.00
27-May-2019,140.00,140.00,140.00,140.00,140.000000000000000000,9000,2,1260000.00,9000,100.00,0.00,0.00
21-May-2019,138.00,138.00,138.00,138.00,138.000000000000000000,1000,1,138000.00,1000,100.00,0.00,0.00
20-May-2019,142.00,145.00,142.00,144.50,144.500000000000000000,6000,4,867000.00,6000,100.00,3.00,2.50
16-May-2019,135.00,135.00,135.00,135.00,135.000000000000000000,1000,1,135000.00,1000,100.00,0.00,0.00
6-May-2019,141.00,141.00,141.00,141.00,141.000000000000000000,1000,1,141000.00,1000,100.00,0.00,0.00
22-April-2019,139.50,140.00,135.90,140.00,136.807692307692307692,13000,5,1778500.00,12000,92.31,4.10,0.50
15-April-2019,135.00,140.00,135.00,140.00,135.652173913043478260,23000,22,3120000.00,23000,100.00,5.00,5.00
11-April-2019,138.40,139.00,138.40,139.00,138.610000000000000000,40000,3,5544400.00,40000,100.00,0.60,0.60
8-April-2019,134.00,134.00,134.00,134.00,134.000000000000000000,1000,1,134000.00,1000,100.00,0.00,0.00
4-April-2019,136.00,136.00,134.00,134.00,134.500000000000000000,4000,4,538000.00,4000,100.00,2.00,-2.00
3-April-2019,134.00,134.00,134.00,134.00,134.000000000000000000,1000,1,134000.00,1000,100.00,0.00,0.00
28-March-2019,130.00,130.00,130.00,130.00,130.000000000000000000,2000,2,260000.00,2000,100.00,0.00,0.00
28-February-2019,130.00,130.00,130.00,130.00,130.000000000000000000,1000,1,130000.00,1000,100.00,0.00,0.00
18-February-2019,131.00,131.00,130.00,130.50,130.500000000000000000,5000,4,652500.00,5000,100.00,1.00,-0.50
15-February-2019,131.50,131.50,131.50,131.50,131.500000000000000000,2000,2,263000.00,2000,100.00,0.00,0.00
7-February-2019,135.00,135.00,135.00,135.00,135.000000000000000000,2000,2,270000.00,2000,100.00,0.00,0.00
6-February-2019,131.00,131.00,131.00,131.00,131.000000000000000000,1000,1,131000.00,1000,100.00,0.00,0.00
30-November-2018,131.00,131.00,131.00,131.00,131.000000000000000000,1000,1,131000.00,1000,100.00,0.00,0.00
16-October-2018,135.00,135.00,132.00,132.00,133.500000000000000000,2000,2,267000.00,2000,100.00,3.00,-3.00
3-October-2018,133.00,133.00,133.00,133.00,133.000000000000000000,1000,1,133000.00,1000,100.00,0.00,0.00
24-September-2018,140.00,140.00,135.00,135.00,137.666666666666666666,3000,3,413000.00,3000,100.00,5.00,-5.00
11-September-2018,142.50,142.50,142.50,142.50,142.500000000000000000,1000,1,142500.00,1000,100.00,0.00,0.00
3-September-2018,142.60,142.60,142.60,142.60,142.600000000000000000,1000,1,142600.00,1000,100.00,0.00,0.00
8-August-2018,146.75,146.75,146.75,146.75,146.750000000000000000,1000,1,146750.00,1000,100.00,0.00,0.00
6-August-2018,147.25,147.25,147.25,147.25,147.250000000000000000,1000,1,147250.00,1000,100.00,0.00,0.00
27-July-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
16-July-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
3-July-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
29-June-2018,140.05,140.05,140.00,140.00,140.025000000000000000,2000,2,280050.00,2000,100.00,0.05,-0.05
28-June-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
15-June-2018,145.00,145.00,145.00,145.00,145.000000000000000000,2000,2,290000.00,2000,100.00,0.00,0.00
13-June-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
7-June-2018,145.00,145.00,145.00,145.00,145.000000000000000000,1000,1,145000.00,1000,100.00,0.00,0.00
6-June-2018,141.00,142.00,141.00,141.50,141.500000000000000000,2000,2,283000.00,2000,100.00,1.00,0.50
5-June-2018,138.00,138.00,138.00,138.00,138.000000000000000000,1000,1,138000.00,1000,100.00,0.00,0.00
4-June-2018,138.00,138.00,138.00,138.00,138.000000000000000000,4000,2,552000.00,4000,100.00,0.00,0.00
1-June-2018,141.00,141.00,141.00,141.00,141.000000000000000000,1000,1,141000.00,1000,100.00,0.00,0.00
31-May-2018,140.00,141.00,140.00,141.00,140.461538461538461538,13000,13,1826000.00,7000,53.85,1.00,1.00
30-May-2018,142.00,142.00,140.00,140.00,141.000000000000000000,2000,2,282000.00,2000,100.00,2.00,-2.00
29-May-2018,142.60,142.60,142.00,142.00,142.120000000000000000,5000,3,710600.00,5000,100.00,0.60,-0.60
25-May-2018,145.00,145.00,145.00,145.00,145.000000000000000000,1000,1,145000.00,1000,100.00,0.00,0.00
22-May-2018,141.00,141.00,141.00,141.00,141.000000000000000000,2000,2,282000.00,2000,100.00,0.00,0.00
21-May-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
18-May-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
10-May-2018,140.00,140.00,140.00,140.00,140.000000000000000000,1000,1,140000.00,1000,100.00,0.00,0.00
20-April-2018,140.00,142.00,140.00,142.00,141.000000000000000000,2000,2,282000.00,1000,50.00,2.00,2.00
9-April-2018,137.00,137.00,137.00,137.00,137.000000000000000000,1000,1,137000.00,1000,100.00,0.00,0.00
4-April-2018,132.00,132.00,132.00,132.00,132.000000000000000000,41000,3,5412000.00,41000,100.00,0.00,0.00
28-March-2018,132.00,132.00,132.00,132.00,132.000000000000000000,2000,2,264000.00,2000,100.00,0.00,0.00
23-March-2018,132.00,132.00,132.00,132.00,132.000000000000000000,1000,1,132000.00,1000,100.00,0.00,0.00
22-March-2018,132.50,132.50,132.50,132.50,132.500000000000000000,104000,2,13780000.00,104000,100.00,0.00,0.00
21-March-2018,134.10,134.10,134.10,134.10,134.100000000000000000,1000,1,134100.00,1000,100.00,0.00,0.00
14-March-2018,134.00,134.00,134.00,134.00,134.000000000000000000,1000,1,134000.00,1000,100.00,0.00,0.00
5-March-2018,135.00,135.00,135.00,135.00,135.000000000000000000,1000,1,135000.00,1000,100.00,0.00,0.00
1-March-2018,135.00,135.00,135.00,135.00,135.000000000000000000,14000,1,1890000.00,14000,100.00,0.00,0.00
27-February-2018,135.00,135.00,135.00,135.00,135.000000000000000000,15000,1,2025000.00,15000,100.00,0.00,0.00
23-February-2018,134.65,134.65,134.65,134.65,134.650000000000000000,18000,2,2423700.00,18000,100.00,0.00,0.00
22-February-2018,134.25,135.00,134.25,135.00,134.395161290322580645,31000,3,4166250.00,31000,100.00,0.75,0.75
21-February-2018,134.55,135.00,134.55,135.00,134.775000000000000000,60000,4,8086500.00,30000,50.00,0.45,0.45
19-February-2018,136.00,136.00,136.00,136.00,136.000000000000000000,1000,1,136000.00,1000,100.00,0.00,0.00
15-February-2018,136.05,136.05,136.05,136.05,136.050000000000000000,15000,1,2040750.00,15000,100.00,0.00,0.00
14-February-2018,140.00,140.00,140.00,140.00,140.000000000000000000,9000,1,1260000.00,9000,100.00,0.00,0.00
8-February-2018,143.00,143.00,141.00,141.00,142.000000000000000000,2000,2,284000.00,1000,50.00,2.00,-2.00
6-February-2018,140.25,140.25,140.25,140.25,140.250000000000000000,1000,1,140250.00,1000,100.00,0.00,0.00
5-February-2018,140.75,143.00,140.75,143.00,141.916666666666666666,3000,3,425750.00,2000,66.67,2.25,2.25
2-February-2018,152.05,152.05,143.00,143.00,147.450000000000000000,3000,3,442350.00,3000,100.00,9.05,-9.05
1-February-2018,157.00,157.00,157.00,157.00,157.000000000000000000,1000,1,157000.00,1000,100.00,0.00,0.00
31-January-2018,157.00,157.00,157.00,157.00,157.000000000000000000,2000,2,314000.00,2000,100.00,0.00,0.00
25-January-2018,164.95,164.95,164.95,164.95,164.950000000000000000,1000,1,164950.00,1000,100.00,0.00,0.00
19-January-2018,161.55,161.55,161.55,161.55,161.550000000000000000,1000,1,161550.00,1000,100.00,0.00,0.00
18-January-2018,166.00,166.00,166.00,166.00,166.000000000000000000,1000,1,166000.00,1000,100.00,0.00,0.00
17-January-2018,166.50,166.50,166.50,166.50,166.500000000000000000,1000,1,166500.00,1000,100.00,0.00,0.00
15-January-2018,166.55,166.55,166.55,166.55,166.550000000000000000,1000,1,166550.00,1000,100.00,0.00,0.00
12-January-2018,171.10,171.10,171.10,171.10,171.100000000000000000,1000,1,171100.00,1000,100.00,0.00,0.00
10-January-2018,175.00,175.00,175.00,175.00,175.000000000000000000,1000,1,175000.00,1000,100.00,0.00,0.00
9-January-2018,176.00,176.00,175.00,175.00,175.500000000000000000,2000,2,351000.00,2000,100.00,1.00,-1.00
8-January-2018,167.00,180.00,167.00,180.00,173.666666666666666666,6000,6,1042000.00,6000,100.00,13.00,13.00
4-January-2018,166.50,166.50,161.55,165.00,164.350000000000000000,3000,3,493050.00,2000,66.67,4.95,-1.50
3-January-2018,170.00,170.00,170.00,170.00,170.000000000000000000,1000,1,170000.00,1000,100.00,0.00,0.00
1-January-2018,169.35,169.35,169.35,169.35,169.350000000000000000,1000,1,169350.00,1000,100.00,0.00,0.00
29-December-2017,165.00,165.00,165.00,165.00,165.000000000000000000,2000,2,330000.00,2000,100.00,0.00,0.00
26-December-2017,164.50,164.50,164.50,164.50,164.500000000000000000,1000,1,164500.00,1000,100.00,0.00,0.00
22-December-2017,165.00,170.00,157.10,164.95,161.781034482758620689,29000,10,4691650.00,15000,51.72,12.90,-0.05
