Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-March-2019,5.32,5.32,5.32,5.32,5.311111111111111111,90,1,478.00,90,100.00,0.00,0.00
8-March-2019,5.60,5.60,5.60,5.60,5.600000000000000000,10,1,56.00,10,100.00,0.00,0.00
19-October-2018,5.60,5.60,5.60,5.60,5.600000000000000000,100,1,560.00,100,100.00,0.00,0.00
27-December-2017,5.89,5.89,5.89,5.89,5.890000000000000000,500,3,2945.00,500,100.00,0.00,0.00
12-January-2017,5.61,5.61,5.61,5.61,5.610000000000000000,100,1,561.00,100,100.00,0.00,0.00
25-October-2016,5.35,5.35,5.35,5.35,5.350000000000000000,2000,2,10700.00,2000,100.00,0.00,0.00
14-September-2016,5.10,5.10,5.10,5.10,5.100000000000000000,1000,1,5100.00,1000,100.00,0.00,0.00
9-September-2016,4.86,4.86,4.86,4.86,4.860000000000000000,100,1,486.00,100,100.00,0.00,0.00
25-September-2014,4.63,4.63,4.63,4.63,4.630000000000000000,14900,12,68987.00,14900,100.00,0.00,0.00
6-June-2014,4.41,4.41,4.41,4.41,4.410000000000000000,500,2,2205.00,500,100.00,0.00,0.00
26-May-2014,4.20,4.20,4.20,4.20,4.200000000000000000,20,2,84.00,20,100.00,0.00,0.00
7-November-2012,4.00,4.00,4.00,4.00,4.000000000000000000,100,1,400.00,100,100.00,0.00,0.00
12-August-1997,14.00,14.00,14.00,14.00,14.000000000000000000,200,1,2800.00,,,0.00,0.00
8-April-1996,13.00,13.00,13.00,13.00,13.000000000000000000,200,1,2600.00,,,0.00,0.00
14-May-1991,10.25,10.25,10.25,10.25,0.000000000000000000,0,0,0.00,,,0.00,0.00
8-May-1991,10.25,10.25,10.25,10.25,0.000000000000000000,0,0,0.00,,,0.00,0.00
12-April-1991,10.00,10.00,10.00,10.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
27-March-1991,10.00,10.00,10.00,10.00,0.000000000000000000,0,0,0.00,,,0.00,0.00
