Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,671.50,671.50,645.00,645.50,656.503092783505154639,485,110,318404.00,290,59.79,26.50,-26.00
28-June-2019,652.45,663.55,647.00,661.00,657.266627427898763978,1699,112,1116696.00,612,36.02,16.55,8.55
27-June-2019,639.90,663.80,633.95,648.40,647.678786221979223619,3658,288,2369209.00,2007,54.87,29.85,8.50
26-June-2019,630.55,635.95,623.00,628.25,626.782051282051282051,624,70,391112.00,339,54.33,12.95,-2.30
25-June-2019,620.70,628.80,620.00,625.25,623.806306306306306306,666,54,415455.00,445,66.82,8.80,4.55
24-June-2019,616.45,629.75,607.05,623.25,624.574022346368715083,716,100,447195.00,279,38.97,22.70,6.80
21-June-2019,632.05,632.05,614.50,617.60,620.497576736672051696,619,80,384088.00,417,67.37,17.55,-14.45
20-June-2019,639.00,643.00,625.10,639.20,636.105121293800539083,371,74,235995.00,276,74.39,17.90,0.20
19-June-2019,641.50,641.50,630.00,630.55,630.724809483488569009,1181,55,744886.00,1000,84.67,11.50,-10.95
18-June-2019,639.00,640.00,627.15,633.50,631.594309799789251844,949,98,599383.00,590,62.17,12.85,-5.50
17-June-2019,637.95,645.00,615.10,638.40,638.153759820426487093,891,149,568595.00,554,62.18,29.90,0.45
14-June-2019,655.00,655.80,634.00,647.95,645.977611940298507462,2412,204,1558098.00,1441,59.74,21.80,-7.05
13-June-2019,666.90,667.40,652.40,661.05,662.815126050420168067,119,49,78875.00,53,44.54,15.00,-5.85
12-June-2019,666.20,685.45,660.10,663.20,666.578629032258064516,992,114,661246.00,456,45.97,25.35,-3.00
11-June-2019,664.00,672.90,658.60,671.95,667.212121212121212121,363,61,242198.00,226,62.26,14.30,7.95
10-June-2019,670.00,670.00,663.50,666.35,666.292947558770343580,553,72,368460.00,336,60.76,6.50,-3.65
7-June-2019,688.00,693.30,673.40,675.05,677.472172351885098743,557,90,377352.00,276,49.55,19.90,-12.95
6-June-2019,682.00,687.90,678.50,686.75,681.709039548022598870,1416,118,965300.00,864,61.02,9.40,4.75
4-June-2019,685.05,691.20,679.00,680.90,680.778571428571428571,840,93,571854.00,553,65.83,12.20,-4.15
3-June-2019,706.10,706.10,679.85,690.10,695.059866962305986696,902,136,626944.00,588,65.19,26.25,-16.00
31-May-2019,693.35,710.70,672.00,706.70,692.754768392370572207,1835,129,1271205.00,975,53.13,38.70,13.35
30-May-2019,687.30,696.80,673.25,694.60,684.422256097560975609,656,83,448981.00,436,66.46,23.55,7.30
29-May-2019,686.00,686.00,674.00,677.15,678.848484848484848484,198,41,134412.00,110,55.56,12.00,-8.85
28-May-2019,691.50,692.80,670.05,675.40,682.261473684210526315,2375,192,1620371.00,1368,57.60,22.75,-16.10
27-May-2019,681.00,709.50,681.00,691.20,702.997648902821316614,1276,113,897025.00,837,65.60,28.50,10.20
24-May-2019,646.20,679.95,646.20,667.65,663.197963800904977375,884,140,586267.00,572,64.71,33.75,21.45
23-May-2019,672.95,672.95,632.15,640.60,645.742741180143615360,3203,171,2068314.00,2414,75.37,40.80,-32.35
22-May-2019,657.00,658.90,635.00,646.95,647.171328671328671328,1144,141,740364.00,576,50.35,23.90,-10.05
21-May-2019,670.10,680.00,621.35,654.10,648.801828571428571428,4375,459,2838508.00,2038,46.58,58.65,-16.00
20-May-2019,630.00,668.25,630.00,662.00,653.824112303881090008,1211,99,791781.00,694,57.31,38.25,32.00
17-May-2019,629.80,645.00,610.55,642.50,629.808853118712273641,1491,153,939045.00,793,53.19,34.45,12.70
16-May-2019,623.35,644.90,610.00,629.80,634.403490759753593429,974,129,617909.00,478,49.08,34.90,6.45
15-May-2019,611.85,628.15,602.75,625.45,616.495192307692307692,208,46,128231.00,67,32.21,25.40,13.60
14-May-2019,617.00,624.00,589.00,609.10,598.749307905259920024,3251,453,1946534.00,1113,34.24,35.00,-7.90
13-May-2019,607.90,626.05,607.90,615.95,623.153726708074534161,1288,130,802622.00,1109,86.10,18.15,8.05
10-May-2019,628.50,628.50,609.00,613.15,615.557904411764705882,1088,124,669727.00,658,60.48,19.50,-15.35
9-May-2019,630.00,639.35,623.75,630.45,629.438705234159779614,1452,179,913945.00,983,67.70,15.60,0.45
8-May-2019,635.10,648.40,626.25,638.85,635.219806763285024154,414,81,262981.00,224,54.11,22.15,3.75
7-May-2019,645.00,649.45,638.00,639.95,640.364471669218989280,2612,139,1672632.00,2284,87.44,11.45,-5.05
6-May-2019,658.00,658.00,647.00,649.20,650.104554201411161000,1559,137,1013513.00,1107,71.01,11.00,-8.80
3-May-2019,655.15,679.00,655.00,666.85,665.529411764705882352,374,51,248908.00,180,48.13,24.00,11.70
2-May-2019,690.00,690.00,660.10,662.00,666.057803468208092485,346,36,230456.00,163,47.11,29.90,-28.00
30-April-2019,668.20,685.00,652.85,678.95,672.330849478390461997,671,99,451134.00,332,49.48,32.15,10.75
26-April-2019,672.70,677.85,667.55,673.50,675.100000000000000000,100,16,67510.00,43,43.00,10.30,0.80
25-April-2019,690.50,723.00,674.30,680.55,702.492440604751619870,926,146,650508.00,365,39.42,48.70,-9.95
24-April-2019,684.00,689.25,682.75,687.75,685.100000000000000000,70,18,47957.00,54,77.14,6.50,3.75
23-April-2019,640.00,681.90,640.00,679.65,672.162291169451073985,419,65,281636.00,191,45.58,41.90,39.65
22-April-2019,672.00,673.10,646.00,652.55,657.856894301870378425,2299,276,1512413.00,1451,63.11,27.10,-19.45
18-April-2019,698.30,702.40,672.50,675.70,681.769626769626769626,777,115,529735.00,310,39.90,29.90,-22.60
16-April-2019,701.10,701.95,689.05,696.90,693.964547677261613691,818,62,567663.00,461,56.36,12.90,-4.20
15-April-2019,702.75,705.10,695.70,697.70,700.062639821029082774,894,141,625856.00,518,57.94,9.40,-5.05
12-April-2019,710.00,712.00,701.80,705.60,705.443337484433374844,803,49,566471.00,388,48.32,10.20,-4.40
11-April-2019,716.10,716.10,706.00,710.75,710.674050632911392405,316,34,224573.00,220,69.62,10.10,-5.35
10-April-2019,712.00,723.30,705.50,718.85,713.392156862745098039,204,39,145532.00,128,62.74,17.80,6.85
9-April-2019,717.00,731.60,709.25,711.40,718.785867237687366167,467,73,335673.00,193,41.33,22.35,-5.60
8-April-2019,726.55,726.55,710.50,710.95,717.273437500000000000,128,33,91811.00,58,45.31,16.05,-15.60
5-April-2019,724.40,730.00,718.60,727.35,725.274047186932849364,551,93,399626.00,296,53.72,11.40,2.95
4-April-2019,714.95,714.95,705.00,707.15,708.688657407407407407,864,116,612307.00,521,60.30,9.95,-7.80
3-April-2019,734.00,734.00,708.95,709.90,713.702627939142461964,723,85,516007.00,529,73.17,25.05,-24.10
2-April-2019,713.00,730.00,710.20,725.75,719.421052631578947368,722,91,519422.00,251,34.76,19.80,12.75
1-April-2019,750.00,750.00,710.15,719.65,731.798367346938775510,1225,156,896453.00,617,50.37,39.85,-30.35
29-March-2019,734.00,755.15,720.00,734.25,732.782503037667071688,3292,311,2412320.00,1474,44.78,35.15,0.25
28-March-2019,732.05,749.00,730.00,735.20,734.168276424976193715,7351,226,5396871.00,4358,59.28,19.00,3.15
27-March-2019,719.15,748.65,710.00,739.25,725.256487239974265494,4663,240,3381871.00,3045,65.30,38.65,20.10
26-March-2019,732.30,733.10,718.30,729.15,727.084239130434782608,368,37,267567.00,240,65.22,14.80,-3.15
25-March-2019,730.00,730.65,723.70,728.30,727.529088050314465408,1272,153,925417.00,794,62.42,6.95,-1.70
22-March-2019,712.00,736.40,712.00,730.80,728.929116684841875681,917,103,668428.00,497,54.20,24.40,18.80
20-March-2019,705.00,718.00,702.00,712.80,708.519813519813519813,429,67,303955.00,236,55.01,16.00,7.80
19-March-2019,721.85,721.85,695.25,703.05,709.488986784140969162,454,73,322108.00,236,51.98,26.60,-18.80
18-March-2019,720.10,738.00,720.10,726.45,728.116141732283464566,2032,143,1479532.00,1069,52.61,17.90,6.35
15-March-2019,739.90,739.90,720.10,723.85,727.597872340425531914,470,67,341971.00,250,53.19,19.80,-16.05
14-March-2019,740.50,748.00,703.15,743.75,721.946671856753600622,2569,314,1854681.00,1192,46.40,44.85,3.25
13-March-2019,731.75,766.20,723.15,738.35,744.253523434939364142,6102,396,4541435.00,3191,52.29,43.05,6.60
12-March-2019,696.30,740.00,690.05,732.75,723.402476780185758513,3876,302,2803908.00,1793,46.26,49.95,36.45
11-March-2019,704.00,704.00,692.45,696.05,698.017321504013519222,2367,177,1652207.00,1181,49.89,11.55,-7.95
8-March-2019,743.00,744.00,696.65,706.20,712.200000000000000000,5655,645,4027491.00,2510,44.39,47.35,-36.80
7-March-2019,675.05,750.00,675.05,744.05,725.804352533564313555,18472,1345,13407058.00,9362,50.68,74.95,69.00
6-March-2019,665.00,691.95,662.40,687.65,679.788942307692307692,2080,178,1413961.00,1611,77.45,29.55,22.65
5-March-2019,648.10,670.15,642.55,654.55,656.506110937010341585,3191,321,2094911.00,1380,43.25,27.60,6.45
1-March-2019,641.90,653.85,635.00,648.55,647.449579831932773109,476,59,308186.00,412,86.55,18.85,6.65
28-February-2019,635.70,644.95,635.70,644.55,642.505422993492407809,461,29,296195.00,295,63.99,9.25,8.85
27-February-2019,636.00,645.00,625.10,631.70,633.583094555873925501,698,79,442241.00,436,62.46,19.90,-4.30
26-February-2019,620.00,640.35,618.55,630.85,627.272380952380952380,525,66,329318.00,368,70.10,21.80,10.85
25-February-2019,625.80,632.00,615.10,629.00,624.531702898550724637,1104,80,689483.00,769,69.66,16.90,3.20
22-February-2019,618.15,625.65,616.00,623.55,620.138121546961325966,181,22,112245.00,92,50.83,9.65,5.40
21-February-2019,623.00,623.60,618.05,620.05,619.284615384615384615,390,32,241521.00,312,80.00,5.55,-2.95
20-February-2019,620.15,625.00,620.00,622.05,622.382550335570469798,149,18,92735.00,115,77.18,5.00,1.90
19-February-2019,620.65,626.15,618.10,622.50,621.605194805194805194,385,45,239318.00,213,55.32,8.05,1.85
18-February-2019,616.90,624.95,616.75,620.70,619.357664233576642335,685,46,424260.00,407,59.42,8.20,3.80
15-February-2019,617.75,623.25,614.35,618.00,619.319783197831978319,369,29,228529.00,244,66.12,8.90,0.25
14-February-2019,617.45,620.45,614.30,620.15,617.059701492537313432,134,16,82686.00,74,55.22,6.15,2.70
13-February-2019,623.00,624.00,615.00,619.25,618.428035043804755944,799,51,494124.00,459,57.45,9.00,-3.75
12-February-2019,615.00,623.00,605.10,615.20,616.847971642378889326,2539,129,1566177.00,1840,72.47,17.90,0.20
11-February-2019,614.00,624.40,605.10,611.00,613.619718309859154929,284,28,174268.00,98,34.51,19.30,-3.00
8-February-2019,620.00,620.00,620.00,620.00,620.000000000000000000,4,1,2480.00,4,100.00,0.00,0.00
7-February-2019,620.00,629.90,620.00,625.50,620.838983050847457627,236,16,146518.00,222,94.07,9.90,5.50
6-February-2019,606.70,609.05,600.10,606.65,603.390070921985815602,282,28,170156.00,231,81.91,8.95,-0.05
5-February-2019,615.25,619.00,610.10,616.50,615.516209476309226932,802,66,493644.00,639,79.68,8.90,1.25
4-February-2019,614.15,634.90,614.15,624.10,621.741176470588235294,340,70,211392.00,226,66.47,20.75,9.95
1-February-2019,610.00,619.25,610.00,614.30,613.081730769230769230,208,24,127521.00,153,73.56,9.25,4.30
31-January-2019,612.40,617.05,610.65,613.75,613.694805194805194805,154,14,94509.00,49,31.82,6.40,1.35
30-January-2019,608.70,619.90,603.00,610.20,609.293650793650793650,378,50,230313.00,278,73.54,16.90,1.50
29-January-2019,604.35,615.00,601.50,603.25,608.520737327188940092,434,55,264098.00,239,55.07,13.50,-1.10
28-January-2019,598.40,613.10,595.10,601.85,602.483516483516483516,455,75,274130.00,208,45.71,18.00,3.45
25-January-2019,628.95,628.95,584.85,598.70,608.866537717601547388,517,71,314784.00,222,42.94,44.10,-30.25
24-January-2019,623.00,629.25,617.20,624.30,622.709273182957393483,399,59,248461.00,163,40.85,12.05,1.30
