Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,89.30,89.30,89.30,89.30,89.300000000000000000,50,1,4465.00,50,100.00,0.00,0.00
26-June-2019,85.05,85.05,85.05,85.05,85.040000000000000000,25,1,2126.00,25,100.00,0.00,0.00
25-June-2019,81.00,81.00,81.00,81.00,81.000000000000000000,50,2,4050.00,50,100.00,0.00,0.00
24-June-2019,77.15,77.15,77.15,77.15,77.150000000000000000,60,1,4629.00,60,100.00,0.00,0.00
21-June-2019,73.50,73.50,73.50,73.50,73.500000000000000000,80,3,5880.00,80,100.00,0.00,0.00
7-January-2019,70.00,70.00,70.00,70.00,70.000000000000000000,25,1,1750.00,25,100.00,0.00,0.00
16-November-2018,71.65,71.65,71.65,71.65,71.640000000000000000,50,2,3582.00,50,100.00,0.00,0.00
15-November-2018,68.25,68.25,68.25,68.25,68.240000000000000000,25,1,1706.00,25,100.00,0.00,0.00
3-September-2018,65.00,65.00,65.00,65.00,65.000000000000000000,10,1,650.00,10,100.00,0.00,0.00
3-August-2018,61.95,61.95,61.95,61.95,61.800000000000000000,5,1,309.00,5,100.00,0.00,0.00
28-June-2018,59.00,59.00,59.00,59.00,59.000000000000000000,100,1,5900.00,100,100.00,0.00,0.00
14-May-2018,56.35,56.35,56.35,56.35,56.000000000000000000,1,1,56.00,1,100.00,0.00,0.00
24-April-2018,59.30,59.30,59.30,59.30,59.285714285714285714,14,1,830.00,14,100.00,0.00,0.00
6-April-2018,61.20,61.20,61.20,61.20,61.191919191919191919,99,1,6058.00,99,100.00,0.00,0.00
20-March-2018,63.75,63.75,63.75,63.75,63.666666666666666666,3,1,191.00,3,100.00,0.00,0.00
9-March-2018,63.65,63.65,63.65,63.65,63.600000000000000000,10,1,636.00,10,100.00,0.00,0.00
14-February-2018,64.50,64.50,64.50,64.50,64.500000000000000000,50,1,3225.00,50,100.00,0.00,0.00
8-February-2018,67.70,67.70,67.70,67.70,67.700000000000000000,100,1,6770.00,100,100.00,0.00,0.00
19-January-2018,71.25,71.25,71.25,71.25,71.240000000000000000,50,1,3562.00,50,100.00,0.00,0.00
5-January-2018,67.90,67.90,67.90,67.90,67.900000000000000000,100,2,6790.00,100,100.00,0.00,0.00
14-November-2017,64.70,64.70,64.70,64.70,64.700000000000000000,50,1,3235.00,50,100.00,0.00,0.00
10-November-2017,67.10,67.20,67.10,67.20,67.150000000000000000,100,2,6715.00,100,100.00,0.10,0.10
2-November-2017,70.20,70.20,70.20,70.20,70.200000000000000000,100,1,7020.00,100,100.00,0.00,0.00
11-September-2017,73.85,73.85,73.85,73.85,73.800000000000000000,5,1,369.00,5,100.00,0.00,0.00
