Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2019,1.26,1.26,1.26,1.26,1.260000000000000000,1500,4,1890.00,1500,100.00,0.00,0.00
28-June-2019,1.38,1.38,1.32,1.32,1.350000000000000000,200,2,270.00,200,100.00,0.06,-0.06
27-June-2019,1.38,1.38,1.38,1.38,1.380000000000000000,2100,2,2898.00,2100,100.00,0.00,0.00
25-June-2019,1.38,1.38,1.38,1.38,1.307692307692307692,13,2,17.00,13,100.00,0.00,0.00
24-June-2019,1.38,1.38,1.38,1.38,1.378260869565217391,460,3,634.00,460,100.00,0.00,0.00
21-June-2019,1.45,1.45,1.45,1.45,1.440000000000000000,25,1,36.00,25,100.00,0.00,0.00
20-June-2019,1.50,1.50,1.50,1.50,1.499504459861248761,1009,3,1513.00,1009,100.00,0.00,0.00
18-June-2019,1.57,1.57,1.50,1.50,1.506363636363636363,1100,3,1657.00,1100,100.00,0.07,-0.07
17-June-2019,1.57,1.57,1.57,1.57,1.550000000000000000,20,1,31.00,20,100.00,0.00,0.00
14-June-2019,1.57,1.57,1.57,1.57,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
13-June-2019,1.60,1.60,1.57,1.57,1.573813708260105448,1138,9,1791.00,1138,100.00,0.03,-0.03
12-June-2019,1.65,1.65,1.65,1.65,1.650000000000000000,1100,3,1815.00,1100,100.00,0.00,0.00
11-June-2019,1.65,1.65,1.65,1.65,1.650000000000000000,100,1,165.00,100,100.00,0.00,0.00
10-June-2019,1.70,1.70,1.65,1.65,1.698019801980198019,202,2,343.00,202,100.00,0.05,-0.05
7-June-2019,1.65,1.65,1.65,1.65,1.500000000000000000,2,2,3.00,2,100.00,0.00,0.00
4-June-2019,1.70,1.70,1.70,1.70,1.700000000000000000,300,3,510.00,300,100.00,0.00,0.00
3-June-2019,1.70,1.70,1.70,1.70,1.700000000000000000,100,2,170.00,100,100.00,0.00,0.00
31-May-2019,1.70,1.70,1.67,1.70,1.698857142857142857,1750,7,2973.00,1750,100.00,0.03,0.00
28-May-2019,1.75,1.75,1.75,1.75,1.750000000000000000,880,5,1540.00,880,100.00,0.00,0.00
27-May-2019,1.77,1.77,1.77,1.77,1.770000000000000000,1100,4,1947.00,1100,100.00,0.00,0.00
24-May-2019,1.77,1.77,1.77,1.77,1.766666666666666666,150,3,265.00,150,100.00,0.00,0.00
23-May-2019,1.78,1.78,1.78,1.78,1.775000000000000000,40,2,71.00,40,100.00,0.00,0.00
21-May-2019,1.90,1.90,1.87,1.87,1.866666666666666666,30,2,56.00,30,100.00,0.03,-0.03
20-May-2019,1.87,1.87,1.87,1.87,1.666666666666666666,3,1,5.00,3,100.00,0.00,0.00
14-May-2019,1.97,1.97,1.96,1.96,1.955223880597014925,201,2,393.00,201,100.00,0.01,-0.01
10-May-2019,1.97,1.97,1.97,1.97,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
9-May-2019,1.98,1.98,1.98,1.98,1.960784313725490196,51,3,100.00,51,100.00,0.00,0.00
8-May-2019,1.98,1.98,1.98,1.98,1.978912319644839067,901,4,1783.00,901,100.00,0.00,0.00
6-May-2019,2.08,2.08,2.08,2.08,2.066666666666666666,60,2,124.00,60,100.00,0.00,0.00
2-May-2019,1.99,2.08,1.99,2.08,2.019354838709677419,310,5,626.00,310,100.00,0.09,0.09
30-April-2019,2.09,2.09,2.09,2.09,2.045454545454545454,22,2,45.00,22,100.00,0.00,0.00
26-April-2019,2.09,2.09,2.09,2.09,2.088000000000000000,125,3,261.00,125,100.00,0.00,0.00
25-April-2019,2.09,2.09,2.09,2.09,2.075471698113207547,53,3,110.00,53,100.00,0.00,0.00
23-April-2019,2.20,2.20,2.20,2.20,2.000000000000000000,2,1,4.00,2,100.00,0.00,0.00
22-April-2019,2.20,2.20,2.09,2.20,2.189511517725861787,6121,7,13402.00,6121,100.00,0.11,0.00
18-April-2019,2.20,2.20,2.20,2.20,2.200000000000000000,5,1,11.00,5,100.00,0.00,0.00
11-April-2019,2.24,2.24,2.13,2.20,2.212000000000000000,250,8,553.00,250,100.00,0.11,-0.04
10-April-2019,2.24,2.24,2.24,2.24,2.240000000000000000,400,5,896.00,400,100.00,0.00,0.00
9-April-2019,2.35,2.35,2.24,2.24,2.280952380952380952,210,3,479.00,210,100.00,0.11,-0.11
8-April-2019,2.35,2.35,2.32,2.35,2.345982142857142857,896,5,2102.00,896,100.00,0.03,0.00
5-April-2019,2.38,2.38,2.38,2.38,2.375000000000000000,104,2,247.00,104,100.00,0.00,0.00
4-April-2019,2.38,2.38,2.38,2.38,2.200000000000000000,5,2,11.00,5,100.00,0.00,0.00
3-April-2019,2.38,2.38,2.38,2.38,2.379166666666666666,240,1,571.00,240,100.00,0.00,0.00
