Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-April-2019,13.50,13.80,13.50,13.80,13.740000000000000000,50000,3,687000.00,50000,100.00,0.30,0.30
10-April-2019,13.90,14.00,13.90,13.90,13.933333333333333333,60000,3,836000.00,60000,100.00,0.10,0.00
10-December-2018,10.30,15.30,10.30,15.30,12.800000000000000000,20000,2,256000.00,0,0.00,5.00,5.00
12-September-2018,12.69,13.00,12.69,12.80,12.830000000000000000,30000,3,384900.00,0,0.00,0.31,0.11
11-September-2018,12.65,13.25,12.65,12.80,12.900000000000000000,30000,3,387000.00,0,0.00,0.60,0.15
10-September-2018,12.75,12.80,12.75,12.75,12.766666666666666666,30000,3,383000.00,0,0.00,0.05,0.00
7-September-2018,12.70,12.75,12.70,12.75,12.725000000000000000,20000,2,254500.00,0,0.00,0.05,0.05
6-September-2018,12.80,12.85,12.70,12.70,12.783333333333333333,30000,3,383500.00,0,0.00,0.15,-0.10
5-September-2018,12.85,12.85,12.75,12.75,12.800000000000000000,30000,3,384000.00,0,0.00,0.10,-0.10
4-September-2018,12.85,12.85,12.75,12.80,12.800000000000000000,30000,3,384000.00,0,0.00,0.10,-0.05
3-September-2018,12.70,12.75,12.70,12.75,12.725000000000000000,40000,4,509000.00,0,0.00,0.05,0.05
31-August-2018,12.60,12.65,12.60,12.65,12.625000000000000000,20000,2,252500.00,0,0.00,0.05,0.05
18-July-2018,12.55,12.55,12.50,12.50,12.525000000000000000,20000,2,250500.00,20000,100.00,0.05,-0.05
5-July-2018,12.50,12.50,12.50,12.50,12.500000000000000000,10000,1,125000.00,10000,100.00,0.00,0.00
25-June-2018,12.60,12.60,12.60,12.60,12.600000000000000000,10000,1,126000.00,10000,100.00,0.00,0.00
22-June-2018,12.60,12.60,12.60,12.60,12.600000000000000000,10000,1,126000.00,10000,100.00,0.00,0.00
21-June-2018,12.80,12.80,12.80,12.80,12.800000000000000000,20000,2,256000.00,20000,100.00,0.00,0.00
20-June-2018,12.60,12.60,12.60,12.60,12.600000000000000000,30000,3,378000.00,30000,100.00,0.00,0.00
19-June-2018,12.60,12.60,12.60,12.60,12.600000000000000000,20000,2,252000.00,20000,100.00,0.00,0.00
15-June-2018,12.75,12.75,12.75,12.75,12.750000000000000000,10000,1,127500.00,10000,100.00,0.00,0.00
14-June-2018,12.95,12.95,12.95,12.95,12.950000000000000000,40000,4,518000.00,40000,100.00,0.00,0.00
13-June-2018,13.00,13.00,13.00,13.00,13.000000000000000000,10000,1,130000.00,10000,100.00,0.00,0.00
12-June-2018,13.00,13.00,13.00,13.00,13.000000000000000000,10000,1,130000.00,10000,100.00,0.00,0.00
23-May-2018,15.00,15.05,15.00,15.05,15.025000000000000000,20000,2,300500.00,0,0.00,0.05,0.05
21-May-2018,15.00,15.00,15.00,15.00,15.000000000000000000,10000,1,150000.00,10000,100.00,0.00,0.00
11-May-2018,14.60,14.60,14.60,14.60,14.600000000000000000,10000,1,146000.00,10000,100.00,0.00,0.00
8-May-2018,15.00,15.00,15.00,15.00,15.000000000000000000,10000,1,150000.00,10000,100.00,0.00,0.00
25-April-2018,13.70,14.00,13.70,14.00,13.900000000000000000,30000,2,417000.00,30000,100.00,0.30,0.30
2-February-2018,13.70,13.70,13.70,13.70,13.700000000000000000,10000,1,137000.00,10000,100.00,0.00,0.00
28-December-2017,14.00,14.00,14.00,14.00,14.000000000000000000,40000,4,560000.00,40000,100.00,0.00,0.00
16-November-2017,14.00,14.00,14.00,14.00,14.000000000000000000,20000,2,280000.00,20000,100.00,0.00,0.00
15-November-2017,13.70,13.70,13.70,13.70,13.700000000000000000,20000,2,274000.00,20000,100.00,0.00,0.00
14-November-2017,14.60,14.60,13.60,13.60,13.966666666666666666,30000,3,419000.00,30000,100.00,1.00,-1.00
10-November-2017,16.00,16.00,16.00,16.00,16.000000000000000000,20000,2,320000.00,20000,100.00,0.00,0.00
24-October-2017,17.30,17.30,17.30,17.30,17.300000000000000000,10000,1,173000.00,10000,100.00,0.00,0.00
18-October-2017,16.00,16.00,16.00,16.00,16.000000000000000000,40000,4,640000.00,30000,75.00,0.00,0.00
12-October-2017,18.20,18.20,18.20,18.20,18.200000000000000000,20000,2,364000.00,20000,100.00,0.00,0.00
19-September-2017,15.20,15.20,15.20,15.20,15.200000000000000000,10000,1,152000.00,10000,100.00,0.00,0.00
6-September-2017,13.90,13.90,13.90,13.90,13.900000000000000000,10000,1,139000.00,10000,100.00,0.00,0.00
4-May-2017,15.00,15.00,15.00,15.00,15.000000000000000000,10000,1,150000.00,10000,100.00,0.00,0.00
27-April-2017,15.00,15.00,15.00,15.00,15.000000000000000000,10000,1,150000.00,10000,100.00,0.00,0.00
1-March-2017,16.45,16.45,16.45,16.45,16.450000000000000000,10000,1,164500.00,10000,100.00,0.00,0.00
4-January-2017,16.40,16.40,16.40,16.40,16.400000000000000000,10000,1,164000.00,10000,100.00,0.00,0.00
30-December-2016,16.40,16.40,16.40,16.40,16.400000000000000000,20000,2,328000.00,20000,100.00,0.00,0.00
29-December-2016,16.45,16.45,16.45,16.45,16.450000000000000000,10000,1,164500.00,10000,100.00,0.00,0.00
28-December-2016,16.40,16.40,16.40,16.40,16.400000000000000000,10000,1,164000.00,10000,100.00,0.00,0.00
27-December-2016,16.45,16.45,16.45,16.45,16.450000000000000000,10000,1,164500.00,10000,100.00,0.00,0.00
26-December-2016,16.45,16.45,16.45,16.45,16.450000000000000000,20000,2,329000.00,20000,100.00,0.00,0.00
22-December-2016,16.45,16.45,16.45,16.45,16.450000000000000000,20000,2,329000.00,20000,100.00,0.00,0.00
20-December-2016,16.45,16.45,16.45,16.45,16.450000000000000000,10000,1,164500.00,10000,100.00,0.00,0.00
