Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500134,ESSAROIL,ESSAR OIL LTD.,Delisted,A,10,INE011A01019,Integrated Oil & Gas,Equity
500325,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A,10,INE002A01018,Integrated Oil & Gas,Equity
524624,GAGAN,GAGAN GASES LTD.,Active,X,10,INE076D01016,Integrated Oil & Gas,Equity
532760,DEEPIND,DEEP INDUSTRIES LTD.,Active,B,10,INE677H01012,Integrated Oil & Gas,Equity
539336,GUJGAS,Gujarat Gas Ltd,Active,A,2,INE844O01030,Integrated Oil & Gas,Equity
542066,ADANIGAS,Adani Gas Ltd,Active,B,1,INE399L01023,Integrated Oil & Gas,Equity
946678,RIL07MAY10,Reliance Industries Ltd,Active,F,1000000,INE002A07775,Integrated Oil & Gas,Debentures and Bonds
500313,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Active,B,10,INE591A01010,Oil Equipment & Services,Equity
511652,GEMOIL,GEMMIA OILTECH (INDIA) LTD.,Delisted,Z,10,INE736I01014,Oil Equipment & Services,Equity
522261,DOLPHINOFF,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.-$,Active,B,10,INE920A01011,Oil Equipment & Services,Equity
526397,ALPHAGEO,ALPHAGEO (INDIA) LTD.-$,Active,B,10,INE137C01018,Oil Equipment & Services,Equity
526498,ZENER,ZENERGY LTD.,Delisted,Z,10,INE860B01017,Oil Equipment & Services,Equity
530355,ASIANOI,ASIAN OILFIELD SERVICES LTD.,Active,X,10,INE276G01015,Oil Equipment & Services,Equity
531471,DUKEOFS,DUKE OFFSHORE LTD.,Active,X,10,INE397G01019,Oil Equipment & Services,Equity
532786,GTOFFSHORE,GOL OFFSHORE LTD.,Suspended,XT,10,INE892H01017,Oil Equipment & Services,Equity
500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A,1,INE208C01025,Oil Marketing & Distribution,Equity
500870,CASTROLIND,CASTROL INDIA LTD.,Active,A,5,INE172A01027,Oil Marketing & Distribution,Equity
501415,ALERPTR,ALERT PETROGAS LTD.,Delisted,P,10,NA,Oil Marketing & Distribution,Equity
506480,GOCLCORP,GOCL Corporation Ltd-$,Active,B,2,INE077F01035,Oil Marketing & Distribution,Equity
506954,MOTOROLSP,MOTOROL SPECIALITY OILS LTD.,Delisted,XD,10,INE642B01019,Oil Marketing & Distribution,Equity
523232,CONTPTR,CONTINENTAL PETROLEUMS LTD.,Active,XT,10,INE369D01015,Oil Marketing & Distribution,Equity
526829,CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.,Active,B,1,INE552D01024,Oil Marketing & Distribution,Equity
526873,RAJGASES,RAJASTHAN GASES LTD.,Active,X,10,INE184D01018,Oil Marketing & Distribution,Equity
530965,IOC,INDIAN OIL CORPORATION LTD.,Active,A,10,INE242A01010,Oil Marketing & Distribution,Equity
531322,HAVISHA,Sri Havisha Hospitality And Infrastructure Ltd,Active,T,2,INE293B01029,Oil Marketing & Distribution,Equity
531791,NOVAGOLD,NOVAGOLD PETRO-RESOURCES LTD.,Suspended,Z,10,INE517G01012,Oil Marketing & Distribution,Equity
532522,PETRONET,PETRONET LNG LTD.,Active,A,10,INE347G01014,Oil Marketing & Distribution,Equity
532543,GULFPETRO,GP Petroleums Limited,Active,B,5,INE586G01017,Oil Marketing & Distribution,Equity
533790,KGNENT,KGN ENTERPRISES LTD.,Suspended,Z,10,INE755B01019,Oil Marketing & Distribution,Equity
538567,GULFOILLUB,Gulf Oil Lubricants India Ltd,Active,B,2,INE635Q01029,Oil Marketing & Distribution,Equity
540790,EASTERNGAS,Eastern Gases Ltd,Suspended,XT,10,INE846C01014,Oil Marketing & Distribution,Equity
590005,TIDEWATER,TIDE WATER OIL (INDIA) LTD.,Active,B,5,INE484C01022,Oil Marketing & Distribution,Equity
590080,EASTERNGAS1,EASTERN GASES LTD.,Suspended,X,10,INE111111111,Oil Marketing & Distribution,Equity
947694,IOCL21DEC11,Indian Oil Corporation Ltd,Delisted,F,1000000,INE242A07231,Oil Marketing & Distribution,Debentures and Bonds
990003,928IOC16I,Indian Oil Corporation Ltd,Delisted,I,1000000,INE242A07231,Oil Marketing & Distribution,Debentures and Bonds
500117,DCW,DCW LTD.,Active,B,2,INE500A01029,Petrochemicals,Equity
500268,MANALIPETC,MANALI PETROCHEMICAL LTD.,Active,B,5,INE201A01024,Petrochemicals,Equity
500339,RAIN,Rain Industries Ltd,Active,A,2,INE855B01025,Petrochemicals,Equity
500405,SUPPETRO,SUPREME PETROCHEM LTD.,Active,B,10,INE663A01017,Petrochemicals,Equity
523168,AYPLAMI,AYEPEE LAMITUBES LTD.,Suspended,XT,10,INE257X01010,Petrochemicals,Equity
524232,MAHAPOL,MAHARASHTRA POLYBUTENES LTD.,Delisted,Z,1,INE488E01037,Petrochemicals,Equity
531921,AGARIND,AGARWAL INDUSTRIAL CORPORATION LTD.,Active,B,10,INE204E01012,Petrochemicals,Equity
532452,SAPETRO,SOUTH ASIAN PETROCHEM LTD.,Delisted,B,10,INE801C01019,Petrochemicals,Equity
500104,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A,10,INE094A01015,Refineries/ Petro-Products,Equity
500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A,10,INE103A01014,Refineries/ Petro-Products,Equity
500110,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A,10,INE178A01016,Refineries/ Petro-Products,Equity
500261,MDRPTRO,MADRAS PETRO-CHEM LTD.,Delisted,P,10,NA,Refineries/ Petro-Products,Equity
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A,10,INE029A01011,Refineries/ Petro-Products,Equity
509567,GOACARBON,GOA CARBON LTD.-$,Active,B,10,INE426D01013,Refineries/ Petro-Products,Equity
520149,MAFLU,MAFATLAL LUBRICANTS LTD.,Suspended,P,10,INE521D01011,Refineries/ Petro-Products,Equity
523766,ICCON,ICCON OIL & SPECIALITIES LTD.,Delisted,Z,10,INE929A01012,Refineries/ Petro-Products,Equity
524667,SOTL,SAVITA OIL TECHNOLOGIES LTD.,Active,B,10,INE035D01012,Refineries/ Petro-Products,Equity
524820,PANAMAPET,PANAMA PETROCHEM LTD.,Active,B,2,INE305C01029,Refineries/ Petro-Products,Equity
526652,CALSREF,CALS REFINERIES LTD.,Suspended,Z,1,INE040C01022,Refineries/ Petro-Products,Equity
530021,ASIAREF,ASIA REFINERY LTD.,Delisted,P,10,NA,Refineries/ Petro-Products,Equity
500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A,2,INE175A01038,Plastic Products,Equity
500248,MAVIIND,MAVI INDUSTRIES LTD.,Active,XT,10,INE073A01019,Plastic Products,Equity
500327,PILITA,Pil Italica Lifestyle Ltd,Active,B,1,INE600A01035,Plastic Products,Equity
500334,PRMRVNY-B,PREMIER VINYL FLOORING LTD.,Delisted,P,10,NA,Plastic Products,Equity
