Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500285,SPICEJET,SPICEJET LTD.,Active,A,10,INE285B01017,Airlines,Equity
520139,JAGSONAI,JAGSON AIRLINES LTD.,Active,XT,10,INE685B01018,Airlines,Equity
532617,JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,Active,T,10,INE802G01018,Airlines,Equity
532747,KFA,KINGFISHER AIRLINES LTD.,Delisted,Z,10,INE438H01019,Airlines,Equity
532773,GLOBALVECT,GLOBAL VECTRA HELICORP LTD.,Active,B,10,INE792H01019,Airlines,Equity
539448,INDIGO,InterGlobe Aviation Ltd,Active,A,10,INE646L01027,Airlines,Equity
539956,TAALENT,TAAL Enterprises Ltd,Active,X,10,INE524T01011,Airlines,Equity
946631,AIL260310,Air India Ltd,Active,F,1000000,INE954K08014,Airlines,Debentures and Bonds
946632,AIEL26MAR10,Air India Express Ltd,Active,F,1000000,INE955K08011,Airlines,Debentures and Bonds
947514,AIL270911A,Air India Ltd,Active,F,1000000,INE954K08022,Airlines,Debentures and Bonds
947515,AIL270911B,Air India Ltd,Active,F,1000000,INE954K08030,Airlines,Debentures and Bonds
948558,908AIR31A,Air India Ltd,Active,F,1000000,INE954K08055,Airlines,Debentures and Bonds
948559,908AIR31B,Air India Ltd,Active,F,1000000,INE954K08048,Airlines,Debentures and Bonds
948656,908AIR2031,Air India Ltd,Active,F,1000000,INE954K08063,Airlines,Debentures and Bonds
952813,2064JET20,Jet Airways (India) Ltd,Active,F,1000000,INE802G08013,Airlines,Debentures and Bonds
500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A,10,INE055A01016,Cement & Cement Products,Equity
500234,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B,10,INE437B01014,Cement & Cement Products,Equity
500260,RAMCOCEM,The Ramco Cements Limited,Active,A,1,INE331A01037,Cement & Cement Products,Equity
500292,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,A,10,INE578A01017,Cement & Cement Products,Equity
500300,GRASIM,GRASIM INDUSTRIES LTD.,Active,A,2,INE047A01021,Cement & Cement Products,Equity
500322,PANCM,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.,Suspended,Z,10,INE167E01029,Cement & Cement Products,Equity
500335,BIRLACORPN,BIRLA CORPORATION LTD.,Active,A,10,INE340A01012,Cement & Cement Products,Equity
500338,PRSMJOHNSN,Prism Johnson Ltd,Active,A,10,INE010A01011,Cement & Cement Products,Equity
500377,SHREEJIPHOS,SHREEJI PHOSPHATE LTD.,Delisted,Z,10,INE157C01016,Cement & Cement Products,Equity
500380,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A,5,INE786A01032,Cement & Cement Products,Equity
500387,SHREECEM,SHREE CEMENT LTD.,Active,A,10,INE070A01015,Cement & Cement Products,Equity
500410,ACC,ACC LTD.,Active,A,10,INE012A01025,Cement & Cement Products,Equity
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A,2,INE079A01024,Cement & Cement Products,Equity
502070,PANCHCE,PANCHAMAHAL CEMENT LTD.,Delisted,P,10,,Cement & Cement Products,Equity
502076,DHARCEM,DHAR CEMENT LTD.,Delisted,Z,10,NA,Cement & Cement Products,Equity
502090,SAGCEM,SAGAR CEMENTS LTD.-$,Active,B,10,INE229C01013,Cement & Cement Products,Equity
502125,BAGALKOT,BAGALKOT UDYOG LTD.,Suspended,Y,10,NA,Cement & Cement Products,Equity
502133,HEMACEM,HEMADRI CEMENTS LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
502137,DECCANCE,DECCAN CEMENTS LTD.-$,Active,B,5,INE583C01021,Cement & Cement Products,Equity
502150,KLYNCEM,KALYANPUR CEMENTS LTD.,Delisted,P,10,INE991E01022,Cement & Cement Products,Equity
502157,MANGLMCEM,MANGALAM CEMENT LTD.,Active,B,10,INE347A01017,Cement & Cement Products,Equity
502165,OCL,OCL INDIA LTD.,Delisted,B,2,INE290B01025,Cement & Cement Products,Equity
502168,NCLIND,NCL INDUSTRIES LTD.-$,Active,B,10,INE732C01016,Cement & Cement Products,Equity
502175,SAURASHCEM,SAURASHTRA CEMENT LTD.,Active,X,10,INE626A01014,Cement & Cement Products,Equity
502180,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,Active,X,10,INE232A01011,Cement & Cement Products,Equity
502187,ZSOMESCE,SOMESHWARA CEMENTS & CHEMICALS LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
504741,INDIANHUME,INDIAN HUME PIPE CO.LTD.,Active,B,2,INE323C01030,Cement & Cement Products,Equity
508906,EVERESTIND,EVEREST INDUSTRIES LTD.,Active,B,10,INE295A01018,Cement & Cement Products,Equity
509055,VISAKAIND,VISAKA INDUSTRIES LTD.,Active,B,10,INE392A01013,Cement & Cement Products,Equity
509675,HIL,HIL LTD.,Active,B,10,INE557A01011,Cement & Cement Products,Equity
513428,TRINETRA,TRINETRA CEMENT LTD.,Delisted,XT,10,INE031L01014,Cement & Cement Products,Equity
513715,VALLYAB,VALLEY ABRASIVES LTD.,Delisted,P,10,INE904E01017,Cement & Cement Products,Equity
518011,KEERTHI,KEERTHI INDUSTRIES LTD.,Active,XT,10,INE145L01012,Cement & Cement Products,Equity
518017,BHEEMACEM,BHEEMA CEMENTS LTD.,Suspended,Z,10,INE333H01012,Cement & Cement Products,Equity
518029,GSCLCEMENT,GUJARAT SIDHEE CEMENT LTD.,Active,B,10,INE542A01039,Cement & Cement Products,Equity
518042,PRCEM,P.R.CEMENTS LTD.,Delisted,P,10,INE447D01019,Cement & Cement Products,Equity
518051,VINAYCEM,VINAY CEMENTS LTD.,Delisted,B,10,INE534C01016,Cement & Cement Products,Equity
518053,SRICC,Sri Chakra Cement Ltd,Suspended,Z,10,INE827D01020,Cement & Cement Products,Equity
518071,SOMANCM,SOMANI CEMENT COMPANY LTD.,Delisted,Z,10,INE536F01014,Cement & Cement Products,Equity
518073,LKSMCEM,LAKSHMI CEMENT & CERAMICS LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
518077,RAGHCEM,RAGHOJI CEMENT MANUFACTURING COMPANY LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
518079,MAHNDCM,MAHENDRA CEMENTS LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
518081,MODECEM,MODERN CEMENT INDUSTRIES LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
518091,APCL,ANJANI PORTLAND CEMENT LTD.-$,Active,B,10,INE071F01012,Cement & Cement Products,Equity
518093,GANGCEM,GANGOTRI CEMENT LTD.,Delisted,P,10,INE831P01018,Cement & Cement Products,Equity
520067,RENZTLB-B,REINZ-TALBROS LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
526089,ROOFITIND,ROOFIT INDUSTRIES LTD.,Delisted,B,10,INE743A01017,Cement & Cement Products,Equity
526521,SANGHIIND,SANGHI INDUSTRIES LTD.,Active,B,10,INE999B01013,Cement & Cement Products,Equity
526941,VAICC,VAISHNO CEMENT CO.LTD.,Suspended,ZP,10,INE116E01018,Cement & Cement Products,Equity
530005,INDIACEM,INDIA CEMENTS LTD.,Active,A,10,INE383A01012,Cement & Cement Products,Equity
530131,UDAICEMENT,UDAIPUR CEMENT WORKS LTD.,Active,X,4,INE225C01029,Cement & Cement Products,Equity
530203,SANGHAS,SANGHVI ASBESTOS CEMENTS LTD.,Delisted,P,10,NA,Cement & Cement Products,Equity
530265,SAINIK,SAINIK FINANCE & INDUSTRIES LTD.,Active,X,10,INE584B01013,Cement & Cement Products,Equity
530977,SKCIL,Shri Keshav Cements And Infra Ltd,Active,XT,10,INE260E01014,Cement & Cement Products,Equity
531444,VARDHMAN,Vardhman Concrete Limited,Active,X,10,INE115C01014,Cement & Cement Products,Equity
531797,SCANPRO,SCAN PROJECTS LTD.,Active,XT,10,INE393D01015,Cement & Cement Products,Equity
531954,NIRMANC,NIRMAN CEMENTS LTD.,Delisted,Z,10,INE162E01012,Cement & Cement Products,Equity
532141,ANDHRACEMT,ANDHRA CEMENTS LTD.,Active,B,10,INE666E01012,Cement & Cement Products,Equity
532323,SHIVACEM,SHIVA CEMENT LTD.,Active,X,2,INE555C01029,Cement & Cement Products,Equity
532538,ULTRACEMCO,ULTRATECH CEMENT LTD.,Active,A,10,INE481G01011,Cement & Cement Products,Equity
532644,JKCEMENT,J.K.CEMENT LTD.,Active,A,10,INE823G01014,Cement & Cement Products,Equity
532841,SAHYADRI,SAHYADRI INDUSTRIES LTD.,Active,X,10,INE280H01015,Cement & Cement Products,Equity
532849,BINANICEM,BINANI CEMENT LTD.,Delisted,B,10,INE042H01019,Cement & Cement Products,Equity
532916,BVCL,BARAK VALLEY CEMENTS LTD.,Active,T,10,INE139I01011,Cement & Cement Products,Equity
532931,BURNPUR,BURNPUR CEMENT LTD.,Active,T,10,INE817H01014,Cement & Cement Products,Equity
533209,SAMRUDDHI,SAMRUDDHI CEMENT LTD.,Delisted,B,5,INE676K01018,Cement & Cement Products,Equity
533309,DALMIABHA,DALMIA BHARAT LTD.,Delisted,A,2,INE439L01019,Cement & Cement Products,Equity
535754,ORIENTCEM,Orient Cement Ltd,Active,A,1,INE876N01018,Cement & Cement Products,Equity
536666,SFCL,Star Ferro and Cement Ltd,Delisted,B,1,INE935O01010,Cement & Cement Products,Equity
539620,AINFRA,A Infrastructure Ltd,Active,X,5,INE534E01020,Cement & Cement Products,Equity
540061,BIGBLOC,Bigbloc Construction Ltd,Active,B,10,INE412U01017,Cement & Cement Products,Equity
