Date,Open,High,Low,Close,Adj Close,Volume
2011-12-12,62,.62..450001.,.58..5.,.59..900002.,.56..181583.,2818
2011-12-13,.59..900002.,.60..849998.,58,.59..349998.,.55..665726.,3453
2011-12-14,.60..5.,.60..5.,.59..950001.,60,.56..275375.,1813
2011-12-15,.60..5.,.60..5.,.58..700001.,.59..400002.,.55..712627.,4391
2011-12-16,.60..5.,61,.57..099998.,.57..400002.,.53..836777.,4706
2011-12-19,.57..400002.,.58..5.,.52..049999.,.53..200001.,.49..897503.,12729
2011-12-20,55,.58..5.,.53..049999.,.56..549999.,.53..039543.,1832
2011-12-21,.55..599998.,.57..950001.,.54..049999.,.55..150002.,.51..72646.,2525
2011-12-22,.54..5.,.55..950001.,.54..049999.,.55..049999.,.51..63266.,403
2011-12-23,58,.59..950001.,.55..049999.,.56..349998.,.52..851955.,432
2011-12-26,56,.57..799999.,55,.57..349998.,.53..789875.,477
2011-12-27,58,58,.56..5.,.56..900002.,.53..367821.,542
2011-12-28,.56..5.,.58..400002.,.56..099998.,.56..099998.,.52..61747.,300
2011-12-29,.55..150002.,.56..900002.,.53..549999.,.55..099998.,.51..679562.,303
2011-12-30,.57..799999.,.57..799999.,.53..599998.,.53..599998.,.50..272671.,1463
2012-01-02,55,.55..75.,.54..75.,.55..75.,.52..289204.,194
2012-01-03,56,.60..75.,56,.57..549999.,.53..977467.,2283
2012-01-04,.57..099998.,.62..700001.,.55..299999.,.58..349998.,.54..72781.,2521
2012-01-05,.58..349998.,.58..349998.,.58..349998.,.58..349998.,.54..72781.,0
2012-01-06,.57..599998.,.59..950001.,.57..049999.,.59..5.,.55..806412.,232
2012-01-07,null,null,null,null,null,null
2012-01-09,.62..5.,.62..5.,54,.60..599998.,.56..838135.,766
2012-01-10,.60..049999.,.62..75.,.59..349998.,62,.58..151222.,2402
2012-01-11,.60..049999.,.66..849998.,.60..049999.,.65..300003.,.61..246365.,2537
2012-01-12,.66..800003.,.66..800003.,64,64,.60..027073.,1793
2012-01-13,.69..800003.,.69..800003.,.61..75.,.64..650002.,.60..636723.,3365
2012-01-16,.64..800003.,.64..800003.,.62..200001.,.64..050003.,.60..073959.,1214
2012-01-17,.63..950001.,65,.63..25.,.64..949997.,.60..918091.,512
2012-01-18,.64..949997.,65,.62..549999.,.62..75.,.58..85466.,506
2012-01-19,64,.65..25.,.62..299999.,.64..25.,.60..261543.,4222
2012-01-20,65,.65..900002.,.62..450001.,.65..900002.,.61..809124.,261
2012-01-23,.63..049999.,.65..849998.,.63..049999.,.65..849998.,.61..762222.,8753
2012-01-24,.65..849998.,.65..900002.,.64..099998.,65,.60..964996.,339
2012-01-25,66,66,66,66,.61..902916.,266
2012-01-27,66,.69..900002.,.64..400002.,.68..599998.,.64..341507.,8296
2012-01-30,.68..75.,.68..75.,.66..5.,.66..5.,.62..37188.,411
2012-01-31,69,69,.66..900002.,.67..099998.,.62..934639.,1061
2012-02-01,.66..150002.,.68..300003.,.66..050003.,67,.62..840836.,49
2012-02-02,69,.70..900002.,68,.69..949997.,.65..607712.,4250
2012-02-03,72,72,70,.70..5.,.66..123573.,3758
2012-02-06,.71..5.,.71..5.,69,.69..400002.,.65..09185.,1834
2012-02-07,.68..099998.,.70..449997.,68,.68..349998.,.64..107033.,1809
2012-02-08,70,.74..199997.,70,.71..800003.,.67..342873.,8090
2012-02-09,.70..199997.,73,.69..599998.,.71..5.,.67..43718.,6043
2012-02-10,73,.73..050003.,.70..199997.,.70..650002.,.66..635483.,3408
2012-02-13,.74..900002.,75,.70..099998.,.70..699997.,.66..68264.,1207
2012-02-14,70,.71..25.,.68..699997.,.69..25.,.65..315033.,964
2012-02-15,71,72,70,.71..849998.,.67..767288.,3446
2012-02-16,.71..5.,73,70,.70..550003.,.66..541168.,59964
2012-02-17,.71..5.,.74..75.,.71..150002.,.72..349998.,.68..238869.,8073
2012-02-21,72,.73..900002.,.70..050003.,.71..699997.,.67..625816.,4384
2012-02-22,73,.73..5.,65,66,.62..249722.,11886
2012-02-23,68,69,.65..25.,.67..050003.,.63..24004.,2815
