Date,Open,High,Low,Close,Volume
2011-12-12,68,.68..474998.,.66..662498.,.67..275002.,1242948
2011-12-13,.67..112503.,.69..5.,.66..349998.,.69..212502.,3331408
2011-12-14,.69..125.,.69..5.,.67..025002.,.67..412498.,2859612
2011-12-15,.67..75.,.68..574997.,.66..525002.,.67..150002.,1673504
2011-12-16,.67..5.,.68..375.,.65..675003.,.66..737503.,1779900
2011-12-19,.66..4375.,.66..737503.,.65..4375.,.66..362503.,1200956
2011-12-20,.66..287498.,.66..712502.,.65..1875.,.66..337502.,1526048
2011-12-21,.66..525002.,.67..849998.,.65..887497.,.67..375.,1308680
2011-12-22,.67..237503.,.68..737503.,.66..775002.,.68..487503.,849596
2011-12-23,.68..574997.,.68..662498.,.67..662498.,.68..287498.,807188
2011-12-27,.67..512497.,.67..625.,.65..012497.,.65..212502.,2339104
2011-12-28,.64..462502.,.64..849998.,.63..025002.,.63..262501.,1750704
2011-12-29,.63..025002.,.64..037498.,.62..125.,.63..137501.,3066648
2011-12-30,.63..25.,.64..275002.,.62..762501.,.63..4375.,1557928
2012-01-03,63,63,.61..887501.,.62..6875.,1188796
2012-01-04,.62..987499.,.63..375.,.61..974998.,.63..150002.,1644260
2012-01-05,63,.63..712502.,.62..674999.,.63..287498.,1558176
2012-01-06,.63..099998.,.64..487503.,.62..900002.,.63..9375.,1674544
2012-01-09,.62..5.,.64..224998.,.62..5.,.63..799999.,364096
2012-01-10,.63..900002.,.65..125.,.63..875.,.64..675003.,499392
2012-01-11,.64..25.,.66..599998.,64,.66..175003.,1177116
2012-01-12,.66..487503.,.67..099998.,.66..025002.,.66..712502.,880620
2012-01-13,.66..9375.,.67..787498.,.66..550003.,.66..824997.,1074532
2012-01-17,.65..887497.,.67..5.,.65..887497.,.67..349998.,654692
2012-01-18,.67..349998.,.68..75.,.67..275002.,.67..949997.,1003232
2012-01-19,.67..75.,.69..25.,.67..625.,.68..099998.,659836
2012-01-20,.68..462502.,.69..199997.,.68..112503.,.68..662498.,1278752
