original,pred_open,pred_high,pred_low
67.275002,69.47,77.56,76.72
69.212502,69.22,76.33,74.86
67.412498,67.34,74.76,74.52
67.150002,67.44,74.94,74.88
66.737503,67.5,74.4,74.21
66.362503,66.71,74.62,74.32
66.337502,68.25,77.84,75.84
67.375,70.7,78.64,76.59
68.487503,69.22,77.71,76.88
68.287498,69.91,78.97,77.57
65.212502,70.46,81.68,78.21
63.262501,71.2,79.79,78.79
63.137501,70.93,79.25,77.41
63.4375,69.47,77.84,77.05
62.6875,70.2,77.5,74.54
63.150002,66.32,74.73,73.55
63.287498,65.32,73.5,73.37
63.9375,66.71,74.02,73.83
63.799999,65.86,74.12,73.87
64.675003,67.32,74.32,74.63
66.175003,67.39,75.83,74.98
66.712502,68.48,75.46,73.37
66.824997,66.08,73.23,73.03
67.349998,65.0,72.18,72.92
67.949997,65.31,71.89,72.56
68.099998,63.87,70.76,71.31
68.662498,62.88,69.33,69.57
69.537498,61.46,67.38,68.82
69.512497,60.67,66.23,66.83
70.849998,59.46,65.78,67.39
72.3125,59.22,64.81,64.86
70.25,57.03,63.34,65.5
72.199997,58.0,63.14,65.32
67.875,57.15,62.67,64.74
68.525002,56.04,60.89,63.02
68.0,53.9,59.83,61.42
68.712502,54.55,59.8,61.45
67.800003,53.11,58.02,58.07
68.137497,49.16,55.08,58.14
67.9375,50.25,54.85,58.45
68.925003,49.78,54.87,58.41
68.9375,50.83,57.74,59.71
68.487503,53.8,58.27,61.17
69.162498,54.09,59.32,61.9
67.362503,52.14,56.86,59.36
67.699997,50.67,55.39,59.0
68.199997,50.8,55.42,59.45
69.262497,50.37,54.3,57.61
70.887497,49.45,53.38,57.72
69.125,49.68,53.51,58.07
68.375,49.36,54.23,58.32
68.962502,49.94,54.57,58.87
70.949997,50.67,55.76,59.38
69.412498,50.8,56.47,59.55
69.425003,51.27,56.24,59.33
69.300003,50.67,55.98,59.45
70.025002,51.41,56.07,58.87
68.224998,50.76,54.94,58.9
68.974998,51.01,55.65,59.4
68.875,51.41,55.5,58.94
69.012497,49.53,54.09,57.95
68.925003,49.45,54.51,58.41
68.1875,50.67,54.8,56.57
68.362503,47.73,51.25,52.44
67.337502,42.86,49.85,50.59
67.525002,47.01,50.42,51.55
67.675003,42.33,46.29,50.94
66.625,42.56,46.44,51.04
66.925003,42.26,47.12,51.51
65.712502,42.62,46.84,51.8
65.387497,43.5,46.6,52.03
64.9375,43.84,48.44,52.63
63.5,44.57,48.39,52.69
65.675003,44.81,52.54,54.01
65.099998,47.63,51.97,55.65
66.599998,46.52,51.5,54.72
65.712502,46.06,51.4,54.27
64.125,48.21,52.39,55.54
62.762501,46.28,50.64,54.3
62.762501,46.94,51.81,55.66
63.200001,47.94,52.59,55.92
62.900002,48.23,51.83,55.42
63.137501,44.18,51.77,52.75
64.050003,47.72,51.55,55.77
65.650002,46.94,51.21,55.69
65.412498,47.63,51.46,55.53
65.887497,47.74,51.26,55.2
64.887497,46.06,50.81,54.8
65.949997,47.62,54.74,56.41
65.012497,50.67,57.61,58.45
63.900002,53.11,57.48,58.87
64.800003,50.18,56.55,59.1
66.387497,51.92,56.78,59.71
64.8125,50.98,57.4,59.63
64.699997,52.65,57.91,60.24
64.349998,51.78,57.34,60.61
66.275002,52.38,57.34,60.61
66.275002,52.5,58.44,61.17
66.737503,52.87,57.71,58.18
66.449997,49.94,55.31,57.41
65.550003,49.2,53.91,57.94
65.900002,49.2,53.53,57.03
66.5625,47.72,51.87,55.12
66.862503,46.29,52.49,55.43
67.137497,46.68,51.26,55.26
67.775002,46.04,50.19,53.81
67.512497,46.43,50.27,54.64
67.887497,46.33,51.55,55.43
68.300003,47.01,51.26,55.43
67.550003,47.61,51.59,55.93
66.4375,46.58,50.34,55.46
65.125,46.46,50.7,55.33
63.4375,47.26,50.7,55.01
63.900002,45.79,49.28,54.16
64.037498,45.3,49.0,53.54
64.962502,44.81,48.69,52.97
64.3125,45.06,48.15,53.58
63.487499,44.57,48.18,53.43
62.487499,44.81,48.95,53.7
62.112499,45.84,49.28,54.07
61.8125,45.14,48.95,53.47
61.799999,44.38,47.87,53.57
61.412498,44.81,47.87,53.7
60.8125,44.56,48.41,53.35
60.025002,44.58,48.07,53.61
60.325001,45.28,48.51,54.03
62.525002,45.25,49.69,54.3
63.587502,47.45,52.71,55.93
65.4375,48.82,53.64,57.32
65.462502,48.72,52.76,55.47
64.974998,46.76,52.39,55.73
65.050003,46.58,50.32,54.38
64.6875,45.55,48.97,53.28
63.275002,44.19,47.36,52.9
63.9375,44.33,48.21,53.28
63.962502,44.89,48.55,53.67
66.487503,45.24,49.19,54.43
66.362503,45.43,49.69,53.86
67.462502,44.81,48.69,53.4
66.412498,44.38,48.07,53.63
66.574997,45.71,49.71,54.77
66.837502,46.06,49.79,53.86
68.112503,44.81,48.15,53.42
67.8125,44.14,48.07,53.41
67.75,44.63,48.35,53.71
67.925003,45.52,48.72,54.28
67.3125,45.06,48.58,54.04
68.537498,45.06,49.09,53.99
67.712502,45.32,49.43,54.51
67.612503,45.55,50.13,54.04
67.449997,47.01,50.7,55.27
66.849998,46.68,50.42,54.62
65.287498,45.64,49.96,54.53
65.162498,45.57,49.1,54.31
66.349998,45.07,48.87,53.47
67.474998,44.74,47.79,53.15
66.875,44.33,47.56,53.03
65.974998,43.61,48.69,52.9
65.650002,45.3,48.59,53.38
64.425003,44.22,49.0,53.48
63.775002,45.53,50.39,54.56
64.025002,47.04,51.09,55.42
62.900002,47.74,52.34,56.69
62.587502,48.21,51.8,56.56
63.625,48.23,51.83,56.31
63.724998,47.38,52.04,56.34
62.625,47.65,51.77,55.54
63.012501,47.23,51.04,54.99
62.987499,45.99,49.64,54.41
64.012497,45.91,49.43,54.5
63.212502,45.55,49.0,53.38
62.400002,44.51,48.25,52.66
62.112499,43.77,47.8,52.38
61.787498,44.67,48.61,53.71
61.012501,45.03,50.1,54.18
61.5625,45.91,49.96,54.7
60.637501,45.83,50.42,55.0
60.987499,47.02,51.26,55.96
61.375,47.99,55.48,57.03
61.862499,50.43,54.98,58.46
62.075001,50.67,55.48,59.06
63.0625,51.04,56.04,59.68
63.387501,51.54,56.24,59.94
63.262501,51.16,55.82,59.59
63.650002,50.67,55.28,58.76
62.200001,50.43,54.8,58.66
61.950001,50.43,58.76,59.24
62.087502,52.87,58.57,61.06
62.037498,54.26,60.88,61.57
63.174999,55.55,61.41,62.99
64.050003,55.71,60.49,63.27
63.537498,54.7,60.03,62.05
63.650002,54.31,61.16,62.1
62.200001,56.29,61.63,63.95
62.625,55.8,61.94,63.82
63.237499,57.01,64.4,64.68
63.525002,59.22,64.57,65.59
65.074997,59.13,64.45,63.61
64.787498,54.36,60.03,62.65
65.012497,54.58,59.94,62.56
64.650002,54.58,60.38,62.26
64.612503,53.85,59.46,61.45
64.712502,54.32,59.79,62.2
64.324997,53.85,60.23,62.36
63.924999,55.09,61.85,63.68
63.625,55.31,61.43,63.94
64.1875,56.17,62.6,63.3
64.474998,56.12,62.57,64.17
64.849998,56.32,62.52,64.12
64.9375,56.78,63.12,64.64
65.037498,57.58,63.87,66.01
65.050003,58.48,66.29,64.83
65.074997,60.44,67.6,67.64
64.949997,60.93,68.35,69.0
65.125,61.66,68.79,69.69
65.025002,61.43,67.11,67.85
65.625,60.19,72.89,67.62
65.150002,63.12,70.77,68.85
65.537498,61.78,68.79,69.19
65.875,61.66,67.86,67.4
66.375,58.0,64.21,65.11
65.525002,56.9,62.57,63.25
65.375,55.64,63.42,63.88
64.625,58.0,65.57,65.67
64.5,59.64,66.73,67.75
63.962502,59.44,68.62,67.73
64.525002,62.12,69.64,69.92
64.724998,63.12,71.62,71.08
64.762497,64.27,71.31,70.53
64.862503,62.71,70.05,70.76
65.087502,63.37,69.85,69.92
65.449997,61.19,71.55,68.61
65.9375,64.83,71.9,70.4
65.462502,62.88,70.83,71.07
65.599998,64.35,70.88,70.86
65.675003,63.39,70.4,70.16
66.037498,62.18,68.55,68.55
66.0625,60.44,66.49,67.62
66.212502,59.95,66.19,67.32
