original,pred_open,pred_high,pred_low
67.275002,75.61,75.5,75.66
69.212502,75.53,74.25,73.93
67.412498,73.43,72.95,73.46
67.150002,73.62,73.04,73.95
66.737503,73.73,72.79,73.05
66.362503,72.34,72.88,73.2
66.337502,74.92,75.71,75.02
67.375,76.57,76.27,75.57
68.487503,75.53,75.62,75.79
68.287498,75.83,76.51,76.55
65.212502,76.3,78.64,77.45
63.262501,77.13,77.24,78.19
63.137501,76.83,76.75,76.34
63.4375,75.61,75.71,75.95
62.6875,76.05,75.45,73.5
63.150002,71.86,72.94,72.27
63.287498,71.16,72.27,72.07
63.9375,72.34,72.61,72.58
63.799999,71.5,72.66,72.63
64.675003,73.39,72.75,73.62
66.175003,73.52,73.72,74.09
66.712502,75.16,73.39,72.07
66.824997,71.65,72.03,71.72
67.349998,70.9,70.78,71.6
67.949997,71.15,70.4,71.21
68.099998,69.4,69.26,69.63
68.662498,68.28,68.27,67.73
69.537498,67.18,66.59,67.02
69.512497,66.29,65.81,64.67
70.849998,65.1,65.5,65.31
72.3125,64.92,64.68,62.68
70.25,62.95,63.32,63.33
72.199997,64.0,63.15,63.15
67.875,63.1,62.75,62.55
68.525002,61.76,61.04,60.52
68.0,59.91,59.86,59.33
68.712502,60.52,59.83,59.36
67.800003,58.81,58.22,55.22
68.137497,54.57,55.98,55.3
67.9375,56.12,55.79,55.66
68.925003,55.61,55.81,55.62
68.9375,56.44,58.01,57.13
68.487503,59.79,58.41,59.11
69.162498,60.12,59.33,59.68
67.362503,57.32,57.35,56.67
67.699997,56.37,56.22,56.26
68.199997,56.43,56.24,56.79
69.262497,56.21,55.31,54.62
70.887497,55.1,54.34,54.78
69.125,55.47,54.49,55.22
68.375,54.93,55.24,55.52
68.962502,55.81,55.55,56.12
70.949997,56.37,56.5,56.7
69.412498,56.43,57.05,56.92
69.425003,56.61,56.87,56.65
69.300003,56.37,56.67,56.79
70.025002,56.68,56.74,56.12
68.224998,56.41,55.86,56.15
68.974998,56.51,56.41,56.73
68.875,56.68,56.3,56.2
69.012497,55.22,55.11,55.07
68.925003,55.1,55.51,55.62
68.1875,56.37,55.75,53.38
68.362503,52.58,52.37,49.21
67.337502,49.16,51.33,51.11
67.525002,52.28,51.79,48.34
67.675003,48.36,48.44,49.14
66.625,48.69,48.49,48.8
66.925003,48.29,49.04,48.33
65.712502,48.78,48.77,48.52
65.387497,49.8,48.58,48.77
64.9375,49.89,50.13,49.37
63.5,49.95,50.1,49.41
65.675003,50.06,53.41,50.54
65.099998,52.52,52.89,52.62
66.599998,52.0,52.54,51.57
65.712502,51.51,52.47,50.91
64.125,53.0,53.27,52.52
62.762501,51.77,51.96,50.94
62.762501,52.25,52.77,52.63
63.200001,52.73,53.47,52.83
62.900002,53.03,52.78,52.41
63.137501,49.9,52.73,49.46
64.050003,52.57,52.57,52.71
65.650002,52.25,52.34,52.65
65.412498,52.52,52.51,52.51
65.887497,52.59,52.38,52.19
64.887497,51.51,52.08,51.68
65.949997,52.52,55.7,53.23
65.012497,56.37,57.91,55.66
63.900002,58.81,57.82,56.12
64.800003,56.06,57.11,56.38
66.387497,57.07,57.29,57.13
64.8125,56.49,57.76,57.03
64.699997,58.06,58.13,57.9
64.349998,56.95,57.71,58.42
66.275002,57.65,57.71,58.42
66.275002,57.83,58.55,59.11
66.737503,58.41,57.99,55.35
66.449997,55.81,56.15,54.36
65.550003,54.64,54.92,55.06
65.900002,54.64,54.5,53.88
66.5625,52.57,52.81,52.09
66.862503,51.78,53.36,52.43
67.137497,52.11,52.38,52.25
67.775002,51.48,51.61,50.3
67.512497,51.91,51.68,51.45
67.887497,51.82,52.57,52.43
68.300003,52.28,52.38,52.43
67.550003,52.51,52.6,52.84
66.4375,52.04,51.74,52.45
65.125,51.94,52.0,52.32
63.4375,52.37,52.0,51.95
63.900002,51.16,50.82,50.74
64.037498,50.51,50.58,50.01
64.962502,50.06,50.33,49.6
64.3125,50.24,49.92,50.06
63.487499,49.95,49.94,49.92
62.487499,50.06,50.53,50.17
62.112499,51.22,50.82,50.61
61.8125,50.33,50.53,49.95
61.799999,49.91,49.7,50.04
61.412498,50.06,49.7,50.17
60.8125,49.94,50.11,49.86
60.025002,49.95,49.85,50.08
60.325001,50.48,50.19,50.57
62.525002,50.45,51.19,50.94
63.587502,52.44,53.58,52.84
65.4375,53.94,54.63,54.24
65.462502,53.76,53.65,52.46
64.974998,52.16,53.27,52.69
65.050003,52.04,51.72,51.06
64.6875,50.82,50.56,49.81
63.275002,49.9,49.26,49.56
63.9375,49.9,49.96,49.81
63.962502,50.1,50.22,50.15
66.487503,50.43,50.74,51.14
66.362503,50.66,51.19,50.35
67.462502,50.06,50.33,49.9
66.412498,49.91,49.85,50.1
66.574997,51.04,51.2,51.63
66.837502,51.51,51.28,50.35
68.112503,50.06,49.92,49.91
67.8125,49.9,49.85,49.91
67.75,49.97,50.07,50.18
67.925003,50.79,50.35,50.92
67.3125,50.24,50.24,50.58
68.537498,50.24,50.65,50.51
67.712502,50.52,50.95,51.26
67.612503,50.82,51.57,50.58
67.449997,52.28,52.0,52.26
66.849998,52.11,51.79,51.42
65.287498,50.95,51.42,51.28
65.162498,50.85,50.66,50.96
66.349998,50.26,50.47,49.95
67.474998,50.02,49.63,49.72
66.875,49.9,49.44,49.64
65.974998,49.85,50.33,49.56
65.650002,50.51,50.25,49.88
64.425003,49.9,50.58,49.96
63.775002,50.8,51.77,51.33
64.025002,52.29,52.27,52.41
62.900002,52.59,53.21,53.49
62.587502,53.0,52.76,53.37
63.625,53.03,52.78,53.14
63.724998,52.41,52.95,53.17
62.625,52.53,52.73,52.52
63.012501,52.36,52.23,51.92
62.987499,51.42,51.14,51.11
64.012497,51.32,50.95,51.25
63.212502,50.82,50.58,49.88
62.400002,49.93,49.99,49.39
62.112499,49.89,49.64,49.15
61.787498,49.98,50.26,50.18
61.012501,50.22,51.54,50.77
61.5625,51.32,51.42,51.53
60.637501,51.21,51.79,51.94
60.987499,52.29,52.38,52.87
61.375,52.77,56.28,53.88
61.862499,56.25,55.9,55.67
62.075001,56.37,56.28,56.33
63.0625,56.52,56.72,57.09
63.387501,56.76,56.87,57.46
63.262501,56.56,56.54,56.97
63.650002,56.37,56.13,56.0
62.200001,56.25,55.75,55.89
61.950001,56.25,58.81,56.54
62.087502,58.41,58.65,58.98
62.037498,60.28,61.02,59.45
63.174999,61.28,61.59,60.49
64.050003,61.43,60.6,60.79
63.537498,60.63,60.08,59.77
63.650002,60.32,61.33,59.8
62.200001,62.04,61.8,61.61
62.625,61.51,62.1,61.45
63.237499,62.92,64.3,62.49
63.525002,64.92,64.46,63.42
65.074997,64.86,64.35,61.2
64.787498,60.36,60.08,60.18
65.012497,60.54,59.99,60.11
64.650002,60.54,60.47,59.9
64.612503,59.85,59.48,59.36
64.712502,60.33,59.82,59.87
64.324997,59.85,60.3,59.97
63.924999,60.91,62.02,61.28
63.625,61.08,61.6,61.6
64.1875,61.9,62.69,60.83
64.474998,61.84,62.66,61.88
64.849998,62.08,62.62,61.83
64.9375,62.63,63.14,62.44
65.037498,63.59,63.81,63.82
65.050003,64.41,65.85,62.65
65.074997,66.03,66.76,65.62
64.949997,66.59,67.42,67.2
65.125,67.37,67.81,67.83
65.025002,67.14,66.39,65.88
65.625,65.76,71.67,65.6
65.150002,68.49,69.27,67.05
65.537498,67.47,67.81,67.38
65.875,67.37,66.98,65.33
66.375,64.0,64.12,62.94
65.525002,62.78,62.66,60.76
65.375,61.36,63.4,61.53
64.625,64.0,65.34,63.5
64.5,65.25,66.14,65.77
63.962502,65.09,67.66,65.74
64.525002,67.74,68.5,68.04
64.724998,68.49,70.08,69.33
64.762497,69.99,69.74,68.66
64.862503,68.15,68.77,68.93
65.087502,68.75,68.64,68.04
65.449997,66.9,70.0,66.79
65.9375,70.72,70.42,68.52
65.462502,68.28,69.31,69.31
65.599998,70.11,69.36,69.05
65.675003,68.78,69.01,68.27
66.037498,67.78,67.6,66.73
66.0625,66.03,65.98,65.6
66.212502,65.52,65.79,65.23
65.900002,66.52,66.32,66.17
65.175003,66.76,68.78,66.97
65.150002,68.75,68.86,67.83
65.25,67.57,67.48,66.24
65.324997,65.06,66.59,65.81
65.287498,66.58,66.27,66.53
65.449997,66.45,66.74,65.08
64.962502,66.36,66.59,66.67
64.925003,67.31,67.66,67.65
64.349998,66.94,67.43,67.67
64.800003,67.76,68.46,68.16
65.25,68.28,68.69,69.24
67.212502,69.69,71.4,69.69
67.474998,71.28,74.82,72.26
68.0,77.1,78.44,77.37
67.887497,77.83,77.51,77.21
70.287498,76.73,76.72,76.58
70.3125,83.3,84.8,80.66
70.337502,83.3,89.65,83.49
71.587502,89.32,88.72,86.43
71.537498,86.58,86.48,85.89
71.1875,86.21,88.0,87.37
72.025002,89.41,91.02,90.1
74.387497,89.77,93.28,90.9
74.237503,93.14,91.42,89.19
78.974998,89.44,89.73,88.31
87.324997,90.69,90.91,88.24
83.349998,89.25,89.93,89.78
81.487503,89.23,90.59,91.13
78.462502,90.63,90.89,89.91
80.887497,89.22,89.22,88.64
79.650002,87.58,90.98,88.49
77.612503,93.12,94.96,92.85
78.412498,93.14,92.05,91.86
81.824997,92.46,90.85,90.68
84.212502,89.21,90.21,88.17
82.150002,87.99,87.79,88.17
83.112503,87.53,86.69,80.57
83.199997,83.71,84.12,81.83
81.550003,84.62,87.05,84.71
78.800003,86.29,87.88,84.85
78.099998,84.89,85.97,83.51
79.262497,83.5,83.48,80.93
80.050003,79.37,81.29,81.22
79.137497,83.3,85.38,83.49
78.699997,85.91,85.99,86.02
78.612503,82.87,83.12,82.12
79.474998,83.1,82.85,82.47
78.550003,83.72,85.45,84.31
78.087502,87.76,87.48,86.17
76.650002,85.84,85.83,85.9
73.487503,86.02,86.23,86.21
76.599998,85.88,86.57,86.14
73.175003,86.62,86.35,86.01
74.712502,85.44,85.65,82.96
75.949997,83.77,85.41,83.77
