original,pred_open,pred_high,pred_low
171.600006,214.8,218.41,217.57
170.266998,216.4,217.09,217.47
168.033005,217.27,214.48,213.53
167.399994,213.71,212.74,213.95
166.867004,213.33,213.53,213.69
164.733002,213.4,213.15,214.58
168.600006,214.55,215.75,217.49
174.132996,214.51,216.26,215.51
176.367004,214.2,215.54,217.27
174.667007,215.25,221.43,222.05
175.100006,221.2,227.95,224.53
174.132996,226.37,224.09,227.07
171.899994,223.41,224.76,222.12
171.067001,223.78,222.75,220.15
175.466995,215.09,218.11,213.48
177.800003,217.34,219.29,219.36
174.5,214.9,218.26,217.57
170.432999,217.08,215.36,215.92
171.466995,216.03,220.63,222.53
174.132996,224.94,221.91,223.4
173.067001,216.4,222.5,220.34
171.867004,216.35,219.46,218.02
173.132996,216.09,215.89,212.81
174.733002,211.94,213.0,212.73
178.832993,213.16,213.69,213.34
181.199997,216.14,213.63,215.68
183.966995,214.8,214.58,213.86
183.567001,213.71,213.37,213.61
182.800003,212.82,212.94,205.84
181.699997,206.03,206.52,206.49
185.533005,204.4,204.15,205.26
183.867004,207.94,207.28,207.35
184.033005,208.28,207.34,207.24
181.632996,208.33,206.17,205.67
184.100006,204.4,203.2,203.13
187.766998,202.07,201.07,200.14
188.867004,200.04,203.41,199.93
190.832993,204.4,203.44,198.93
188.800003,202.2,207.65,202.05
187.533005,207.29,207.38,205.67
187.832993,208.68,212.74,209.9
187.233002,229.53,231.09,217.63
184.067001,218.96,222.88,221.31
186.100006,214.9,218.74,216.62
187.533005,207.63,211.22,208.72
187.5,207.31,207.38,205.06
194.567001,207.74,207.37,209.31
195.100006,206.93,206.84,203.24
193.567001,201.87,202.29,202.39
189.699997,201.01,200.03,198.78
187.367004,201.51,202.65,202.0
188.932999,206.25,203.45,197.6
195.466995,196.82,195.68,198.77
192.132996,192.9,199.93,197.8
187.600006,200.43,199.69,198.8
189.132996,201.77,206.97,202.68
188.399994,207.48,211.4,210.6
185.966995,207.29,206.97,205.7
188.600006,206.27,207.04,207.61
185.100006,206.42,206.79,205.81
191.699997,206.28,207.63,203.72
195.832993,207.07,203.2,202.87
191.033005,201.85,202.29,198.9
182.033005,200.34,198.31,187.53
181.766998,186.23,193.16,178.67
181.533005,193.28,194.62,184.73
181.033005,187.17,186.61,183.28
180.367004,185.25,185.76,183.95
178.266998,183.68,185.05,178.83
174.567001,180.11,180.81,180.21
177.0,180.63,181.72,178.93
171.832993,184.68,185.57,183.76
173.600006,180.53,183.95,182.22
178.899994,184.45,192.53,184.06
179.899994,190.42,192.2,182.06
182.167007,180.44,179.83,169.21
182.867004,172.63,172.4,167.59
179.199997,172.63,174.1,168.07
176.432999,165.87,179.87,166.31
176.067001,180.47,185.01,178.28
174.067001,185.97,184.97,178.83
173.867004,176.37,175.12,172.91
172.733002,168.9,167.56,157.86
179.367004,165.9,165.09,165.41
180.867004,168.13,167.59,163.72
181.5,168.99,167.55,167.26
178.0,168.71,169.08,167.3
178.567001,167.21,172.47,166.11
178.899994,173.65,179.51,175.18
176.432999,180.67,192.41,181.25
176.100006,193.31,196.13,192.04
175.067001,193.36,193.36,191.27
180.033005,193.48,193.22,187.33
178.332993,184.74,187.64,184.32
176.800003,191.67,194.08,187.95
172.932999,190.13,190.14,185.63
173.733002,187.73,187.91,187.16
172.167007,193.23,199.63,192.97
170.699997,198.17,194.91,191.31
172.932999,190.16,190.35,184.46
169.367004,185.19,185.79,184.01
167.766998,184.8,185.61,183.76
166.132996,186.23,185.57,184.05
165.300003,185.95,185.61,183.96
164.033005,183.25,181.25,177.03
165.733002,180.42,178.78,175.54
164.367004,176.14,177.7,177.62
163.300003,176.57,178.72,176.72
162.300003,176.4,176.12,175.45
171.800003,177.44,178.68,178.83
171.367004,179.39,181.19,178.87
170.932999,182.34,181.75,183.06
168.067001,184.83,183.84,184.0
168.800003,182.15,182.98,183.99
164.100006,185.42,184.65,183.36
169.367004,185.19,187.1,186.15
169.167007,188.47,188.7,189.87
173.533005,189.0,188.99,190.2
175.533005,190.17,189.47,190.44
172.332993,190.17,189.27,187.61
170.533005,187.33,190.51,189.38
174.300003,186.69,188.96,189.17
179.132996,189.0,190.35,191.3
178.567001,190.49,192.41,191.32
177.332993,194.11,193.53,192.61
175.466995,193.23,198.36,191.01
178.399994,192.99,194.08,191.95
181.699997,190.23,190.17,191.22
183.466995,188.95,188.63,189.09
186.332993,187.91,189.66,189.45
