original,pred_open,pred_high,pred_low
59.900002,46.19,60.25,57.86
59.349998,46.77,59.17,56.77
60.0,43.28,57.93,56.49
59.400002,42.92,60.2,56.56
57.400002,45.75,59.39,57.79
53.200001,48.81,61.99,58.77
56.549999,49.9,62.69,58.81
55.150002,57.1,66.86,58.56
55.049999,46.04,59.06,56.84
56.349998,45.9,58.79,57.09
56.900002,48.52,61.66,58.18
56.099998,50.41,67.29,60.18
55.099998,57.82,67.51,61.69
53.599998,53.39,64.58,60.64
57.549999,52.22,63.61,58.95
58.349998,53.02,63.83,58.91
58.349998,52.66,63.56,59.51
59.5,49.17,63.83,59.27
60.599998,49.1,61.12,59.27
62.0,52.08,63.23,59.83
65.300003,50.55,61.99,59.13
64.0,52.22,63.29,58.21
64.650002,50.48,63.07,60.21
64.949997,51.86,62.96,60.88
62.75,51.86,62.96,60.18
64.25,47.86,61.45,58.07
65.900002,50.41,62.2,59.2
65.849998,50.7,62.09,59.48
65.0,51.5,62.69,58.77
66.0,45.9,61.88,58.0
68.599998,48.23,61.88,58.07
66.5,49.97,61.88,58.35
67.099998,45.75,59.71,57.93
67.0,47.5,59.71,57.47
69.949997,46.55,60.04,58.28
70.5,48.08,60.2,57.4
69.400002,44.66,58.36,57.16
68.349998,43.86,57.28,55.26
71.800003,44.08,58.47,55.79
71.5,42.63,57.98,56.14
70.650002,43.5,58.63,56.46
70.699997,44.59,57.93,57.19
69.25,44.01,58.79,56.88
71.849998,43.35,58.14,56.18
70.550003,43.57,57.98,56.46
72.349998,44.59,57.55,56.81
71.699997,45.32,58.25,56.91
66.0,45.54,58.58,57.83
67.050003,44.88,59.23,57.4
68.900002,45.1,57.93,57.44
64.5,44.81,58.25,56.67
67.449997,44.23,57.28,57.19
67.5,44.23,57.28,57.19
68.0,44.23,59.33,57.19
68.800003,44.01,59.12,57.05
65.349998,44.23,59.77,56.67
64.650002,43.35,57.82,56.7
65.25,47.5,59.71,56.39
65.0,43.86,57.76,56.11
64.050003,41.83,56.57,55.93
65.050003,41.32,57.82,53.37
64.900002,38.56,57.22,54.38
64.849998,40.95,58.04,55.33
64.0,44.95,57.82,55.68
63.049999,43.06,57.33,53.3
61.599998,40.95,54.84,55.26
63.150002,39.14,55.33,54.0
62.349998,39.57,55.17,54.56
61.799999,41.03,56.09,54.88
61.75,41.1,55.82,55.65
60.549999,42.34,58.41,56.28
60.049999,50.41,61.88,56.39
60.049999,44.59,57.66,57.37
59.700001,44.59,57.55,57.37
63.75,42.99,57.49,55.68
63.099998,40.52,55.76,54.07
63.75,37.61,52.68,53.4
62.400002,37.39,52.68,53.33
60.099998,35.28,51.0,52.07
62.150002,36.81,52.03,52.8
62.650002,36.01,51.16,53.16
61.25,35.86,51.16,53.09
60.5,34.99,50.4,51.79
61.0,33.9,51.86,52.21
62.400002,35.72,51.7,51.89
64.0,34.56,50.08,52.45
63.299999,34.41,50.94,51.75
60.599998,35.57,52.51,52.63
60.049999,39.94,54.08,54.56
59.0,38.77,54.19,54.56
59.650002,40.08,56.9,53.68
60.599998,41.03,54.9,55.61
60.599998,43.14,57.55,56.11
61.400002,42.48,58.14,56.32
61.049999,43.14,57.01,56.32
60.849998,42.41,57.39,56.32
60.0,42.41,57.33,56.32
59.900002,42.85,57.6,56.49
60.200001,42.19,57.28,56.21
59.150002,43.14,57.82,54.21
60.0,38.05,53.49,53.65
56.549999,36.23,54.25,53.16
57.049999,38.77,54.03,53.16
55.75,39.06,54.63,53.86
55.25,40.15,55.38,54.84
59.799999,41.32,57.28,55.79
56.599998,43.06,56.47,54.95
56.299999,42.7,56.14,55.54
56.049999,41.83,56.03,55.26
56.0,42.12,56.36,55.61
58.450001,42.34,56.47,55.75
56.599998,41.32,55.11,55.79
55.599998,41.83,56.3,55.26
54.5,43.14,57.01,55.26
55.700001,41.1,55.38,55.61
56.400002,40.23,54.3,55.26
54.0,39.14,57.33,54.74
57.25,43.14,58.09,55.65
59.450001,39.5,55.92,54.91
58.599998,41.68,55.76,55.68
59.299999,41.25,56.47,55.61
60.299999,40.37,54.41,55.33
60.5,39.72,55.06,55.02
59.549999,40.3,55.06,55.16
60.150002,40.23,60.36,55.26
58.0,43.94,58.04,57.05
