original,pred_open,pred_high,pred_low
59.900002,53.1,53.75,53.2
59.349998,53.63,52.78,51.73
60.0,51.32,51.5,51.51
59.400002,51.05,53.71,51.57
57.400002,52.74,52.99,53.05
53.200001,55.07,55.03,55.07
56.549999,55.58,55.59,55.13
55.150002,60.28,59.56,54.69
55.049999,52.97,52.67,51.78
56.349998,52.85,52.39,51.97
56.900002,54.93,54.77,53.89
56.099998,55.85,59.86,56.69
55.099998,60.65,59.98,58.97
53.599998,57.33,56.7,57.16
57.549999,56.8,56.13,55.35
58.349998,57.14,56.23,55.3
58.349998,56.98,56.1,56.06
59.5,55.24,56.23,55.78
60.599998,55.21,54.37,55.78
62.0,56.74,55.94,56.38
65.300003,55.93,55.03,55.6
64.0,56.8,55.97,53.97
64.650002,55.89,55.84,56.72
64.949997,56.64,55.77,57.49
62.75,56.64,55.77,56.69
64.25,54.54,54.6,53.66
65.900002,55.85,55.2,55.69
65.849998,56.02,55.12,56.02
65.0,56.46,55.59,55.07
66.0,52.85,54.94,53.51
68.599998,54.78,54.94,53.66
66.5,55.62,54.94,54.27
67.099998,52.74,53.3,53.35
67.0,54.27,53.3,52.46
69.949997,53.43,53.58,54.12
70.5,54.69,53.71,52.35
69.400002,52.06,51.94,52.04
68.349998,51.67,50.86,49.65
71.800003,51.78,52.06,50.54
71.5,50.82,51.56,51.12
70.650002,51.46,52.22,51.48
70.699997,52.02,51.5,52.08
69.25,51.74,52.39,51.8
71.849998,51.37,51.72,51.16
70.550003,51.5,51.56,51.48
72.349998,52.02,51.12,51.75
71.699997,52.43,51.83,51.83
66.0,52.57,52.17,53.13
67.050003,52.17,52.83,52.35
68.900002,52.29,51.5,52.41
64.5,52.13,51.83,51.65
67.449997,51.85,50.86,52.08
67.5,51.85,50.86,52.08
68.0,51.85,52.94,52.08
68.800003,51.74,52.72,51.94
65.349998,51.85,53.35,51.65
64.650002,51.37,51.39,51.68
65.25,54.27,53.3,51.41
65.0,51.67,51.34,51.07
64.050003,50.16,50.25,50.79
65.050003,49.8,51.39,47.53
64.900002,48.47,50.81,49.02
64.849998,49.58,51.61,49.75
64.0,52.21,51.39,50.35
63.049999,51.16,50.91,47.36
61.599998,49.58,49.32,49.65
63.150002,48.85,49.58,48.72
62.349998,49.04,49.5,49.1
61.799999,49.62,49.93,49.26
61.75,49.66,49.79,50.29
60.549999,50.58,52.0,51.3
60.049999,55.85,54.94,51.41
60.049999,52.02,51.23,52.3
59.700001,52.02,51.12,52.3
63.75,51.11,51.07,50.35
63.099998,49.39,49.77,48.79
63.75,47.62,46.6,47.62
62.400002,47.39,46.6,47.45
60.099998,45.36,45.3,44.95
62.150002,46.79,45.97,46.1
62.650002,46.0,45.4,47.0
61.25,45.86,45.4,46.82
60.5,45.15,45.15,45.34
61.0,45.2,45.85,45.0
62.400002,45.73,45.74,45.1
64.0,44.95,45.44,45.33
63.299999,44.93,45.27,45.45
60.599998,45.6,46.41,45.68
60.049999,49.18,48.61,49.1
59.0,48.63,48.74,49.1
59.650002,49.23,50.52,48.23
60.599998,49.62,49.35,50.23
60.599998,51.22,51.12,51.07
61.400002,50.7,51.72,51.34
61.049999,51.22,50.61,51.34
60.849998,50.64,50.96,51.34
60.0,50.64,50.91,51.34
59.900002,51.0,51.18,51.51
60.200001,50.46,50.86,51.21
59.150002,51.22,51.39,48.92
